System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 059
Recording date:	 1/7/2015
Recording time:	 8:27:13 AM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 1:46:51 PM

Participant:	 059
Timestamp	Event	Descriptor	AoiNames	
0			Content	
55			Content	
100	ImageStart	fixation.png		
404			Content	
504			Content	
1072	KeyPress	Space		
1072	ImageEnd	fixation.png		
1337			Content	
1748	MovieStart	Navjot_3_a.wmv		
1987			Content	
3916	MovieEnd	Navjot_3_a.wmv		
4214	ImageStart	star_cloud.BMP		
4518			new	
4818			new	
5134			old	
5484			new	
6517			new	
6750			new	
7499			old	
7866			old	
9191	ImageEnd	star_cloud.BMP		
9729	MovieStart	Navjot_3_a.wmv		
9931			Content	
11896	MovieEnd	Navjot_3_a.wmv		
12161	ImageStart	glass_bowl.BMP		
12479			old	
12928			old	
13311			old	
13961			old	
14777			old	
15177			new	
15460			new	
15943			new	
16143			new	
16759			new	
16925			new	
17146	ImageEnd	glass_bowl.BMP		
17292			Content	
17586	MovieStart	Navjot_3_a.wmv		
17808			Content	
18074			Content	
19774	MovieEnd	Navjot_3_a.wmv		
20040	ImageStart	watermelon_orange.BMP		
20273			new	
20539			new	
21822			new	
22588			new	
23637			new	
25023	ImageEnd	watermelon_orange.BMP		
25548	MovieStart	Navjot_3_a.wmv		
25553			Content	
27351			Content	
27716	MovieEnd	Navjot_3_a.wmv		
27967	ImageStart	ball_drum.BMP		
28350			new	
28817			new	
29150			new	
29949			new	
30549			new	
31281			old	
31648			old	
32949	ImageEnd	ball_drum.BMP		
33375	MovieStart	Navjot_3_a.wmv		
33579			Content	
33813			Content	
35539	MovieEnd	Navjot_3_a.wmv		
35792	ImageStart	duck_frog.BMP		
36011			Content	
36161			new	
36411			new	
36694			old	
37027			old	
37527			new	
38226			new	
38875			new	
39308			old	
39575			old	
40008			new	
40763	ImageEnd	duck_frog.BMP		
40857			Content	
41140			Content	
41377	MovieStart	Navjot_3_a.wmv		
41590			Content	
43544	MovieEnd	Navjot_3_a.wmv		
43815	ImageStart	sun_tree.BMP		
44088			new	
44838			old	
45187			new	
45537			new	
45904			old	
46886			old	
47602			old	
47902			old	
48552			old	
48799	ImageEnd	sun_tree.BMP		
48869			Content	
49341	MovieStart	Navjot_3_a.wmv		
49651			Content	
49834			Content	
51520	MovieEnd	Navjot_3_a.wmv		
51774	ImageStart	ring_watch.BMP		
52050			new	
52549			new	
53132			new	
54314			new	
54597			new	
54930			old	
56752	ImageEnd	ring_watch.BMP		
57271	MovieStart	Navjot_3_a.wmv		
57795			Content	
59436	MovieEnd	Navjot_3_a.wmv		
59715	ImageStart	hair_hat.BMP		
59993			old	
60126			old	
60843			new	
61076			new	
61775			old	
62125			old	
62325			old	
62925			old	
63258			old	
64440			old	
64657			old	
64695	ImageEnd	hair_hat.BMP		
65073			Content	
65136	MovieStart	Navjot_3_a.wmv		
65339			Content	
67317	MovieEnd	Navjot_3_a.wmv		
67591	ImageStart	hand_foot.BMP		
67871			new	
68021			new	
68387			new	
68670			old	
68953			old	
69869			new	
70219			new	
70768			new	
72573	ImageEnd	hand_foot.BMP		
72900			Content	
73043	MovieStart	Navjot_3_a.wmv		
73233			Content	
73533			Content	
74682			Content	
75209	MovieEnd	Navjot_3_a.wmv		
75497	ImageStart	mouse_squirrel.BMP		
76164			old	
76681			new	
76930			new	
77996			new	
78546			new	
79279			new	
79778			new	
80328			new	
80480	ImageEnd	mouse_squirrel.BMP		
80528			Content	
80898	MovieStart	Navjot_3_a.wmv		
81111			Content	
81394			Content	
83073	MovieEnd	Navjot_3_a.wmv		
83304	ImageStart	garbage can_box.BMP		
83525			new	
86207			Content	
86290			new	
87539			Content	
87756			Content	
88281	ImageEnd	garbage can_box.BMP		
88793	MovieStart	Navjot_3_a.wmv		
89105			Content	
89371			Content	
90956	MovieEnd	Navjot_3_a.wmv		
91254	ImageStart	lips_ear.BMP		
91520			new	
91819			new	
92485			Content	
92652			new	
93102			new	
93751			new	
94684			new	
95633			new	
95900			old	
96236	ImageEnd	lips_ear.BMP		
96710	MovieStart	Navjot_3_a.wmv		
96782			Content	
96949			Content	
98448			Content	
98878	MovieEnd	Navjot_3_a.wmv		
99170	ImageStart	lion_bear.BMP		
99247			Content	
99414			old	
99680			old	
100230			new	
100447			new	
100613			new	
101546			new	
101762			old	
102778			old	
103144			old	
103427			old	
104044			Content	
104145	ImageEnd	lion_bear.BMP		
104243			Content	
104959	MovieStart	Navjot_3_a.wmv		
105159			Content	
107133	MovieEnd	Navjot_3_a.wmv		
107446	ImageStart	shirt_cap.BMP		
107741			new	
107924			new	
108474			old	
108807			old	
110722			new	
111071			new	
111604			old	
111704			old	
111937			old	
112430	ImageEnd	shirt_cap.BMP		
112916	MovieStart	Navjot_3_a.wmv		
113420			Content	
115216	MovieEnd	Navjot_3_a.wmv		
115542	ImageStart	lettuce_corn.BMP		
115751			old	
116001			old	
116268			new	
117450			new	
117767			new	
117933			new	
118199			new	
120527	ImageEnd	lettuce_corn.BMP		
120977	MovieStart	Navjot_3_a.wmv		
121497			Content	
122496			Content	
123164	MovieEnd	Navjot_3_a.wmv		
123475	ImageStart	leg_arm.BMP		
123479			Content	
123746			Content	
123996			Content	
124262			old	
124695			new	
124912			new	
125228			new	
125561			new	
126743			new	
127409			new	
128092			old	
128408			old	
128449	ImageEnd	leg_arm.BMP		
128913	MovieStart	Navjot_3_a.wmv		
129108			Content	
129874			Content	
130507			Content	
130640			Content	
130723			Content	
131080	MovieEnd	Navjot_3_a.wmv		
131256			Content	
131519	ImageStart	flower_leaf.BMP		
131573			Content	
131723			old	
132006			old	
132139			new	
133305			old	
134620			old	
134887			new	
135070			new	
136269			new	
136499	ImageEnd	flower_leaf.BMP		
136702			Content	
137114	MovieStart	Navjot_3_a.wmv		
139305	MovieEnd	Navjot_3_a.wmv		
139587	ImageStart	nail_pencil.BMP		
141032			new	
144363			old	
144564	ImageEnd	nail_pencil.BMP		
144679			Content	
144996	MovieStart	Navjot_3_a.wmv		
145029			Content	
145229			Content	
146395			Content	
146595			Content	
147456	MovieEnd	Navjot_3_a.wmv		
147477			Content	
147761	ImageStart	scissors_brush.BMP		
147960			Content	
148576			Content	
149159			Content	
149359			old	
149709			old	
149992			new	
150492			new	
152224			new	
152424			new	
