Timestamp	Event	Descriptor	AoiNames	
0			Content	
103	ImageStart	blacksquare.bmp		
370			Content	
554			Content	
887			Content	
1203			Content	
1803			Content	
2236			Content	
2325	KeyPress	Space		
2325	ImageEnd	blacksquare.bmp		
2502			Content	
2967	MovieStart	Navjot_3_a.wmv		
3035			Content	
3268			Content	
3534			Content	
3951			Content	
4867			Content	
5133	MovieEnd	Navjot_3_a.wmv		
5283			Content	
5354	ImageStart	blacksquare.bmp		
5400			Content	
6316			Content	
6499			Content	
6699			Content	
6949			Content	
7350	ImageEnd	blacksquare.bmp		
7378	ImageStart	ladder_dresser.BMP		
7465			new	
7682			old	
7948			old	
8165			old	
8914			old	
9181			new	
10030			Content	
10263			new	
11262			old	
12262			old	
12357	ImageEnd	ladder_dresser.BMP		
12368	ImageStart	blacksquare.bmp		
12395			Content	
12661			Content	
12961			Content	
13045			Content	
13394			Content	
13777			Content	
14369	ImageEnd	blacksquare.bmp		
14400	ImageStart	pig_elephant.BMP		
14460			new	
14610			new	
15143			old	
15393			old	
15842			new	
16159			new	
16742			old	
17341			new	
17574			new	
18124			Content	
18574			Content	
18773			old	
19378	ImageEnd	pig_elephant.BMP		
19389	ImageStart	blacksquare.bmp		
19673			Content	
20172			Content	
20389			Content	
20605			Content	
20888			Content	
21154			Content	
21321			Content	
21389	ImageEnd	blacksquare.bmp		
21415	ImageStart	doorknob_bell.BMP		
21421			Content	
21804			new	
21921			new	
22154			old	
22620			old	
23170			old	
23636			Content	
24170			Content	
24502			Content	
24618			Content	
24735			Content	
25418			Content	
25652			Content	
26351			Content	
26396	ImageEnd	doorknob_bell.BMP		
26407	ImageStart	blacksquare.bmp		
26917			Content	
27084			Content	
27300			Content	
28066			Content	
28410	ImageEnd	blacksquare.bmp		
28436	ImageStart	swing_door.BMP		
29182			Content	
29265			old	
29515			old	
29882			Content	
30798			Content	
30948			Content	
31031			Content	
31131			Content	
32713			Content	
32979			Content	
33096			Content	
33416	ImageEnd	swing_door.BMP		
33428	ImageStart	blacksquare.bmp		
33496			Content	
33795			Content	
34428			Content	
34595			Content	
35430	ImageEnd	blacksquare.bmp		
35464	ImageStart	belt_tie.BMP		
36027			Content	
36210			old	
36577			new	
36910			new	
39325			Content	
39508			Content	
40091			Content	
40391			Content	
40435	ImageEnd	belt_tie.BMP		
40447	ImageStart	blacksquare.bmp		
