Timestamp	Event	Descriptor	AoiNames	
0			Content	
109	ImageStart	blacksquare.bmp		
683			Content	
2006	KeyPress	Space		
2006	ImageEnd	blacksquare.bmp		
2677	MovieStart	Navjot_3_a.wmv		
3864			Content	
4081			Content	
4381			Content	
4842	MovieEnd	Navjot_3_a.wmv		
5067	ImageStart	blacksquare.bmp		
6179			Content	
7062	ImageEnd	blacksquare.bmp		
7095	ImageStart	lamp_television.BMP		
7545			old	
8195			new	
8361			new	
9027			old	
9127			Content	
9277			new	
9643			new	
10027			new	
10310			new	
10576			new	
11026			new	
11342			old	
11509			old	
11725			old	
11842			new	
12069	ImageEnd	lamp_television.BMP		
12080	ImageStart	blacksquare.bmp		
12158			Content	
14082	ImageEnd	blacksquare.bmp		
14110	ImageStart	leg_arm.BMP		
15123			new	
15756			new	
15905			old	
16155			Content	
16389			old	
16772			old	
17005			old	
17205			old	
17654			new	
17771			new	
18653			new	
19089	ImageEnd	leg_arm.BMP		
19109	ImageStart	blacksquare.bmp		
19570			Content	
19769			Content	
19986			Content	
20102			Content	
20219			Content	
20569			Content	
21103	ImageEnd	blacksquare.bmp		
21132	ImageStart	sheep_monkey.BMP		
21818			old	
21951			old	
22251			new	
22368			new	
22684			old	
23100			old	
23350			old	
23600			new	
23800			new	
24100			old	
25432			Content	
25798			new	
26112	ImageEnd	sheep_monkey.BMP		
26123	ImageStart	blacksquare.bmp		
26365			Content	
26648			Content	
27164			Content	
28123	ImageEnd	blacksquare.bmp		
28150	ImageStart	cat_dog.BMP		
29063			new	
29179			old	
29362			old	
29879			new	
30045			new	
30312			new	
30778			old	
30994			old	
31511			old	
31810			old	
32177			new	
32593			new	
33126			old	
33130	ImageEnd	cat_dog.BMP		
33141	ImageStart	blacksquare.bmp		
33343			Content	
35142	ImageEnd	blacksquare.bmp		
35168	ImageStart	toe_finger.BMP		
36057			new	
36374			new	
36590			new	
37190			old	
37390			old	
37639			new	
37806			new	
38206			new	
38389			Content	
38872			old	
39155			old	
39338			old	
39638			old	
39888			new	
40104			new	
40150	ImageEnd	toe_finger.BMP		
40155	ImageStart	blacksquare.bmp		
40854			Content	
41020			Content	
42162	ImageEnd	blacksquare.bmp		
42197	ImageStart	spoon_fork.BMP		
42786			old	
43102			new	
43452			new	
43651			old	
43768			old	
44284			new	
44484			new	
45167			Content	
45317			Content	
45450			Content	
45933			old	
46066			old	
46216			old	
46549			new	
46766			new	
47033			Content	
47171	ImageEnd	spoon_fork.BMP		
47186	ImageStart	blacksquare.bmp		
47233			Content	
47600			Content	
48050			Content	
48266			Content	
48699			Content	
49098			Content	
49182	ImageEnd	blacksquare.bmp		
49216	ImageStart	mouse_squirrel.BMP		
49730			Content	
49830			old	
50130			new	
50330			new	
50713			new	
51462			Content	
52628			new	
53161			old	
53511			new	
53811			new	
54189	ImageEnd	mouse_squirrel.BMP		
54200	ImageStart	blacksquare.bmp		
54543			Content	
54743			Content	
54910			Content	
55110			Content	
56202	ImageEnd	blacksquare.bmp		
56231	ImageStart	barn_house.BMP		
57058			new	
57225			new	
57807			old	
58091			old	
58474			new	
58790			new	
59173			new	
59473			new	
59673			new	
60572			Content	
60889			old	
61211	ImageEnd	barn_house.BMP		
61225	ImageStart	blacksquare.bmp		
61288			Content	
62854			Content	
62937			Content	
63224	ImageEnd	blacksquare.bmp		
63251	ImageStart	scissors_brush.BMP		
63953			old	
64053			old	
64303			new	
64686			new	
65053			new	
65186			new	
65585			new	
65852			new	
65935			new	
66168			old	
66418			old	
66818			old	
67084			old	
67484			new	
67900			new	
68232	ImageEnd	scissors_brush.BMP		
68245	ImageStart	blacksquare.bmp		
68800			Content	
70240	ImageEnd	blacksquare.bmp		
70272	ImageStart	tiger_alligator.BMP		
70865			old	
71048			old	
72531			Content	
73030			Content	
73846			Content	
74179			Content	
74362			Content	
75250	ImageEnd	tiger_alligator.BMP		
75262	ImageStart	blacksquare.bmp		
77262	ImageEnd	blacksquare.bmp		
77801	MovieStart	Navjot_3_a.wmv		
78243			Content	
78926			Content	
79992	MovieEnd	Navjot_3_a.wmv		
80216	ImageStart	blacksquare.bmp		
80508			Content	
82224	ImageEnd	blacksquare.bmp		
82259	ImageStart	star_cloud.BMP		
83106			new	
83839			new	
84288			new	
84605			new	
85071			new	
85321			old	
85787			new	
87246	ImageEnd	star_cloud.BMP		
87259	ImageStart	blacksquare.bmp		
87736			Content	
88085			Content	
89258	ImageEnd	blacksquare.bmp		
89286	ImageStart	dress_jacket.BMP		
90250			new	
90334			new	
90534			new	
91333			old	
91733			new	
91833			new	
92282			Content	
94266	ImageEnd	dress_jacket.BMP		
94279	ImageStart	blacksquare.bmp		
96278	ImageEnd	blacksquare.bmp		
96306	ImageStart	balloon_kite.BMP		
98044			Content	
98194			Content	
98994			old	
99312			old	
99478			old	
99912			new	
101284	ImageEnd	balloon_kite.BMP		
101301	ImageStart	blacksquare.bmp		
102010			Content	
103298	ImageEnd	blacksquare.bmp		
103330	ImageStart	socks_pants.BMP		
104108			new	
104258			new	
104541			new	
104891			old	
105191			old	
105789			new	
106122			new	
106688			old	
106838			new	
107105			new	
107538			Content	
108304	ImageEnd	socks_pants.BMP		
108318	ImageStart	blacksquare.bmp		
108321			Content	
109271			Content	
110319	ImageEnd	blacksquare.bmp		
110340	ImageStart	shoe_boot.BMP		
111502			old	
111652			old	
111935			new	
112218			new	
112668			new	
113068			Content	
113268			old	
114234			new	
114617			new	
115183			Content	
115327	ImageEnd	shoe_boot.BMP		
