System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 043
Recording date:	 11/11/2014
Recording time:	 3:37:54 PM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 2:03:36 PM

Participant:	 043
Timestamp	Event	Descriptor	AoiNames	
0			Content	
322	MovieStart	MutedBallie.avi		
533			Content	
1898			Content	
2581			Content	
2698			Content	
5225	KeyPress	Space		
5225	MovieEnd	MutedBallie.avi		
5435	ImageStart	blacksquare.bmp		
6362			Content	
6728			Content	
7278			Content	
7561	KeyPress	Space		
7561	ImageEnd	blacksquare.bmp		
7584	ImageStart	cake_hat_a.BMP		
7644			Content	
8044			Content	
8277			correct	
8494			Content	
8710			correct	
9043			incorrect	
9610			incorrect	
10109			Content	
10326			correct	
11108			incorrect	
11791			incorrect	
11991			correct	
12291			correct	
13073			correct	
13307			correct	
13506			correct	
13773			Content	
15405			incorrect	
15671			incorrect	
15921			incorrect	
16404			Content	
16588			incorrect	
17070			correct	
17837			correct	
18120			incorrect	
18403			incorrect	
19069			incorrect	
21118			incorrect	
21667			incorrect	
22167			incorrect	
22417			correct	
22633			correct	
23766			correct	
24000			correct	
24283			incorrect	
24566			incorrect	
25065			incorrect	
25365			correct	
25615			correct	
28596			incorrect	
28846			incorrect	
30345			Content	
33526			incorrect	
35649	KeyPress	Space		
35649	ImageEnd	cake_hat_a.BMP		
35653	ImageStart	blacksquare.bmp		
36273			Content	
38385	KeyPress	Space		
38385	ImageEnd	blacksquare.bmp		
38406	ImageStart	jacket_leaf_a.BMP		
38954			correct	
39204			correct	
39604			correct	
40320			correct	
40745	KeyPress	Left		
40745	ImageEnd	jacket_leaf_a.BMP		
40749	ImageStart	blacksquare.bmp		
40786			Content	
40903			Content	
41469			Content	
41985			Content	
42668			Content	
42918			Content	
43721	KeyPress	Space		
43721	ImageEnd	blacksquare.bmp		
43743	ImageStart	apple_bear_a.BMP		
44267			incorrect	
44434			correct	
44600			correct	
45000			incorrect	
45300			correct	
45649			correct	
46532			correct	
46968	KeyPress	Right		
46969	ImageEnd	apple_bear_a.BMP		
46973	ImageStart	blacksquare.bmp		
47881			Content	
48014			Content	
48314			Content	
48447			Content	
49280			Content	
49580			Content	
49864	KeyPress	Space		
