System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 080
Recording date:	 6/22/2015
Recording time:	 10:06:47 AM
Recording resolution:	 1280 x 1024

Export date:	 9/14/2015
Export time:	 2:09:28 PM

Participant:	 080
Timestamp	Event	Descriptor	AoiNames	
0			Content	
570			Content	
783	MovieStart	MutedBallie.avi		
870			Content	
3574	KeyPress	Space		
3578	MovieEnd	MutedBallie.avi		
4017			Content	
4835	ImageStart	fixation.png		
4933			Content	
5466			Content	
5916			Content	
6332			Content	
6582			Content	
6698			Content	
6848			Content	
7048			Content	
7148	KeyPress	Space		
7153	ImageEnd	fixation.png		
7181	ImageStart	chair_refrigerator_a.BMP		
7598			incorrect	
8664			incorrect	
9014			incorrect	
9280			incorrect	
9513			correct	
9763			correct	
10263			correct	
10462			incorrect	
12278			incorrect	
12361			incorrect	
12511			incorrect	
12612	KeyPress	Left		
12612	ImageEnd	chair_refrigerator_a.BMP		
12616	ImageStart	fixation.png		
13060			Content	
14980	KeyPress	Space		
14980	ImageEnd	fixation.png		
15003	ImageStart	balloons_grapes_a.BMP		
15325			incorrect	
15609			incorrect	
17008			correct	
17174			correct	
17724			correct	
18257			incorrect	
18556			incorrect	
19089			incorrect	
19508	KeyPress	Left		
19508	ImageEnd	balloons_grapes_a.BMP		
19512	ImageStart	fixation.png		
19872			Content	
21438			Content	
22324	KeyPress	Space		
22324	ImageEnd	fixation.png		
22344	ImageStart	spoon_ball_a.BMP		
22853			incorrect	
22936			incorrect	
23386			correct	
23653			correct	
24202			correct	
24868			correct	
25751			correct	
25996	KeyPress	Left		
25996	ImageEnd	spoon_ball_a.BMP		
26000	ImageStart	fixation.png		
26317			Content	
26834			Content	
28183			Content	
28780	KeyPress	Space		
28780	ImageEnd	fixation.png		
28801	ImageStart	cookie_sock_a.BMP		
28949			incorrect	
29232			incorrect	
29631			incorrect	
29931			correct	
30747			correct	
31730			correct	
31859	KeyPress	Right		
31860	ImageEnd	cookie_sock_a.BMP		
