System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 095
Recording date:	 9/23/2015
Recording time:	 9:26:42 AM
Recording resolution:	 1280 x 1024

Export date:	 9/23/2015
Export time:	 11:22:11 AM

Participant:	 095
Timestamp	Event	Descriptor	AoiNames	
0			Content	
314	MovieStart	MutedBallie.avi		
452			Content	
10135	KeyPress	Space		
10135	MovieEnd	MutedBallie.avi		
10549	ImageStart	fixation.png		
10846			Content	
11007	KeyPress	Space		
11007	ImageEnd	fixation.png		
11030	ImageStart	cookie_pizza_a.BMP		
11362			incorrect	
11678			incorrect	
11945			incorrect	
12161			correct	
13227			correct	
14826			correct	
15242			incorrect	
15642			incorrect	
16208			correct	
17307			correct	
17657			correct	
17999	KeyPress	Right		
17999	ImageEnd	cookie_pizza_a.BMP		
18003	ImageStart	fixation.png		
18072			Content	
18322			Content	
19672			Content	
19938			Content	
20321			Content	
21031	KeyPress	Space		
21031	ImageEnd	fixation.png		
21053	ImageStart	shoe_sock_a.BMP		
21171			Content	
21687			incorrect	
22536			correct	
22969			correct	
23769			correct	
23959	KeyPress	Right		
23959	ImageEnd	shoe_sock_a.BMP		
23963	ImageStart	fixation.png		
24285			Content	
25317			Content	
25467			Content	
25834			Content	
25871	KeyPress	Space		
25871	ImageEnd	fixation.png		
25892	ImageStart	balloons_duck_a.BMP		
26367			correct	
26816			correct	
27791	KeyPress	Left		
27791	ImageEnd	balloons_duck_a.BMP		
27795	ImageStart	fixation.png		
27865			Content	
28098			Content	
28364			Content	
28564			Content	
29581			Content	
29791	KeyPress	Space		
29791	ImageEnd	fixation.png		
29798			Content	
29813	ImageStart	flowers_cat_a.BMP		
30197			incorrect	
30564			incorrect	
30830			correct	
31163			correct	
31596			correct	
31795			correct	
32045			correct	
32175	KeyPress	Right		
32175	ImageEnd	flowers_cat_a.BMP		
32179	ImageStart	fixation.png		
32378			Content	
32661			Content	
32978			Content	
33161			Content	
33794			Content	
33927	KeyPress	Space		
33927	ImageEnd	fixation.png		
33949	ImageStart	pig_butterfly_a.BMP		
34311			correct	
34611			correct	
34894			correct	
35044			incorrect	
35892			incorrect	
36142			incorrect	
36375	KeyPress	Left		
36375	ImageEnd	pig_butterfly_a.BMP		
36379	ImageStart	fixation.png		
36725			Content	
37275			Content	
38223	KeyPress	Space		
38223	ImageEnd	fixation.png		
38245	ImageStart	tv_bread_a.BMP		
38608			incorrect	
38907			incorrect	
39024			correct	
39974	KeyPress	Right		
39975	ImageEnd	tv_bread_a.BMP		
39978	ImageStart	fixation.png		
40289			Content	
40372			Content	
41189			Content	
41606			Content	
41806	KeyPress	Space		
41807	ImageEnd	fixation.png		
41822			correct	
41828	ImageStart	orange_ball_a.BMP		
42105			correct	
42471			correct	
42721			correct	
43204			incorrect	
43803			incorrect	
44070			incorrect	
44236			incorrect	
44238	KeyPress	Left		
44239	ImageEnd	orange_ball_a.BMP		
44242	ImageStart	fixation.png		
44319			Content	
44536			Content	
45750	KeyPress	Space		
45751	ImageEnd	fixation.png		
45772	ImageStart	spoon_fork_a.BMP		
46419			correct	
46835			correct	
47251			incorrect	
47434			incorrect	
48017			incorrect	
48433			correct	
49116			correct	
49190	KeyPress	Left		
49190	ImageEnd	spoon_fork_a.BMP		
49194	ImageStart	fixation.png		
49199			Content	
49732			Content	
50098			Content	
50638	KeyPress	Space		
50639	ImageEnd	fixation.png		
50660	ImageStart	mouse_refrigerator_a.BMP		
50815			incorrect	
51098			incorrect	
51665			correct	
52081			correct	
52680			correct	
53710	KeyPress	Right		
53710	ImageEnd	mouse_refrigerator_a.BMP		
53715	ImageStart	fixation.png		
54062			Content	
54862			Content	
55078			Content	
55228			Content	
55310	KeyPress	Space		
55310	ImageEnd	fixation.png		
55332	ImageStart	chair_grapes_a.BMP		
55461			Content	
55594			correct	
56344			correct	
56610			correct	
56911	KeyPress	Left		
56911	ImageEnd	chair_grapes_a.BMP		
56915	ImageStart	fixation.png		
57143			Content	
57843			Content	
59054	KeyPress	Space		
