System Properties:
Operating System:	 Microsoft Windows NT 6.1.7601 Service Pack 1
System User Name:	 ehembach
Machine Name:	 DSS03691-CMB-D

Data properties:

Recording name:	 Rec 102
Recording date:	 10/28/2015
Recording time:	 2:58:23 PM
Recording resolution:	 1280 x 1024

Export date:	 11/2/2015
Export time:	 11:20:26 AM

Participant:	 P102
Timestamp	Event	Descriptor	AoiNames	
0			Content	
23			Content	
330	MovieStart	MutedBallie.avi		
572			Content	
955			Content	
3020			Content	
3752			Content	
3969			Content	
4235			Content	
4258	KeyPress	Space		
4258	MovieEnd	MutedBallie.avi		
4519			Content	
4652			Content	
4968			Content	
5351			Content	
5501			Content	
5784			Content	
6699	ImageStart	fixation.png		
7550			Content	
7700			Content	
7983			Content	
17792			Content	
18754	KeyPress	Space		
18754	ImageEnd	fixation.png		
18776	ImageStart	elephant_bear_a.BMP		
18974			Content	
19307			Content	
19657			Content	
20423			Content	
20540			correct	
21706			correct	
23288			Content	
23471			incorrect	
23787			incorrect	
23921			incorrect	
24404			incorrect	
24720			correct	
26486			correct	
27353	KeyPress	Right		
27354	ImageEnd	elephant_bear_a.BMP		
27359	ImageStart	fixation.png		
28051			Content	
28734			Content	
29101			Content	
29234			Content	
29650			Content	
29950			Content	
32145	KeyPress	Space		
32145	ImageEnd	fixation.png		
32169	ImageStart	clock_bicycle_a.BMP		
32481			Content	
32864			Content	
33247			Content	
33464			correct	
34013			correct	
34579			Content	
34896			Content	
35046			correct	
35479			incorrect	
35595			incorrect	
35945			Content	
36711			incorrect	
37128			correct	
37411			correct	
37744			correct	
37969	KeyPress	Right		
37969	ImageEnd	clock_bicycle_a.BMP		
37973	ImageStart	fixation.png		
38293			Content	
38493			Content	
38843			Content	
38857	KeyPress	Space		
38857	ImageEnd	fixation.png		
38878	ImageStart	cake_doll_a.BMP		
39276			correct	
39626			Content	
39959			incorrect	
40842			correct	
41191			correct	
41608			correct	
42024			correct	
42174			incorrect	
42824			incorrect	
43556			incorrect	
43989			incorrect	
44073			incorrect	
44256			incorrect	
44372			Content	
44606			correct	
45222			incorrect	
45488			incorrect	
45771			Content	
46238			correct	
46704			correct	
47254			correct	
47387			correct	
48201	KeyPress	Left		
48201	ImageEnd	cake_doll_a.BMP		
48205	ImageStart	fixation.png		
48486			Content	
48886			Content	
48993	KeyPress	Space		
48993	ImageEnd	fixation.png		
49014	ImageStart	egg_hat_a.BMP		
49052			Content	
49535			incorrect	
51334			incorrect	
51501			incorrect	
53066			correct	
53899			correct	
54232			incorrect	
54582			incorrect	
54748			correct	
55298			correct	
55914			incorrect	
56164			Content	
56514			incorrect	
56747			incorrect	
57763			Content	
58046			Content	
58146			Content	
58312			incorrect	
58895			incorrect	
59278			Content	
59462			Content	
59496	KeyPress	Left		
59496	ImageEnd	egg_hat_a.BMP		
59500	ImageStart	fixation.png		
59745			Content	
59861			Content	
60161			Content	
60296	KeyPress	Space		
60297	ImageEnd	fixation.png		
60318	ImageStart	bottle_leaf_a.BMP		
60727			correct	
61110			correct	
62609			correct	
62742			correct	
63907			Content	
64440			Content	
65090			correct	
65306			correct	
65506			Content	
65512	KeyPress	Left		
65512	ImageEnd	bottle_leaf_a.BMP		
65516	ImageStart	fixation.png		
65839			Content	
66072			Content	
66422			Content	
66536	KeyPress	Space		
66536	ImageEnd	fixation.png		
66559	ImageStart	bunny_dog_a.BMP		
67288			incorrect	
67371			incorrect	
67888			correct	
68088			correct	
69070			correct	
69437			Content	
69488	KeyPress	Right		
69488	ImageEnd	bunny_dog_a.BMP		
69492	ImageStart	fixation.png		
69820			Content	
70592	KeyPress	Space		
70592	ImageEnd	fixation.png		
70613	ImageStart	apple_strawberry_a.BMP		
71185			correct	
71402			correct	
72001			correct	
72268			correct	
72718			incorrect	
73417			Content	
74283			incorrect	
75149			Content	
75448	KeyPress	Right		
75448	ImageEnd	apple_strawberry_a.BMP		
75452	ImageStart	fixation.png		
75499			Content	
75815			Content	
76115			Content	
76544	KeyPress	Space		
76544	ImageEnd	fixation.png		
76568	ImageStart	icecream_broccoli_a.BMP		
77281			correct	
77431			correct	
77664			correct	
78297			incorrect	
78596			incorrect	
79412			correct	
79662			correct	
80778			correct	
80928	KeyPress	Left		
80928	ImageEnd	icecream_broccoli_a.BMP		
80932	ImageStart	fixation.png		
