Data properties:

Recording date: 5/21/2016
Recording time: 12:47:11:653 (corresponds to time 0)
Study: 11
Subject: 124
Recording: 124
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	0	99	675	542	
2	99	267	500	10	
3	548	83	147	67	
4	632	633	93	85	
5	1431	100	109	78	
6	1531	1216	652	544	
7	2747	600	248	92	
8	3347	633	130	91	
9	3979	100	94	81	
10	4246	1382	181	155	
11	5795	400	195	146	
12	6195	366	205	-102	
13	6561	350	248	104	
14	6911	799	313	179	
15	7710	100	322	218	
16	8193	67	243	874	
17	8393	550	198	890	
18	8943	366	61	484	
19	9309	516	625	1100	
20	9825	250	529	847	
21	10075	183	437	345	
22	10258	233	414	209	
23	10491	2132	429	170	
24	12856	300	84	-5	
25	13156	616	75	90	
26	13956	849	82	79	
27	14805	500	80	580	
28	15304	166	79	185	
29	15471	300	83	90	
30	16204	400	86	96	
31	16603	1332	233	99	
32	17936	400	64	84	
33	18869	317	230	991	
34	19185	100	250	574	
35	19402	216	665	395	
36	19618	416	757	340	
37	20034	350	284	320	
38	20384	200	196	309	
39	20584	433	745	288	
40	21017	666	678	297	
41	21683	416	635	300	
42	22099	266	754	289	
43	22366	466	220	327	
44	22832	266	142	313	
45	23282	200	279	292	
46	23482	633	679	295	
47	24115	216	567	308	
48	24331	183	691	312	
49	25881	50	204	169	
50	26180	699	85	89	
51	26879	217	279	316	
52	27096	799	704	300	
53	27895	216	274	265	
54	28112	100	-59	80	
55	29027	166	214	214	
56	29193	150	498	259	
57	29343	916	734	288	
58	30260	233	291	280	
59	30493	783	710	303	
60	31276	849	334	281	
61	32125	516	723	285	
62	32641	666	255	306	
63	33308	932	346	289	
64	34373	217	-95	-1	
65	34590	1233	90	96	
66	36022	133	697	363	
67	36156	250	255	329	
68	36405	133	196	336	
69	36539	250	708	298	
70	36788	283	808	272	
71	37072	133	831	471	
72	37205	932	814	291	
73	39969	450	95	61	
74	41252	117	667	388	
75	41368	599	703	364	
76	41968	233	233	342	
77	42201	117	236	288	
78	42484	250	226	253	
79	42734	200	228	320	
80	42934	1166	228	260	
81	44266	483	236	270	
82	44749	450	253	37	
83	45199	333	75	90	
84	45799	83	120	80	
85	45882	350	85	91	
86	46232	233	670	358	
87	46598	200	696	283	
88	46798	650	329	271	
89	47447	1798	701	315	
90	49446	183	595	304	
91	49629	417	336	289	
92	50046	183	600	323	
93	50229	383	680	332	
94	50612	449	89	85	
95	51061	100	475	95	
96	51561	200	442	389	
97	51761	516	281	336	
98	52277	483	197	338	
99	52760	500	306	447	
100	53260	300	282	483	
101	53793	266	203	361	
102	54060	400	700	354	
103	54459	416	707	309	
104	54876	449	274	318	
105	55325	100	-25	184	
106	57106	101	217	562	
107	57207	167	235	606	
108	57373	266	706	401	
109	57640	166	749	327	
110	57806	216	709	231	
111	58023	233	286	292	
112	58256	333	186	399	
113	58589	184	131	482	
114	58889	582	694	277	
115	59472	400	799	401	
116	59871	316	853	469	
117	60188	100	869	507	
118	60537	17	890	495	
119	61021	233	406	109	
120	61254	1732	89	104	
121	62986	350	663	370	
122	63336	883	205	316	
123	64218	433	749	309	
124	64651	233	684	316	
125	64884	166	633	326	
126	66000	200	156	352	
127	66200	499	68	334	
128	66700	483	642	319	
129	67349	600	85	92	
130	68065	17	-519	495	
131	68299	400	-753	514	
132	68699	316	362	354	
133	69015	450	263	333	
134	69465	1016	667	261	
135	70480	816	223	298	
136	71763	233	713	292	
137	71996	317	115	329	
138	72513	17	-840	872	
139	72862	350	93	82	
140	73212	433	-83	860	
141	73645	549	-321	875	
142	74194	600	138	846	
143	75111	17	29	1142	
144	75444	200	554	362	
145	75643	316	735	353	
146	75960	750	269	358	
147	76709	316	165	370	
148	77026	250	271	335	
149	77275	383	769	338	
150	77658	450	696	389	
151	78108	1183	244	442	
152	79291	200	266	383	
153	79490	416	287	340	
154	79907	499	255	282	
155	80406	383	720	383	
156	80789	233	787	313	
157	81189	533	848	288	
158	81722	400	713	326	
159	82288	467	750	311	
160	82755	300	102	105	
