Data properties:

Recording date: 4/5/2016
Recording time: 12:04:40:345 (corresponds to time 0)
Study: perceptual_6
Subject: 118
Recording: 118
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	0	400	-156	159	
2	400	250	298	-279	
3	650	3115	86	88	
4	3765	400	612	1226	
5	4164	433	582	472	
6	4597	233	683	1406	
7	4830	899	100	895	
8	5730	433	592	331	
9	6162	416	610	1279	
10	6579	450	544	799	
11	7028	633	432	307	
12	7661	366	202	240	
13	8028	416	349	316	
14	8444	183	656	323	
15	8627	150	687	292	
16	9893	300	59	78	
17	10193	200	42	769	
18	10393	100	-4	516	
19	10626	117	36	24	
20	10743	599	471	376	
21	11342	466	581	333	
22	11809	965	339	328	
23	12774	150	599	305	
24	13057	167	688	161	
25	14889	83	493	289	
26	14972	633	481	352	
27	15605	1000	210	225	
28	16605	299	809	330	
29	16904	100	947	120	
30	17587	83	431	-73	
31	17671	834	64	86	
32	18504	200	39	698	
33	18870	433	420	379	
34	19304	250	824	277	
35	19553	798	865	241	
36	21051	167	-317	106	
37	21368	1317	59	79	
38	22685	866	613	309	
39	23550	316	155	364	
40	23867	450	37	383	
41	24316	833	335	275	
42	25149	882	211	486	
43	26031	266	324	255	
44	26414	250	-1250	-479	
45	26664	599	379	369	
46	27264	100	243	290	
47	28979	83	79	709	
48	29379	883	73	75	
49	30261	816	749	271	
50	31077	266	651	332	
51	32260	17	-255	167	
52	32377	33	-268	140	
53	32610	1366	53	83	
54	33976	465	756	327	
55	34441	117	674	296	
56	35207	283	-118	111	
57	35491	1016	43	73	
58	37007	350	130	853	
59	37357	400	-29	787	
60	37906	533	483	395	
61	38439	300	592	484	
62	38739	300	879	303	
63	39039	216	110	319	
64	39255	350	23	320	
65	39605	1248	328	412	
66	40854	767	61	84	
67	41620	533	183	822	
68	42420	200	470	458	
69	42620	433	165	499	
70	43053	483	266	253	
71	43536	317	782	276	
72	43852	366	173	473	
73	44219	300	736	273	
74	44518	600	776	229	
75	45118	583	271	231	
76	45701	816	143	513	
77	46517	449	728	453	
78	46966	100	953	378	
79	48415	17	65	83	
80	48582	400	55	86	
81	49865	832	755	538	
82	50697	616	743	250	
83	51313	949	179	222	
84	52262	100	170	110	
85	53761	866	58	80	
86	54627	333	224	534	
87	54961	965	176	521	
88	55926	233	174	187	
89	56159	100	113	31	
90	56808	100	-223	227	
91	56908	717	56	64	
92	59406	33	185	173	
93	60389	183	-206	-111	
94	60572	1583	56	79	
95	62155	499	660	276	
96	62655	166	800	220	
97	62971	50	1117	83	
98	64670	116	131	797	
99	64787	200	111	867	
100	65153	250	562	380	
101	65403	766	724	233	
102	66169	366	733	528	
103	66535	233	198	252	
104	66768	466	171	211	
105	67235	749	197	496	
106	67984	1082	181	221	
107	69066	100	155	166	
108	71131	16	69	3	
109	82739	466	790	358	
110	83205	366	606	338	
111	83572	200	637	317	
112	83771	500	205	197	
113	84388	250	231	476	
114	84887	67	-181	192	
115	88534	250	-220	431	
116	89118	83	362	-20	
117	89200	100	364	-81	
118	89417	33	355	-115	
119	93797	183	-94	225	
120	93980	117	122	259	
121	94097	183	200	200	
122	97211	233	516	348	
123	97444	450	588	392	
124	97894	300	806	346	
125	98194	483	621	363	
126	98677	133	22	80	
127	98926	400	56	66	
128	99326	367	691	1300	
129	99693	383	526	1187	
130	100076	300	315	-1	
131	100376	700	396	234	
132	101075	450	418	298	
133	101525	316	501	279	
134	101841	83	407	268	
