Data properties:

Recording date: 4/13/2016
Recording time: 11:00:38:048 (corresponds to time 0)
Study: False Belief 2
Subject: 118
Recording: 118
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	612	732	737	
1	612	600	-30	687	
2	1328	666	64	107	
3	2127	649	74	82	
4	3027	1382	78	94	
5	5908	183	526	498	
6	11221	50	-2	85	
7	11404	566	42	97	
8	11970	183	162	401	
9	12154	816	166	324	
10	13086	1649	148	323	
11	14735	233	76	322	
12	16817	83	-417	1	
13	16900	217	-383	24	
14	17266	17	9	83	
15	17600	150	716	372	
16	18132	350	746	363	
17	18599	33	750	374	
18	18765	1516	748	361	
19	20281	566	622	368	
20	20847	949	50	107	
21	21930	1782	167	348	
22	23845	150	583	374	
23	24128	283	741	354	
24	24411	450	899	365	
25	24861	1399	740	357	
26	26260	183	202	333	
27	26560	633	173	333	
28	27193	100	34	362	
29	27426	133	29	371	
30	27709	100	32	345	
31	27809	833	161	337	
32	28642	217	35	350	
33	29075	450	176	338	
34	29524	1033	42	101	
35	30557	516	172	363	
36	31073	400	209	477	
37	31589	516	170	479	
38	32106	333	176	367	
39	32439	516	743	418	
40	32955	650	665	395	
41	33604	350	712	432	
42	33954	816	766	284	
43	34770	300	734	458	
44	35070	266	671	414	
45	35337	2931	721	458	
46	38268	999	663	413	
47	39267	250	-206	29	
48	39517	650	54	109	
49	40166	183	138	168	
50	40550	633	610	1345	
51	41182	633	606	1045	
52	41965	250	493	334	
53	42215	983	169	353	
54	43197	200	775	319	
55	43397	699	740	309	
56	44097	550	191	363	
57	44646	383	220	441	
58	45029	466	770	370	
59	45496	433	676	375	
60	45929	700	734	322	
61	46628	600	201	367	
62	47228	666	225	441	
63	47894	366	128	328	
64	48260	883	155	363	
65	49276	200	155	365	
66	49676	1915	155	367	
67	51774	816	162	357	
68	52773	716	275	397	
69	53489	200	730	316	
70	53856	283	732	325	
71	54139	683	217	383	
72	57137	150	415	360	
73	57287	833	187	292	
74	58119	966	748	330	
75	59085	1282	194	274	
76	60367	5346	215	425	
77	65714	1932	246	397	
78	67646	2615	215	428	
79	70260	1132	184	274	
80	71392	583	768	320	
81	71976	416	441	343	
82	72392	350	175	280	
83	72741	250	236	454	
84	72991	300	230	419	
85	73291	666	767	341	
86	73957	450	32	67	
87	74407	250	-92	726	
88	74657	333	445	365	
89	74990	350	151	329	
90	75340	316	227	375	
91	75656	1749	719	292	
92	77405	1183	739	495	
93	78587	1116	792	432	
94	79703	816	745	489	
95	80519	749	729	284	
96	81269	1133	732	491	
97	82401	266	746	314	
98	82668	1066	168	302	
99	83734	1416	227	380	
100	85149	600	731	312	
101	85749	1016	36	70	
102	86765	500	697	287	
103	87264	666	693	442	
104	87930	1249	244	431	
105	89179	233	242	324	
106	89413	316	232	274	
107	89729	1199	238	436	
108	90928	1083	230	280	
109	92010	533	702	322	
110	92543	683	703	467	
111	93226	783	708	277	
112	94009	300	252	268	
113	94309	1099	248	429	
114	95408	200	229	336	
115	95608	333	224	299	
116	95941	1549	103	468	
117	97673	183	1047	607	
118	97856	1715	596	538	
119	101903	17	622	527	
