Data properties:

Recording date: 2/9/2016
Recording time: 09:54:22:810 (corresponds to time 0)
Study: True Belief 2
Subject: 114
Recording: 114
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	0	3081	90	95	
1	3081	100	236	143	
2	3697	150	811	-391	
3	3847	516	833	-460	
4	4363	100	169	-1032	
5	4796	83	512	-870	
6	4996	167	5	104	
7	5163	533	63	94	
8	5829	33	214	414	
9	5979	883	213	330	
10	6861	366	50	363	
11	7228	133	107	363	
12	7511	533	202	317	
13	8227	17	234	446	
14	8428	267	242	453	
15	9045	483	192	304	
16	14273	67	602	279	
17	14489	17	1048	157	
18	22883	17	-255	139	
19	23149	17	-152	253	
20	23433	133	356	180	
21	24349	150	574	285	
22	26414	150	149	342	
23	38455	183	449	214	
24	38638	350	29	302	
25	38988	200	-64	268	
26	39188	483	-161	268	
27	39671	133	356	246	
28	39804	100	331	287	
29	39904	366	423	264	
30	40270	200	389	297	
31	40620	17	669	369	
32	40787	17	-1431	350	
33	44217	134	215	360	
34	44550	51	213	361	
35	44967	17	689	360	
36	45167	134	672	385	
37	45467	100	711	338	
38	46383	17	210	428	
39	46899	100	-322	86	
40	48048	83	286	549	
41	49130	17	344	355	
42	49397	250	216	416	
43	49863	183	210	364	
44	50046	283	264	200	
45	50329	250	320	191	
46	51529	17	1020	1	
47	51662	200	729	179	
48	51862	167	268	204	
49	52161	400	231	213	
50	53344	166	158	227	
51	53510	250	227	238	
52	54660	83	738	229	
53	55226	133	-42	-34	
54	55626	33	61	-52	
55	57807	333	725	302	
56	58140	483	728	338	
57	58790	100	719	282	
58	60772	33	555	261	
59	61605	116	560	200	
60	61721	316	677	181	
61	62038	233	688	142	
62	62271	116	734	334	
63	63386	83	-13	13	
64	63470	117	80	-12	
65	63819	167	-4	67	
66	65651	183	369	297	
67	65835	116	223	307	
68	65951	133	234	410	
69	66084	150	237	375	
70	66234	100	452	376	
71	66601	83	770	266	
72	66851	17	633	242	
73	66984	83	665	246	
74	67067	117	647	196	
75	67184	183	201	272	
76	67367	117	179	301	
77	67483	133	224	367	
78	67617	116	242	407	
79	67733	183	227	222	
80	67916	100	350	217	
81	68016	366	236	242	
82	68383	150	222	196	
83	68533	316	248	343	
84	68849	133	644	294	
85	69282	33	635	253	
86	69465	50	756	391	
87	69915	50	734	430	
88	70082	117	790	487	
89	71231	17	724	278	
90	72796	316	595	386	
91	73113	150	614	478	
