Data properties:

Recording date: 12/15/2015
Recording time: 09:53:55:972 (corresponds to time 0)
Study: Associative 2
Subject: 106
Recording: 106
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	2188	16	81	87	
1	2321	1049	72	108	
2	3620	716	50	115	
3	4336	200	424	415	
4	4536	100	411	468	
5	4736	234	369	547	
6	4970	233	768	563	
7	5202	250	804	459	
8	5452	533	788	419	
9	5985	1116	1013	426	
10	7101	666	976	431	
11	7766	250	752	395	
12	8150	883	784	400	
13	9032	383	-337	86	
14	14645	400	730	449	
15	15044	383	151	146	
16	16693	350	784	401	
17	18059	166	214	383	
18	19458	400	403	397	
19	20024	133	422	384	
20	20157	283	944	408	
21	20440	899	1021	411	
22	21340	300	82	103	
23	21823	266	156	113	
24	22089	300	589	413	
25	22389	433	403	395	
26	22822	516	799	397	
27	23338	816	1026	389	
28	24154	100	853	378	
29	25270	117	438	587	
30	25387	100	388	480	
31	27685	550	33	103	
32	31699	83	707	384	
33	31782	466	423	355	
34	32248	183	331	389	
35	32432	516	180	388	
36	34014	466	208	435	
37	34480	200	390	347	
38	35363	117	363	435	
39	35480	100	366	380	
40	35746	167	355	321	
41	37495	100	594	444	
42	37595	249	747	412	
43	37844	566	782	404	
44	38410	1033	69	117	
45	39443	333	428	407	
46	39776	1382	784	410	
47	41158	166	974	395	
48	46305	16	385	365	
49	46504	133	548	505	
50	47221	183	664	499	
51	48603	150	672	476	
52	48903	83	648	469	
53	48986	100	442	441	
54	49319	17	-66	320	
55	49519	117	39	241	
56	49636	100	86	180	
57	50318	533	493	624	
58	50851	483	279	568	
59	51434	183	210	237	
60	51618	633	372	302	
61	52250	250	483	321	
62	53383	200	320	335	
