Data properties:

Recording date: 2/16/2016
Recording time: 13:21:02:665 (corresponds to time 0)
Study: colors
Subject: 112
Recording: 112
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	1233	600	83	88	
2	1833	383	133	578	
3	2216	300	-56	106	
4	2515	300	63	77	
5	2965	649	65	69	
6	3614	200	176	359	
7	3814	766	143	383	
8	4580	1083	824	353	
9	5663	333	871	366	
10	5996	283	829	351	
11	6279	283	77	345	
12	6562	1266	129	360	
13	9693	1299	124	366	
14	10992	366	98	315	
15	11358	466	128	406	
16	11825	333	843	369	
17	12158	966	817	415	
18	13124	216	55	338	
19	13340	800	116	364	
20	14673	83	41	67	
21	14873	416	35	75	
22	15589	100	431	354	
23	15689	250	855	357	
24	15939	966	800	354	
25	16905	1199	106	333	
26	18104	433	87	376	
27	18537	333	103	326	
28	18870	183	486	340	
29	19053	317	767	340	
30	19369	400	817	333	
31	19903	666	814	330	
32	20568	183	58	66	
33	20752	350	23	79	
34	21468	283	424	359	
35	21751	700	833	372	
36	22450	317	68	377	
37	22767	716	101	357	
38	23483	216	724	356	
39	23700	583	826	350	
40	24282	533	127	342	
41	24816	516	83	322	
42	25332	266	131	280	
43	25898	383	196	237	
44	26281	350	106	343	
45	26631	333	75	66	
46	26964	599	-14	104	
47	27563	167	446	373	
48	27730	633	791	370	
49	28363	183	25	370	
50	28546	982	98	361	
51	29529	416	72	329	
52	29945	283	48	416	
53	30228	566	97	351	
54	30794	100	23	387	
55	31310	83	174	330	
56	31393	1249	78	356	
57	32643	483	37	54	
58	33126	616	-40	91	
59	33742	1349	100	347	
60	35091	116	36	382	
61	35207	216	163	407	
62	35424	400	735	359	
63	35823	283	805	343	
64	36107	500	773	318	
65	36606	533	834	328	
66	37373	167	43	360	
67	37539	399	89	324	
68	37939	583	51	365	
69	38705	83	-109	86	
70	38788	933	-27	71	
71	39721	366	15	373	
72	40087	216	101	361	
73	40304	1549	812	352	
74	41853	1066	112	332	
75	42918	500	790	347	
76	43418	883	833	337	
77	44301	250	162	366	
78	44551	183	-314	59	
79	44734	400	29	65	
80	45383	166	-381	-1166	
81	45549	266	-42	-1207	
82	46099	133	300	378	
83	46233	217	22	412	
84	46449	283	88	375	
85	46732	266	755	353	
86	46999	1399	810	348	
87	48398	333	111	354	
88	48731	333	54	409	
89	49064	133	103	346	
90	49197	1049	90	278	
91	50246	500	-5	451	
92	50746	550	-41	91	
93	51545	217	424	344	
94	51762	599	825	316	
95	52361	398	78	308	
96	52759	100	21	328	
97	53259	816	791	343	
98	54075	100	735	358	
99	54176	301	766	392	
100	54609	199	797	375	
101	54941	150	114	687	
102	55408	166	402	705	
103	56724	17	280	617	
104	56873	166	283	596	
105	57206	33	312	704	
106	57423	183	344	170	
107	58173	83	314	206	
108	58389	233	339	192	
109	58623	300	291	159	
110	58923	250	225	164	
111	59173	866	277	116	
112	60039	216	493	172	
113	60256	416	536	156	
114	60672	200	501	129	
