Data properties:

Recording date: 1/20/2016
Recording time: 09:49:22:076 (corresponds to time 0)
Study: single 12
Subject: 108
Recording: 108
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	0	139	793	495	
2	139	350	-455	-143	
3	489	116	-490	-297	
4	605	833	108	66	
5	1438	350	581	490	
6	1788	483	93	432	
7	2271	250	596	439	
8	2521	400	-150	1170	
9	2921	117	-298	1312	
10	3037	283	-833	761	
11	3320	233	-855	879	
12	3553	416	90	37	
13	3970	167	54	65	
14	4136	133	54	-101	
15	4270	366	470	364	
16	4636	450	136	343	
17	5086	716	814	348	
18	5802	416	115	331	
19	6218	433	162	389	
20	6651	550	850	361	
21	7201	300	172	389	
22	7501	183	653	406	
23	7867	183	819	361	
24	8050	233	1065	232	
25	9116	83	247	322	
26	9199	483	134	352	
27	9682	150	197	393	
28	9832	383	779	341	
29	10215	183	751	736	
30	10398	133	724	962	
31	10532	300	562	1145	
32	10831	183	635	1097	
33	11015	316	1273	726	
34	11331	233	677	392	
35	11564	250	864	378	
36	11814	100	1151	769	
37	12364	67	1309	178	
38	12563	33	1335	195	
39	12780	117	1304	114	
40	13213	33	1150	254	
41	14096	17	57	1069	
42	14379	166	785	-104	
43	14545	183	-37	203	
44	15728	66	-223	288	
45	16261	49	-133	327	
46	16711	33	526	388	
47	17743	217	562	383	
48	17960	149	-122	339	
49	18109	183	175	354	
50	18293	200	831	376	
51	23389	183	197	336	
52	23689	216	135	333	
53	23905	1182	181	331	
54	26853	117	-235	487	
55	26970	450	-1006	1179	
56	28468	317	762	431	
57	28785	533	822	406	
58	29434	483	202	340	
59	29917	283	814	401	
60	30200	1116	877	360	
61	31316	333	-122	54	
62	31650	1082	78	79	
63	32732	1066	163	344	
64	33798	350	793	396	
65	34148	700	820	351	
66	35047	333	217	371	
67	35380	666	171	330	
68	36047	100	-1039	1032	
69	36280	17	-1458	1158	
70	36430	283	-1083	1193	
71	36879	83	396	366	
72	36963	483	139	338	
73	37446	1649	179	345	
74	39095	500	150	414	
75	39594	250	186	352	
76	39844	317	674	1191	
77	40161	766	567	1153	
78	40927	250	849	963	
79	41177	583	253	387	
80	44474	950	395	276	
81	45423	83	-978	744	
