"Subject_ID","vis_perspective_total","vis_perspective_scorable","vis_perspective_average","shape_stroop_total","shape_stroop_scorable","shape_stroop_average","obj_nam_yes_known_total","obj_nam_scorable_known","obj_nam_yes_unknown_total","obj_nam_scorable_unknown","obj_nam_yes_known_average","obj_nam_yes_unknown_average","obj_nam_difference_score","penny_total","penny_scorable","penny_average","beads_1bead_average","beads_2beads_average","comp_pretense_total","comp_pretense_scorable","comp_pretense_average","pots_total","pots_average","object_stroop_total","object_stroop_scorable","object_stroop_average","PI_complete_ignorance","PI_complete_knowledge","PI_average"
100,24,6,0.8,7,5,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,21,6,0.7,11,5,0.733333333,6,6,0,6,1,0,1,2,3,0.166666667,0.6,0.2,2,4,0.5,10,0.625,4,12,0.333333333,1,1,1
102,20,5,0.8,6,4,0.5,6,6,5,5,1,1,0,3,2,0.375,0.6,0,4,4,1,13,0.8125,3,12,0.25,0,1,0.5
103,27,6,0.9,11,6,0.611111111,6,6,6,6,1,1,0,6,3,0.5,0.2,0,3,4,0.75,9,0.5625,0,12,0,0,1,0.5
104,16,6,0.533333333,0,0,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,21,6,0.7,13,5,0.866666667,2,3,2,2,0.666666667,1,-0.333333333,6,3,0.5,0.6,0.2,4,4,1,14,0.875,10,12,0.833333333,0,1,0.5
107,10,6,0.333333333,11,6,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,13,0.8125,0,0,0,0,0,0
108,22,6,0.733333333,18,6,1,4,5,6,6,0.8,1,-0.2,6,3,0.5,0.4,0,4,4,1,8,0.5,10,12,0.833333333,0,1,0.5
109,23,6,0.766666667,7,3,0.777777778,6,6,6,6,1,1,0,0,0,0,0.6,0,4,4,1,9,0.5625,2,12,0.166666667,0,1,0.5
110,13,4,0.65,0,0,0,0,6,1,6,0,0.166666667,-0.166666667,0,0,0,0.2,0.333333333,4,4,1,13,0.8125,2,8,0.25,1,0,0.5
111,21,6,0.7,6,6,0.333333333,6,6,6,6,1,1,0,0,0,0,0.6,0.2,4,4,1,15,0.9375,0,8,0,0,1,0
112,15,5,0.6,12,5,0.8,0,0,0,0,0,0,0,5,3,0.416666667,0.4,0.2,2,4,0.5,14,0.875,9,12,0.75,0,0,0
113,23,5,0.766666667,16,6,0.888888889,6,6,6,6,1,1,0,0,0,0,0.333333333,0,3,3,1,0,0,0,0,0,0,1,0.5
114,21,5,0.84,17,6,0.944444444,1,6,0,6,0.166666667,0,0.166666667,4,2,0.5,0.4,0,4,4,1,14,0.875,10,12,0.833333333,0,1,0.5
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
116,27,6,0.9,0,0,0,6,6,6,6,1,1,0,5,3,0.416666667,0,0,4,4,1,9,0.5625,11,12,0.916666667,0,1,0.5
117,24,6,0.8,0,0,0,0,1,0,3,0,0,0,7,3,0.583333333,0.6,0,4,4,1,13,0.8125,1,12,0.083333333,0,1,0.5
118,17,6,0.566666667,6,4,0.5,1,6,0,6,0.166666667,0,0.166666667,3,3,0.25,0.2,0,4,4,1,7,0.4375,4,11,0.363636364,0,1,0.5
119,18,6,0.6,7,6,0.4375,0,0,0,0,0,0,0,1,2,0.125,0.4,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,8,4,0.666666667,3,4,2,4,0.75,0.5,0.25,2,1,0.5,0.6,0,3,4,0.75,12,0.75,0,0,0,0,0,0
121,28,6,0.933333333,10,6,0.555555556,0,6,0,6,0,0,0,5,2,0.625,0.4,0,4,4,1,10,0.625,1,12,0.083333333,0,1,0.5
122,6,5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,0,0,0,0,0,0,1,0.5
123,26,6,0.866666667,12,6,0.666666667,5,6,2,6,0.833333333,0.333333333,0.5,0,0,0,0,0,2,4,0.5,15,0.9375,10,12,0.833333333,0,1,0.5
124,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.5,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,17,6,0.566666667,18,6,1,6,6,6,6,1,1,0,3,3,0.25,1,0.4,4,4,1,15,0.9375,8,12,0.666666667,0,1,0.5
128,12,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,30,6,1,7,5,0.466666667,3,5,0,2,0.6,0,0.6,2,1,0.5,0,0,2,4,0.5,10,0.625,0,0,0,1,0,1
130,23,6,0.766666667,18,6,1,6,6,6,6,1,1,0,8,3,0.666666667,0,0,4,4,1,9,0.5625,3,8,0.375,0,1,0.5
131,30,6,1,8,6,0.444444444,0,6,0,6,0,0,0,2,3,0.166666667,0.4,0,0,0,0,15,0.9375,0,0,0,1,1,1
132,23,6,0.766666667,11,5,0.733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,21,6,0.7,8,6,0.444444444,6,6,6,6,1,1,0,7,3,0.583333333,0.4,0,2,4,0.5,5,0.454545455,6,11,0.545454545,0,1,0.333333333
134,17,6,0.566666667,13,6,0.722222222,1,5,1,6,0.2,0.166666667,0.033333333,NA,NA,NA,0.2,0,3,4,0.75,5,0.3125,3,12,0.25,0,1,0.5
135,16,6,0.533333333,17,6,0.944444444,1,5,0,5,0.2,0,0.2,4,3,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.5
136,14,6,0.466666667,12,6,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,20,6,0.666666667,7,5,0.466666667,0,6,0,6,0,0,0,6,3,0.5,0.6,0,3,4,0.75,14,0.875,5,12,0.416666667,0,0,0
138,14,6,0.46666667,7,5,0.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,4,4,1,12,0.75,5,6,0.833333333,NA,1,1
139,25,6,0.833333333,6,6,0.333333333,NA,NA,NA,NA,NA,NA,NA,6,3,0.5,0.4,0,4,4,1,7,0.4375,0,12,0,NA,1,1
140,9,6,0.3,7,3,0.777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,0,0,0,18,6,1,6,6,6,6,1,1,0,3,2,0.375,0.4,0,2,4,0.5,16,1,11,12,0.916666667,0,1,0.5
143,0,0,0,0,0,0,6,6,6,6,1,1,0,3,1,0.75,0.2,0,2,4,0.5,14,0.875,0,1,0,0,0,0
144,11,4,0.55,18,6,1,6,6,6,6,1,1,0,4,3,0.333333333,0.8,0,2,4,0.5,5,0.3125,9,12,0.75,0,0,0
145,20,4,1,17,6,0.944444444,6,6,6,6,1,1,0,6,3,0.5,1,0,4,4,1,10,0.625,5,12,0.416666667,0,1,0.5
146,15,6,0.5,14,6,0.777777778,6,6,0,6,1,0,1,6,3,0.5,0.4,0,4,4,1,12,0.75,0,0,0,1,1,1
147,18,6,0.6,15,6,0.833333333,0,12,0,12,0,0,0,3,4,0.1875,0.2,0.2,4,4,1,11,0.6875,2,12,0.166666667,0,1,0.5
148,19,6,0.633333333,8,6,0.444444444,1,5,1,3,0.2,0.333333333,-0.133333333,1,2,0.125,0,0,0,0,0,16,1,0,0,0,1,0,0.5
149,16,6,0.533333333,18,6,1,0,6,0,6,0,0,0,10,3,0.833333333,0.25,0,4,4,1,13,0.8125,3,12,0.25,0,1,0.5
15,30,6,1,15,5,1,6,6,5,6,1,0.833333333,0.166666667,0,3,0,NA,NA,4,4,1,6,0.375,NA,NA,NA,NA,NA,NA
150,18,6,0.6,7,5,0.466666667,6,6,6,6,1,1,0,3,2,0.375,0,0,3,4,0.75,13,0.8125,0,0,0,0,1,0.5
151,16,6,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666667,12,0.75,0,0,0,1,0,1
152,11,6,0.366666667,12,6,0.666666667,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,16,1,0,0,1,0,0,0
153,5,3,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6,0,3,4,0.75,15,0.9375,0,0,0,0,0,0
154,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,1,0,0,0
155,23,6,0.766666667,16,6,0.888888889,6,6,6,6,1,1,0,3,3,0.25,0.6,0,4,4,1,11,0.6875,0,12,0,0,1,0.5
156,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,4,4,1,14,0.875,5,12,0.416666667,0,1,0.5
157,8,5,0.32,1,1,0.333333333,0,0,0,0,0,0,0,5,3,0.416666667,1,1,4,4,1,6,0.375,10,12,0.833333333,0,0,0
158,24,6,0.8,3,1,1,0,0,0,0,0,0,0,1,1,0.25,0,0,2,4,0.5,14,0.875,0,0,0,0,0,0
159,17,6,0.566666667,9,6,0.5,4,4,2,2,1,1,0,0,0,0,0.4,0,4,4,1,12,0.75,9,12,0.75,0,1,0.5
16,23,6,0.766666667,18,6,1,6,6,6,6,1,1,0,2,3,0.166666667,0.8,0,4,4,1,14,0.875,NA,NA,NA,NA,NA,NA
160,22,6,0.733333333,18,6,1,4,6,2,6,0.666666667,0.333333333,0.333333333,0,0,0,1,0,4,4,1,16,1,12,12,1,0,1,0.5
17,15,6,0.5,18,6,1,0,6,0,6,0,0,0,5,3,0.416666667,NA,NA,4,4,1,11,0.6875,NA,NA,NA,NA,NA,NA
18,30,6,1,6,6,0.333333333,2,6,0,6,0.333333333,0,0.333333333,0,0,0,NA,NA,3,4,0.75,11,0.6875,NA,NA,NA,NA,NA,NA
19,23,6,0.766666667,6,2,1,0,6,0,6,0,0,0,1,2,0.125,NA,NA,4,4,1,12,0.75,NA,NA,NA,NA,NA,NA
20,10,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,4,0,15,0.9375,NA,NA,NA,NA,NA,NA
21,20,6,0.666666667,6,6,0.333333333,0,6,0,6,0,0,0,NA,NA,NA,0.8,0,4,4,1,12,0.75,NA,NA,NA,0,1,0.333333333
22,21,5,0.84,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,5,0.3125,4,6,0.666666667,0,1,0.333333333
23,18,5,0.72,18,6,1,0,6,0,6,0,0,0,NA,NA,NA,0.2,0,4,4,1,15,0.9375,2,12,0.166666667,1,1,1
24,18,6,0.6,18,6,1,6,6,3,6,1,0.5,0.5,0,0,0,0.6,0.4,4,4,1,14,0.875,7,12,0.583333333,0,1,0.666666667
25,18,5,0.72,15,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
26,16,5,0.64,7,5,0.466666667,6,6,6,6,1,1,0,5,3,0.416666667,0,0,4,4,1,12,0.75,3,9,0.333333333,0,1,0.333333333
27,14,6,0.466666667,6,6,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
28,18,6,0.6,6,2,1,0,6,0,6,0,0,0,8,3,0.666666667,0.333333333,NA,3,4,0.75,10,0.625,5,8,0.625,0,0,0
30,13,6,0.433333333,1,1,1,1,1,1,1,1,1,1,3,3,0.25,1,1,3,4,0.75,1,1,1,1,1,1,1,1
31,23,6,0.766666667,15,5,1,6,6,6,6,0,0,0,3,3,0.25,0.8,0,3,4,0.75,8,0.5,0,12,0,0,1,0.333333333
32,20,6,0.666666667,18,6,1,1,4,0,5,0.25,0,0.25,3,3,0.25,0.6,0,2,3,0.666666667,16,1,NA,NA,NA,NA,NA,NA
33,21,6,0.7,9,6,0.5,6,6,6,6,1,1,0,3,3,0.25,0.2,0,2,4,0.5,10,0.625,7,12,0.583333333,0,1,0.333333333
34,26,6,0.866666667,16,6,0.888888889,6,1,1,6,0.5,0.166666667,0.333333333,3,1,0.75,0,0,3,4,0.75,11,0.6875,2,12,0.166666667,0,1,0.5
35,20,6,0.666666667,12,6,0.666666667,4,6,6,6,0.666666667,1,-0.333333333,6,3,0.5,0.8,0.2,4,4,1,6,0.375,6,12,0.5,0,1,0.333333333
36,16,6,0.533333333,8,6,0.444444444,6,6,5,6,1,0.833333333,0.166666667,3,2,0.375,0.6,0,2,4,0.5,5,0.3125,0,10,0,0,1,0.333333333
37,24,6,0.8,3,3,0.333333333,5,6,5,6,0.833333333,0.833333333,0,3,2,0.375,0.4,0,2,4,0.5,13,0.8125,0,12,0,0,1,0.333333333
38,21,6,0.7,13,6,0.722222222,6,6,5,6,1,0.833333333,0.166666667,4,2,0.5,0.6,0,4,4,1,11,0.6875,3,12,0.25,0,1,0.333333333
39,18,6,0.6,6,6,0.333333333,0,6,0,6,0,0,0,12,3,1,0,NA,2,4,0.5,NA,NA,NA,NA,NA,1,1,0.666666667
40,21,6,0.7,9,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0.5,6,0.375,0,11,0,0,0,NA
41,21,6,0.7,7,6,0.388888889,6,6,6,6,1,1,0,5,3,0.416666667,0,NA,3,4,0.75,13,0.8125,2,12,0.166666667,1,1,1
42,20,6,0.666666667,3,3,0.333333333,1,5,2,6,0.2,0.333333333,-0.133333333,1,3,0.083333333,0.6,0,4,4,1,15,0.9375,0,6,0,0,0,NA
43,20,6,0.666666667,18,6,1,6,6,5,6,1,0.833333333,0.166666667,1,1,1,0.8,1,4,4,1,14,0.875,1,12,0.083333333,0,1,0.333333333
44,21,6,0.7,17,6,0.944444444,3,6,3,6,0.5,0.5,0,6,3,0.5,0.4,0,2,4,0.5,NA,NA,NA,NA,NA,0,1,0.5
45,23,6,0.766666667,18,6,1,6,6,6,6,1,1,0,2,1,0.5,0.8,0,4,4,1,6,0.375,7,12,0.583333333,1,0,0.666666667
46,22,6,0.733333333,7,6,0.388888889,4,5,1,6,0.8,0.166666667,0.633333333,6,3,0.5,0.4,0,4,4,1,9,0.5625,1,12,0.083333333,0,1,0.333333333
47,19,6,0.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,14,0.875,NA,NA,NA,NA,NA,NA
48,14,5,0.56,13,6,0.722222222,3,4,4,4,0.75,1,-0.25,7,3,0.583333333,0,0,4,4,1,13,0.8125,3,11,0.272727273,1,1,1
49,18,6,0.6,12,6,0.666666667,NA,NA,NA,NA,NA,NA,NA,3,3,0.25,0.2,0,4,4,1,9,0.5625,2,8,0.25,0,0,NA
51,20,6,0.666666667,12,6,0.666666667,6,6,6,6,1,1,0,5,3,0.416666667,0.8,0,4,4,1,15,0.9375,0,12,0,0,1,0.333333333
52,17,6,0.566666667,16,6,0.888888889,NA,NA,NA,NA,NA,NA,NA,1,1,0.25,0.6,0,4,4,1,12,0.75,1,12,0.083333333,0,NA,0
53,21,6,0.7,NA,NA,NA,2,6,6,6,0.333333333,1,-0.666666667,NA,NA,NA,NA,NA,2,4,0.5,5,0.454545455,0,6,0,1,NA,1
54,10,6,0.333333333,8,6,0.444444444,0,6,6,6,0,1,-1,12,3,1,0.2,0.25,4,4,1,11,0.6875,0,12,0,0,1,0.333333333
55,19,6,0.633333333,16,6,0.888888889,2,6,0,4,0.333333333,0,0.333333333,0,2,0,0.75,0,4,4,1,12,0.75,0,0,0,0,1,0.333333333
56,18,6,0.6,0,0,0,4,4,6,6,1,1,0,6,3,0.5,0.6,0,1,4,0.25,12,0.75,5,12,0.416666667,0,1,1
57,18,6,0.6,10,5,0.666666667,0,6,0,6,0,0,0,9,3,0.75,0.6,0,4,4,1,11,0.6875,6,12,0.5,0,0,0.5
58,22,6,0.733333333,8,6,0.444444444,0,0,0,0,0,0,0,0,0,0,0.6,0,2,4,0.5,5,0.3125,2,12,0.166666667,0,0,0
59,20,6,0.666666667,12,6,0.666666667,3,6,2,6,0.5,0.333333333,0.166666667,6,3,0.5,0.6,0,4,4,1,12,0.75,4,12,0.333333333,0,1,0.333333333
60,19,6,0.633333333,5,3,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,13,0.8125,0,0,0,0,0,0
61,13,4,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333,15,0.9375,0,0,0,0,0,0
62,17,6,0.566666667,18,6,1,5,5,5,5,1,1,0,5,3,0.416666667,0.4,0,4,4,1,7,0.4375,0,12,0,0,0,0
63,24,6,0.8,7,6,0.388888889,6,6,5,6,1,0.833333333,0.166666667,0,3,0,0.2,0,3,4,0.75,8,0.5,0,12,0,0,1,0.333333333
64,18,6,1,9,6,0.5,0,6,0,6,0,0,0,3,3,0.25,0.4,0,2,4,0.5,13,0.8125,0,12,0,0,1,0.666666667
65,22,6,0.733333333,8,6,0.444444444,1,6,0,6,0.166666667,0,0.166666667,4,3,0.333333333,0.6,0.4,4,4,1,5,0.3125,5,12,0.416666667,0,1,0.5
66,23,6,0.766666667,5,5,0.333333333,0,6,0,6,0,0,0,5,3,0.416666667,0.2,0,4,4,1,10,0.625,1,6,0.166666667,0,1,0.333333333
67,0,0,0,12,6,0.666666667,2,6,0,6,0.333333333,0,0.333333333,0,0,0,0.8,0,4,4,1,13,0.8125,4,12,0.333333333,0,0,0
68,19,6,0.633333333,10,6,0.555555556,3,6,0,6,0.5,0,0.5,5,3,0.416666667,0.6,0,2,4,0.5,11,0.6875,5,12,0.416666667,0,1,0.5
69,19,6,0.633333333,14,6,0.777777778,6,6,4,6,1,0.666666667,0.333333333,6,3,0.5,0.2,0,3,4,0.75,6,0.375,4,12,0.333333333,0,1,0.5
70,12,6,0.4,7,5,0.466666667,1,1,1,1,1,1,1,1,3,0.083333333,0.25,0.25,3,4,0.75,4,0.25,0,0,0,0,0,0
71,27,6,0.9,10,6,0.555555556,6,6,6,6,1,1,0,10,3,0.833333333,0.4,0,3,4,0.75,16,1,8,12,0.666666667,0,1,0.5
72,16,5,0.64,18,6,1,1,3,0,2,0.333333333,0,0.333333333,6,3,0.5,0.4,0,1,1,1,1,1,1,1,1,0,0,0
73,20,6,0.666666667,18,6,1,6,6,4,6,1,0.666666667,0.333333333,4,3,0.333333333,0.6,0,2,4,0.5,13,0.8125,5,12,0.416666667,0,1,0.5
74,26,6,0.866666667,12,6,0.666666667,2,5,2,5,0.4,0.4,0,0,0,0,0.5,0,4,4,1,0,0,4,10,0.4,0,1,0.5
75,14,6,0.466666667,10,6,0.555555556,3,6,3,6,0.5,0.5,0,6,3,0.5,0,0,4,4,1,10,0.625,7,12,0.583333333,1,1,1
76,26,6,0.866666667,6,6,0.333333333,0,0,0,0,0,0,0,6,3,0.5,0.4,0,4,4,1,10,0.625,7,12,0.583333333,0,1,0.5
77,20,6,0.666666667,16,6,0.888888889,1,6,0,6,0.166666667,0,0.166666667,5,3,0.416666667,0.2,0,3,4,0.75,12,0.75,3,12,0.25,0,0,0
78,28,6,0.933333333,18,6,1,6,6,6,6,1,1,0,8,3,0.666666667,0.4,0,4,4,1,16,1,4,12,0.333333333,0,1,0.5
79,25,6,0.833333333,10,6,0.555555556,0,6,0,6,0,0,0,8,3,0.666666667,0.8,0,0,0,0,0,0,0,0,0,0,1,0.5
80,22,5,0.88,8,5,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0
81,27,6,0.9,16,6,0.888888889,6,6,6,6,1,1,0,5,2,0.625,0.4,0,4,4,1,15,0.9375,1,12,0.083333333,0,1,0.5
83,18,6,0.6,18,6,1,3,3,2,2,1,1,0,5,3,0.416666667,0.8,0,4,4,1,8,0.5,5,12,0.416666667,0,1,0.5
84,24,6,0.8,10,6,0.555555556,0,0,0,0,0,0,0,0,0,0,0.2,0,2,4,0.5,5,0.3125,0,0,0,0,1,0.5
85,20,6,0.666666667,7,5,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1,1,1,1,1,6,6,5,5,1,1,0,1,1,1,0.4,0,2,4,0.5,12,0.75,2,6,0.333333333,0,0,0
87,12,5,0.48,18,6,1,6,6,6,6,1,1,0,4,3,0.333333333,0.4,0,4,4,1,5,0.3125,8,12,0.666666667,0,1,0.5
88,27,6,0.9,12,6,0.666666667,1,1,1,1,1,1,1,6,3,0.5,0.2,1,3,4,0.75,9,0.5625,1,7,0.142857143,0,1,1
89,6,2,0.6,0,0,0,4,6,3,6,0.666666667,0.5,0.166666667,0,0,0,0.6,0,3,4,0.75,16,1,0,0,0,0,1,0.5
90,23,6,0.766666667,10,6,0.555555556,6,6,6,6,1,1,0,3,3,0.25,0.8,0,4,4,1,5,0.3125,6,12,0.5,0,1,0.5
91,18,6,0.6,6,6,0.333333333,1,1,1,1,1,1,1,0,3,0,0.8,0,2,4,0.5,14,0.875,5,12,0.416666667,0,1,0.333333333
92,16,6,0.533333333,12,4,1,0,6,0,6,0,0,0,1,1,1,0.6,0,4,4,1,11,0.6875,8,12,0.666666667,0,0,1
93,16,6,0.533333333,18,6,1,0,6,0,6,0,0,0,12,3,1,0.6,0.25,4,4,1,6,0.375,7,12,0.583333333,1,0,0.5
94,20,6,0.666666667,18,6,1,3,5,2,5,0.6,0.4,0.2,4,1,1,0.6,0,4,4,1,11,0.6875,0,0,0,0,1,0.5
95,21,6,0.7,18,6,1,2,6,0,6,0.333333333,0,0.333333333,4,3,0.333333333,0.8,0.2,4,4,1,11,0.6875,10,12,0.833333333,0,1,0.5
96,20,6,0.666666667,8,6,0.444444444,0,6,1,6,0,0.166666667,-0.166666667,3,3,0.25,0.6,0,3,4,0.75,12,0.75,1,1,1,0,1,0.5
97,19,5,0.76,12,6,0.666666667,6,6,6,6,1,1,0,6,3,0.5,1,0,4,4,1,11,0.6875,3,12,0.25,0,1,0.5
98,18,6,0.6,12,6,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,9,0.5625,2,12,0.166666667,0,0,0
99,24,6,0.8,7,5,0.466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
