Timestamp	Event	Descriptor	
1555	MovieStart	MutedBallie.avi	
7644	KeyPress	Space	
7648	MovieEnd	MutedBallie.avi	
8101	ImageStart	fixation.png	
15251	KeyPress	Space	
15252	ImageEnd	fixation.png	
15275	ImageStart	chair_refrigerator_a.BMP	
19419	KeyPress	Left	
19419	ImageEnd	chair_refrigerator_a.BMP	
19423	ImageStart	fixation.png	
21059	KeyPress	Space	
21059	ImageEnd	fixation.png	
21079	ImageStart	balloons_grapes_a.BMP	
23067	KeyPress	Left	
23067	ImageEnd	balloons_grapes_a.BMP	
23071	ImageStart	fixation.png	
24531	KeyPress	Space	
24531	ImageEnd	fixation.png	
24551	ImageStart	spoon_ball_a.BMP	
26714	KeyPress	Right	
26715	ImageEnd	spoon_ball_a.BMP	
26719	ImageStart	fixation.png	
28282	KeyPress	Space	
28283	ImageEnd	fixation.png	
28305	ImageStart	cookie_sock_a.BMP	
30378	KeyPress	Left	
30379	ImageEnd	cookie_sock_a.BMP	
30382	ImageStart	fixation.png	
32002	KeyPress	Space	
32002	ImageEnd	fixation.png	
32023	ImageStart	orange_bread_a.BMP	
34474	KeyPress	Right	
34474	ImageEnd	orange_bread_a.BMP	
34478	ImageStart	fixation.png	
36042	KeyPress	Space	
36043	ImageEnd	fixation.png	
36063	ImageStart	flowers_butterfly_a.BMP	
38578	KeyPress	Left	
38578	ImageEnd	flowers_butterfly_a.BMP	
38582	ImageStart	fixation.png	
40650	KeyPress	Space	
40651	ImageEnd	fixation.png	
40671	ImageStart	mouse_cat_a.BMP	
43010	KeyPress	Right	
43010	ImageEnd	mouse_cat_a.BMP	
43014	ImageStart	fixation.png	
44746	KeyPress	Space	
44746	ImageEnd	fixation.png	
44768	ImageStart	pig_duck_a.BMP	
46698	KeyPress	Right	
46698	ImageEnd	pig_duck_a.BMP	
46702	ImageStart	fixation.png	
48298	KeyPress	Space	
48298	ImageEnd	fixation.png	
48319	ImageStart	tv_fork_a.BMP	
50162	KeyPress	Left	
50162	ImageEnd	tv_fork_a.BMP	
50166	ImageStart	fixation.png	
51842	KeyPress	Space	
51842	ImageEnd	fixation.png	
51863	ImageStart	shoe_pizza_a.BMP	
53410	KeyPress	Right	
53410	ImageEnd	shoe_pizza_a.BMP	
53414	ImageStart	fixation.png	
55242	KeyPress	Space	
55242	ImageEnd	fixation.png	
55263	ImageStart	bottle_leaf_a.BMP	
56922	KeyPress	Left	
56922	ImageEnd	bottle_leaf_a.BMP	
56928	ImageStart	fixation.png	
58786	KeyPress	Space	
58786	ImageEnd	fixation.png	
58807	ImageStart	icecream_broccoli_a.BMP	
60906	KeyPress	Right	
60906	ImageEnd	icecream_broccoli_a.BMP	
60910	ImageStart	fixation.png	
63298	KeyPress	Space	
63298	ImageEnd	fixation.png	
63319	ImageStart	teddybear_crayon_a.BMP	
65090	KeyPress	Left	
65090	ImageEnd	teddybear_crayon_a.BMP	
65094	ImageStart	fixation.png	
66666	KeyPress	Space	
66666	ImageEnd	fixation.png	
66686	ImageStart	bunny_dog_a.BMP	
68210	KeyPress	Right	
68210	ImageEnd	bunny_dog_a.BMP	
68214	ImageStart	fixation.png	
69954	KeyPress	Space	
69954	ImageEnd	fixation.png	
69975	ImageStart	apple_strawberry_a.BMP	
71858	KeyPress	Right	
71858	ImageEnd	apple_strawberry_a.BMP	
71862	ImageStart	fixation.png	
73562	KeyPress	Space	
73562	ImageEnd	fixation.png	
73583	ImageStart	clock_bicycle_a.BMP	
76041	KeyPress	Right	
76042	ImageEnd	clock_bicycle_a.BMP	
76046	ImageStart	fixation.png	
77714	KeyPress	Space	
77714	ImageEnd	fixation.png	
77735	ImageStart	cake_doll_a.BMP	
80313	KeyPress	Left	
80314	ImageEnd	cake_doll_a.BMP	
80318	ImageStart	fixation.png	
82033	KeyPress	Space	
82033	ImageEnd	fixation.png	
82054	ImageStart	egg_hat_a.BMP	
85073	KeyPress	Right	
85074	ImageEnd	egg_hat_a.BMP	
85078	ImageStart	fixation.png	
86505	KeyPress	Space	
86505	ImageEnd	fixation.png	
86526	ImageStart	elephant_bear_a.BMP	
89009	KeyPress	Right	
89009	ImageEnd	elephant_bear_a.BMP	
89013	ImageStart	fixation.png	
90969	KeyPress	Space	
90969	ImageEnd	fixation.png	
90991	ImageStart	jacket_pillow_a.BMP	
94217	KeyPress	Right	
94217	ImageEnd	jacket_pillow_a.BMP	
94221	ImageStart	fixation.png	
94881	KeyPress	Space	
94881	ImageEnd	fixation.png	
95913	MovieStart	congratulations.wmv	
96817	KeyPress	Space	
98129	KeyPress	Escape	
98129	MovieEnd	congratulations.wmv	
