Timestamp	Event	Descriptor	
459	MovieStart	MutedBallie.avi	
5876	KeyPress	Space	
5880	MovieEnd	MutedBallie.avi	
6310	ImageStart	fixation.png	
16131	KeyPress	Space	
16132	ImageEnd	fixation.png	
16154	ImageStart	cake_hat_a.BMP	
57418	KeyPress	Space	
57418	ImageEnd	cake_hat_a.BMP	
57422	ImageStart	fixation.png	
58370	KeyPress	Space	
58371	ImageEnd	fixation.png	
58393	ImageStart	jacket_leaf_a.BMP	
77866	KeyPress	Space	
77866	ImageEnd	jacket_leaf_a.BMP	
77870	ImageStart	fixation.png	
79042	KeyPress	Space	
79042	ImageEnd	fixation.png	
79064	ImageStart	apple_bear_a.BMP	
102682	KeyPress	Left	
102682	ImageEnd	apple_bear_a.BMP	
102686	ImageStart	fixation.png	
105514	KeyPress	Space	
105514	ImageEnd	fixation.png	
105535	ImageStart	elephant_broccoli_a.BMP	
127186	KeyPress	Right	
127186	ImageEnd	elephant_broccoli_a.BMP	
127189	ImageStart	fixation.png	
129850	KeyPress	Space	
129850	ImageEnd	fixation.png	
129871	ImageStart	clock_dog_a.BMP	
168441	KeyPress	Space	
168441	ImageEnd	clock_dog_a.BMP	
168445	ImageStart	fixation.png	
169377	KeyPress	Space	
169378	ImageEnd	fixation.png	
169401	ImageStart	bottle_crayon_a.BMP	
175625	KeyPress	Right	
175625	ImageEnd	bottle_crayon_a.BMP	
175629	ImageStart	fixation.png	
178489	KeyPress	Space	
178489	ImageEnd	fixation.png	
178511	ImageStart	egg_pillow_a.BMP	
190641	KeyPress	Left	
190641	ImageEnd	egg_pillow_a.BMP	
190645	ImageStart	fixation.png	
193337	KeyPress	Space	
193337	ImageEnd	fixation.png	
193359	ImageStart	teddybear_doll_a.BMP	
202337	KeyPress	Left	
202337	ImageEnd	teddybear_doll_a.BMP	
202341	ImageStart	fixation.png	
204801	KeyPress	Space	
204801	ImageEnd	fixation.png	
204823	ImageStart	bunny_strawberry_a.BMP	
209569	KeyPress	Right	
209569	ImageEnd	bunny_strawberry_a.BMP	
209573	ImageStart	fixation.png	
214793	KeyPress	Space	
214793	ImageEnd	fixation.png	
214815	ImageStart	icecream_bicycle_a.BMP	
219849	KeyPress	Left	
219849	ImageEnd	icecream_bicycle_a.BMP	
219853	ImageStart	fixation.png	
222585	KeyPress	Space	
222585	ImageEnd	fixation.png	
222607	ImageStart	orange_bread_a.BMP	
225905	KeyPress	Left	
225905	ImageEnd	orange_bread_a.BMP	
225910	ImageStart	fixation.png	
228505	KeyPress	Space	
228505	ImageEnd	fixation.png	
228526	ImageStart	pig_duck_a.BMP	
235089	KeyPress	Left	
235089	ImageEnd	pig_duck_a.BMP	
235093	ImageStart	fixation.png	
237864	KeyPress	Space	
237865	ImageEnd	fixation.png	
237886	ImageStart	tv_fork_a.BMP	
242512	KeyPress	Right	
242513	ImageEnd	tv_fork_a.BMP	
242517	ImageStart	fixation.png	
244537	KeyPress	Space	
244537	ImageEnd	fixation.png	
244559	ImageStart	flowers_butterfly_a.BMP	
252609	KeyPress	Left	
252609	ImageEnd	flowers_butterfly_a.BMP	
252613	ImageStart	fixation.png	
254849	KeyPress	Space	
254849	ImageEnd	fixation.png	
254871	ImageStart	mouse_cat_a.BMP	
267120	KeyPress	Right	
267120	ImageEnd	mouse_cat_a.BMP	
267124	ImageStart	fixation.png	
269064	KeyPress	Space	
269065	ImageEnd	fixation.png	
269086	ImageStart	balloons_grapes_a.BMP	
294024	KeyPress	Left	
294024	ImageEnd	balloons_grapes_a.BMP	
294028	ImageStart	fixation.png	
297065	KeyPress	Space	
297065	ImageEnd	fixation.png	
297086	ImageStart	spoon_ball_a.BMP	
303352	KeyPress	Left	
303352	ImageEnd	spoon_ball_a.BMP	
303356	ImageStart	fixation.png	
305656	KeyPress	Space	
305656	ImageEnd	fixation.png	
305678	ImageStart	cookie_sock_a.BMP	
315712	KeyPress	Left	
315712	ImageEnd	cookie_sock_a.BMP	
315716	ImageStart	fixation.png	
317512	KeyPress	Space	
317512	ImageEnd	fixation.png	
317534	ImageStart	chair_refrigerator_a.BMP	
320984	KeyPress	Left	
320984	ImageEnd	chair_refrigerator_a.BMP	
320988	ImageStart	fixation.png	
324280	KeyPress	Space	
324280	ImageEnd	fixation.png	
324301	ImageStart	shoe_pizza_a.BMP	
332704	KeyPress	Right	
332704	ImageEnd	shoe_pizza_a.BMP	
332708	ImageStart	fixation.png	
333896	KeyPress	Space	
333896	ImageEnd	fixation.png	
334686	MovieStart	congratulations.wmv	
345592	KeyPress	Escape	
345592	MovieEnd	congratulations.wmv	
