Timestamp	Event	Descriptor	
326	MovieStart	MutedBallie.avi	
1363	KeyPress	Space	
1363	MovieEnd	MutedBallie.avi	
1775	ImageStart	fixation.png	
3259	KeyPress	Space	
3259	ImageEnd	fixation.png	
3280	ImageStart	cookie_pizza_a.BMP	
5019	KeyPress	Space	
5020	ImageEnd	cookie_pizza_a.BMP	
5024	ImageStart	fixation.png	
8291	KeyPress	Space	
8291	ImageEnd	fixation.png	
8311	ImageStart	shoe_sock_a.BMP	
31786	KeyPress	Space	
31786	ImageEnd	shoe_sock_a.BMP	
31790	ImageStart	fixation.png	
33994	KeyPress	Space	
33994	ImageEnd	fixation.png	
34016	ImageStart	balloons_duck_a.BMP	
39002	KeyPress	Right	
39002	ImageEnd	balloons_duck_a.BMP	
39006	ImageStart	fixation.png	
43010	KeyPress	Space	
43010	ImageEnd	fixation.png	
43031	ImageStart	flowers_cat_a.BMP	
72081	KeyPress	Space	
72081	ImageEnd	flowers_cat_a.BMP	
72086	ImageStart	fixation.png	
74969	KeyPress	Space	
74969	ImageEnd	fixation.png	
74991	ImageStart	pig_butterfly_a.BMP	
83425	KeyPress	Right	
83425	ImageEnd	pig_butterfly_a.BMP	
83429	ImageStart	fixation.png	
87489	KeyPress	Space	
87489	ImageEnd	fixation.png	
87510	ImageStart	tv_bread_a.BMP	
115585	KeyPress	Space	
115585	ImageEnd	tv_bread_a.BMP	
115589	ImageStart	fixation.png	
118816	KeyPress	Space	
118816	ImageEnd	fixation.png	
118838	ImageStart	orange_ball_a.BMP	
123144	KeyPress	Left	
123145	ImageEnd	orange_ball_a.BMP	
123149	ImageStart	fixation.png	
126624	KeyPress	Space	
126624	ImageEnd	fixation.png	
126646	ImageStart	spoon_fork_a.BMP	
130800	KeyPress	Right	
130800	ImageEnd	spoon_fork_a.BMP	
130804	ImageStart	fixation.png	
134296	KeyPress	Space	
134296	ImageEnd	fixation.png	
134318	ImageStart	mouse_refrigerator_a.BMP	
137752	KeyPress	Left	
137752	ImageEnd	mouse_refrigerator_a.BMP	
137756	ImageStart	fixation.png	
141917	KeyPress	Space	
141917	ImageEnd	fixation.png	
141939	ImageStart	chair_grapes_a.BMP	
167959	KeyPress	Space	
167959	ImageEnd	chair_grapes_a.BMP	
167963	ImageStart	fixation.png	
171079	KeyPress	Space	
171079	ImageEnd	fixation.png	
171100	ImageStart	clock_dog_a.BMP	
183639	KeyPress	Right	
183639	ImageEnd	clock_dog_a.BMP	
183643	ImageStart	fixation.png	
187415	KeyPress	Space	
187415	ImageEnd	fixation.png	
187436	ImageStart	teddybear_doll_a.BMP	
200423	KeyPress	Left	
200423	ImageEnd	teddybear_doll_a.BMP	
200427	ImageStart	fixation.png	
203566	KeyPress	Space	
203567	ImageEnd	fixation.png	
203587	ImageStart	bunny_strawberry_a.BMP	
226862	KeyPress	Space	
226862	ImageEnd	bunny_strawberry_a.BMP	
226866	ImageStart	fixation.png	
230014	KeyPress	Space	
230014	ImageEnd	fixation.png	
230035	ImageStart	bottle_crayon_a.BMP	
251206	KeyPress	Space	
251206	ImageEnd	bottle_crayon_a.BMP	
251211	ImageStart	fixation.png	
253829	KeyPress	Space	
253830	ImageEnd	fixation.png	
253851	ImageStart	egg_pillow_a.BMP	
271541	KeyPress	Left	
271541	ImageEnd	egg_pillow_a.BMP	
271546	ImageStart	fixation.png	
274125	KeyPress	Space	
274125	ImageEnd	fixation.png	
274146	ImageStart	jacket_leaf_a.BMP	
288677	KeyPress	Space	
288677	ImageEnd	jacket_leaf_a.BMP	
288681	ImageStart	fixation.png	
291365	KeyPress	Space	
291365	ImageEnd	fixation.png	
291386	ImageStart	apple_bear_a.BMP	
306260	KeyPress	Space	
306261	ImageEnd	apple_bear_a.BMP	
306264	ImageStart	fixation.png	
306932	KeyPress	Space	
306932	ImageEnd	fixation.png	
306955	ImageStart	elephant_broccoli_a.BMP	
311372	KeyPress	Right	
311372	ImageEnd	elephant_broccoli_a.BMP	
311376	ImageStart	fixation.png	
314940	KeyPress	Space	
314940	ImageEnd	fixation.png	
314963	ImageStart	cake_hat_a.BMP	
324548	KeyPress	Right	
324548	ImageEnd	cake_hat_a.BMP	
324552	ImageStart	fixation.png	
327684	KeyPress	Space	
327684	ImageEnd	fixation.png	
327705	ImageStart	icecream_bicycle_a.BMP	
331836	KeyPress	Left	
331836	ImageEnd	icecream_bicycle_a.BMP	
331840	ImageStart	fixation.png	
333380	KeyPress	Space	
333380	ImageEnd	fixation.png	
334120	MovieStart	congratulations.wmv	
337484	KeyPress	Escape	
337484	MovieEnd	congratulations.wmv	
