Timestamp	Event	Descriptor	AoiNames	
0			Content	
459	MovieStart	MutedBallie.avi		
537			Content	
803			Content	
5650			Content	
5876	KeyPress	Space		
5880	MovieEnd	MutedBallie.avi		
6310	ImageStart	fixation.png		
9964			Content	
10380			Content	
12346			Content	
12579			Content	
13877			Content	
15409			Content	
16131	KeyPress	Space		
16132	ImageEnd	fixation.png		
16154	ImageStart	cake_hat_a.BMP		
16625			incorrect	
16892			incorrect	
17908			correct	
18657			correct	
19040			Content	
20573			Content	
23204			Content	
24037			Content	
24187			Content	
24436			correct	
24753			correct	
25835			incorrect	
26268			incorrect	
27967			correct	
28250			correct	
29100			correct	
29616			incorrect	
30165			Content	
31165			Content	
31448			correct	
31631			correct	
31864			correct	
32980			correct	
33713			incorrect	
34013			Content	
36228			Content	
38510			Content	
38676			Content	
40658			Content	
40908			incorrect	
42690			Content	
42890			correct	
43139			incorrect	
43406			incorrect	
44072			correct	
44339			correct	
45121			correct	
45538			incorrect	
45754			incorrect	
46137			incorrect	
48053			Content	
48636			Content	
49102			Content	
49668			incorrect	
49935			incorrect	
52183			incorrect	
52466			incorrect	
53615			correct	
55397			incorrect	
55797			Content	
57418	KeyPress	Space		
57418	ImageEnd	cake_hat_a.BMP		
57422	ImageStart	fixation.png		
58370	KeyPress	Space		
58371	ImageEnd	fixation.png		
58393	ImageStart	jacket_leaf_a.BMP		
58778			incorrect	
60993			incorrect	
61642			correct	
61876			Content	
62225			incorrect	
62709			incorrect	
63075			Content	
63358			Content	
63541			Content	
64058			Content	
64424			Content	
64707			Content	
66439			correct	
67122			correct	
67572			correct	
69537			Content	
69754			Content	
69920			Content	
70053			Content	
70520			Content	
71019			incorrect	
71302			incorrect	
71535			incorrect	
71952			incorrect	
72185			incorrect	
72468			incorrect	
72801			incorrect	
73151			incorrect	
73467			incorrect	
74000			incorrect	
74317			Content	
77866	KeyPress	Space		
77866	ImageEnd	jacket_leaf_a.BMP		
77870	ImageStart	fixation.png		
78697			Content	
78830			Content	
79042	KeyPress	Space		
79042	ImageEnd	fixation.png		
79064	ImageStart	apple_bear_a.BMP		
79363			incorrect	
80695			incorrect	
80945			incorrect	
81628			incorrect	
83976			incorrect	
84209			incorrect	
85958			correct	
86325			correct	
86658			correct	
87341			correct	
88406			correct	
88623			correct	
89272			correct	
89772			correct	
90189			correct	
90438			correct	
90605			correct	
90921			incorrect	
92753			correct	
92953			correct	
93686			incorrect	
94702			correct	
94902			correct	
95235			Content	
