Timestamp	Event	Descriptor	AoiNames	
0			Content	
60			Content	
405	MovieStart	MutedBallie.avi		
510			Content	
809			Content	
2142			Content	
2275			Content	
2741			Content	
3241			Content	
6016	KeyPress	Space		
6019	MovieEnd	MutedBallie.avi		
6189			Content	
6382	ImageStart	fixation.png		
6855			Content	
7382	KeyPress	Space		
7383	ImageEnd	fixation.png		
7404	ImageStart	cookie_pizza_a.BMP		
7838			correct	
13900			correct	
16298			correct	
16465			correct	
16548			correct	
18846			correct	
22044			correct	
22227			correct	
23493	KeyPress	Left		
23494	ImageEnd	cookie_pizza_a.BMP		
23498	ImageStart	fixation.png		
26373	KeyPress	Space		
26374	ImageEnd	fixation.png		
26395	ImageStart	shoe_sock_a.BMP		
28289			incorrect	
28629	KeyPress	Left		
28630	ImageEnd	shoe_sock_a.BMP		
28633	ImageStart	fixation.png		
31909	KeyPress	Space		
31909	ImageEnd	fixation.png		
31930	ImageStart	balloons_duck_a.BMP		
35973	KeyPress	Right		
35973	ImageEnd	balloons_duck_a.BMP		
35979	ImageStart	fixation.png		
36483			Content	
38764			Content	
39877	KeyPress	Space		
39877	ImageEnd	fixation.png		
39898	ImageStart	flowers_cat_a.BMP		
41329			correct	
41397	KeyPress	Left		
41397	ImageEnd	flowers_cat_a.BMP		
41401	ImageStart	fixation.png		
41479			Content	
41762			Content	
41929			Content	
45141	KeyPress	Space		
45141	ImageEnd	fixation.png		
45163	ImageStart	pig_butterfly_a.BMP		
46493			Content	
46643			incorrect	
46813	KeyPress	Right		
46813	ImageEnd	pig_butterfly_a.BMP		
46817	ImageStart	fixation.png		
47126			Content	
50344	KeyPress	Space		
50344	ImageEnd	fixation.png		
50366	ImageStart	tv_bread_a.BMP		
50573			Content	
50723			Content	
51473			Content	
51973	KeyPress	Right		
51973	ImageEnd	tv_bread_a.BMP		
51977	ImageStart	fixation.png		
52039			Content	
52122			Content	
52372			Content	
52689			Content	
55629	KeyPress	Space		
55629	ImageEnd	fixation.png		
55650	ImageStart	orange_ball_a.BMP		
55719			Content	
55836			Content	
55986			Content	
56452			Content	
56952			Content	
57045	KeyPress	Left		
57045	ImageEnd	orange_ball_a.BMP		
57048	ImageStart	fixation.png		
58649			Content	
60564	KeyPress	Space		
60565	ImageEnd	fixation.png		
60586	ImageStart	spoon_fork_a.BMP		
61015			incorrect	
61964			correct	
62047			correct	
62148	KeyPress	Left		
62149	ImageEnd	spoon_fork_a.BMP		
62153	ImageStart	fixation.png		
62264			Content	
63763			Content	
65605	KeyPress	Space		
65605	ImageEnd	fixation.png		
65626	ImageStart	mouse_refrigerator_a.BMP		
66112			Content	
66528			Content	
67110			Content	
67138	KeyPress	Left		
67138	ImageEnd	mouse_refrigerator_a.BMP		
67142	ImageStart	fixation.png		
67410			Content	
67676			Content	
70484	KeyPress	Space		
70484	ImageEnd	fixation.png		
70506	ImageStart	chair_grapes_a.BMP		
71758			Content	
71868	KeyPress	Right		
71868	ImageEnd	chair_grapes_a.BMP		
71872	ImageStart	fixation.png		
71907			Content	
72124			Content	
72374			Content	
72724			Content	
73190			Content	
74323			Content	
75516	KeyPress	Space		
75516	ImageEnd	fixation.png		
75521			Content	
75542	ImageStart	clock_dog_a.BMP		
75822			Content	
75905			Content	
76104			Content	
76638			Content	
76771			Content	
77369			correct	
77644	KeyPress	Right		
77644	ImageEnd	clock_dog_a.BMP		
77648	ImageStart	fixation.png		
77768			Content	
78051			Content	
78385			Content	
78634			Content	
81018			Content	
81100			Content	
81356	KeyPress	Space		
81356	ImageEnd	fixation.png		
81377	ImageStart	teddybear_doll_a.BMP		
81450			Content	
81600			Content	
81784			Content	
82881			correct	
83265			correct	
83908	KeyPress	Left		
83908	ImageEnd	teddybear_doll_a.BMP		
83912	ImageStart	fixation.png		
84164			Content	
86580			Content	
87140	KeyPress	Space		
87140	ImageEnd	fixation.png		
87162	ImageStart	bunny_strawberry_a.BMP		
87346			Content	
87496			correct	
88345			Content	
88516	KeyPress	Left		
88516	ImageEnd	bunny_strawberry_a.BMP		
88520	ImageStart	fixation.png		
88578			Content	
88944			Content	
89577			Content	
90010			Content	
91708	KeyPress	Space		
91708	ImageEnd	fixation.png		
91734	ImageStart	bottle_crayon_a.BMP		
92092			incorrect	
93988	KeyPress	Left		
93988	ImageEnd	bottle_crayon_a.BMP		
93992	ImageStart	fixation.png		
94106			Content	
94322			Content	
94872			Content	
97508	KeyPress	Space		
97508	ImageEnd	fixation.png		
97534	ImageStart	egg_pillow_a.BMP		
98003			correct	
98286			correct	
98819			incorrect	
98986			Content	
99152			incorrect	
99585			correct	
100196	KeyPress	Left		
100196	ImageEnd	egg_pillow_a.BMP		
100200	ImageStart	fixation.png		
101384			Content	
101484			Content	
101734			Content	
103243	KeyPress	Space		
103243	ImageEnd	fixation.png		
