Timestamp	Event	Descriptor	AoiNames	
425	MovieStart	MutedBallie.avi		
1562			Content	
6225			Content	
6509			Content	
7541			Content	
7891			Content	
8157			Content	
8524			Content	
8757			Content	
9055	KeyPress	Space		
9059	MovieEnd	MutedBallie.avi		
10441	ImageStart	fixation.png		
10902	KeyPress	Space		
10903	ImageEnd	fixation.png		
10924	ImageStart	cookie_pizza_a.BMP		
12254			incorrect	
12754			correct	
14103			Content	
14403			Content	
14819			Content	
15552			Content	
15752			correct	
16335			correct	
16684			correct	
18650			incorrect	
18966			incorrect	
19449			incorrect	
20282			correct	
20532			correct	
21348			Content	
21498			correct	
21981			Content	
22364			Content	
22730			Content	
23163			incorrect	
23463			correct	
23846			correct	
24479			Content	
25028			Content	
25728			Content	
25944			Content	
26794			Content	
26877			Content	
27027			Content	
27960			Content	
28193			correct	
28526			incorrect	
28959			incorrect	
29658			correct	
29661	KeyPress	Right		
29661	ImageEnd	cookie_pizza_a.BMP		
29665	ImageStart	fixation.png		
30025			Content	
32623			Content	
32940			Content	
33473			Content	
33606			Content	
33789			Content	
33829	KeyPress	Space		
33829	ImageEnd	fixation.png		
33850	ImageStart	shoe_sock_a.BMP		
37868			incorrect	
38068			correct	
38968			correct	
39351			correct	
40533			Content	
42332			Content	
43830			Content	
43930			correct	
44163			correct	
44980			correct	
45213			correct	
45513			Content	
47245			Content	
47461			Content	
48660			Content	
48877			Content	
49476			Content	
51392			Content	
51558			correct	
52424			incorrect	
53540			Content	
53757			Content	
54006			Content	
54756			Content	
55005			correct	
55772			Content	
56222			Content	
56771			Content	
59619			incorrect	
60185			Content	
60652			Content	
61801			Content	
62184			Content	
62334			correct	
62717			Content	
62917			correct	
63366			Content	
63816			Content	
63932			Content	
65048			Content	
65181			Content	
65764			Content	
69095			correct	
69395			incorrect	
69678			incorrect	
70195			Content	
70511			Content	
72825			correct	
72925			incorrect	
73724			correct	
74174			Content	
77689			Content	
77772			incorrect	
77988			incorrect	
78837			Content	
79271			Content	
79454			Content	
80003			Content	
84684			Content	
84800			Content	
85266			Content	
85499			Content	
85982			Content	
86832			Content	
87032			Content	
90429			correct	
90896			incorrect	
91428			incorrect	
91628			incorrect	
91978			incorrect	
92284	KeyPress	Escape		
92284	ImageEnd	shoe_sock_a.BMP		
