Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,1,1.01,retrieval,57,SPACE,"press spacebar to start perceptual task",2132,True,25,161,188,"press spacebar to start perceptual task",2169,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,1,2.01,retrieval,57,SPACE,"MutedBallie.avi (174x144)",736,True,2382,6641,6667,"MutedBallie.avi (174x144)",750,"blacksquare.bmp",1059,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,1,2.02,retrieval,57,SPACE,"blacksquare.bmp",1056,True,2382,6641,6667,"MutedBallie.avi (174x144)",750,"blacksquare.bmp",1059,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,2,3.01,retrieval,2,2,"cookie_pizza_b.bmp",10113,False,10858,240,267,"cookie_pizza_b.bmp",10135,"blacksquare.bmp",2987,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,2,3.02,retrieval,57,SPACE,"blacksquare.bmp",2977,True,10858,240,267,"cookie_pizza_b.bmp",10135,"blacksquare.bmp",2987,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,3,4.01,retrieval,2,2,"sock_shoe_b.bmp",8426,True,24247,146,172,"sock_shoe_b.bmp",8449,"blacksquare.bmp",3428,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,3,4.02,retrieval,57,SPACE,"blacksquare.bmp",3424,True,24247,146,172,"sock_shoe_b.bmp",8449,"blacksquare.bmp",3428,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,4,5.01,retrieval,57,SPACE,"balloons_duck_b.bmp",26268,True,36296,147,173,"balloons_duck_b.bmp",26283,"blacksquare.bmp",1057,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,4,5.02,retrieval,57,SPACE,"blacksquare.bmp",1054,True,36296,147,173,"balloons_duck_b.bmp",26283,"blacksquare.bmp",1057,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,5,6.01,retrieval,2,2,"flowers_cat_b.bmp",23995,False,63809,188,214,"flowers_cat_b.bmp",24020,"blacksquare.bmp",3856,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,5,6.02,retrieval,57,SPACE,"blacksquare.bmp",3846,True,63809,188,214,"flowers_cat_b.bmp",24020,"blacksquare.bmp",3856,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,6,7.01,retrieval,2,2,"pig_butterfly_b.bmp",3414,True,91899,174,200,"pig_butterfly_b.bmp",3428,"blacksquare.bmp",3320,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,6,7.02,retrieval,57,SPACE,"blacksquare.bmp",3314,True,91899,174,200,"pig_butterfly_b.bmp",3428,"blacksquare.bmp",3320,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,7,8.01,retrieval,57,SPACE,"bread_tv_b.bmp",25946,True,98847,188,214,"bread_tv_b.bmp",25961,"blacksquare.bmp",1981,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,7,8.02,retrieval,57,SPACE,"blacksquare.bmp",1974,True,98847,188,214,"bread_tv_b.bmp",25961,"blacksquare.bmp",1981,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,8,9.01,retrieval,1,1,"ball_orange_b.bmp",9625,True,127003,121,148,"ball_orange_b.bmp",9640,"blacksquare.bmp",3213,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,8,9.02,retrieval,57,SPACE,"blacksquare.bmp",3209,True,127003,121,148,"ball_orange_b.bmp",9640,"blacksquare.bmp",3213,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,9,10.01,retrieval,1,1,"fork_spoon_b.bmp",2849,True,140004,201,227,"fork_spoon_b.bmp",2865,"blacksquare.bmp",3160,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,9,10.02,retrieval,57,SPACE,"blacksquare.bmp",3153,True,140004,201,227,"fork_spoon_b.bmp",2865,"blacksquare.bmp",3160,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,10,11.01,retrieval,2,2,"refrigerator_mouse_b.bmp",4372,True,146256,161,188,"refrigerator_mouse_b.bmp",4391,"blacksquare.bmp",3468,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,10,11.02,retrieval,57,SPACE,"blacksquare.bmp",3460,True,146256,161,188,"refrigerator_mouse_b.bmp",4391,"blacksquare.bmp",3468,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,11,12.01,retrieval,2,2,"chair_grapes_b.bmp",5895,True,154303,133,160,"chair_grapes_b.bmp",5918,"blacksquare.bmp",3588,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,11,12.02,retrieval,57,SPACE,"blacksquare.bmp",3577,True,154303,133,160,"chair_grapes_b.bmp",5918,"blacksquare.bmp",3588,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,12,13.01,retrieval,2,2,"clock_dog_b.bmp",4981,True,163969,469,495,"clock_dog_b.bmp",4995,"blacksquare.bmp",3347,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,12,13.02,retrieval,57,SPACE,"blacksquare.bmp",3345,True,163969,469,495,"clock_dog_b.bmp",4995,"blacksquare.bmp",3347,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,13,14.01,retrieval,2,2,"teddybear_doll_b.bmp",4329,False,172806,482,508,"teddybear_doll_b.bmp",4352,"blacksquare.bmp",3334,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,13,14.02,retrieval,57,SPACE,"blacksquare.bmp",3321,True,172806,482,508,"teddybear_doll_b.bmp",4352,"blacksquare.bmp",3334,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,14,15.01,retrieval,1,1,"bunny_strawberry_b.bmp",8632,True,181000,133,160,"bunny_strawberry_b.bmp",8649,"blacksquare.bmp",5128,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,14,15.02,retrieval,57,SPACE,"blacksquare.bmp",5117,True,181000,133,160,"bunny_strawberry_b.bmp",8649,"blacksquare.bmp",5128,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,15,16.01,retrieval,1,1,"crayon_bottle_b.bmp",12500,True,194937,495,523,"crayon_bottle_b.bmp",12517,"blacksquare.bmp",3348,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,15,16.02,retrieval,57,SPACE,"blacksquare.bmp",3344,True,194937,495,523,"crayon_bottle_b.bmp",12517,"blacksquare.bmp",3348,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,16,17.01,retrieval,2,2,"pillow_egg_b.bmp",7290,True,211325,509,535,"pillow_egg_b.bmp",7310,"blacksquare.bmp",3991,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,16,17.02,retrieval,57,SPACE,"blacksquare.bmp",3988,True,211325,509,535,"pillow_egg_b.bmp",7310,"blacksquare.bmp",3991,
5/26/2015,09:51,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,0,1,1,17,18.01,retrieval,2,2,"leaf_jacket_b.bmp",15605,True,223161,455,481,"leaf_jacket_b.bmp",15624,"blacksquare.bmp",2478,
