"Subject_ID","acc1","acc2","acc3","acc4","acc5","acc6","acc7","acc8","acc9","acc10","acc11","acc12","acc13","acc14","acc15","acc16","acc17","acc18","acc19","acc20"
101,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
103,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
106,1,1,1,1,1,1,0,1,1,1,999,0,0,1,1,1,0,1,0,0
107,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
108,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
109,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
110,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
112,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
113,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
114,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
116,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
118,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
121,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
123,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
15,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1
16,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
17,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1
18,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
19,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1
20,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
21,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
22,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
23,1,1,1,1,1,1,0,0,1,1,1,999,1,1,1,0,0,1,1,1
