"Subject_ID","RT1","RT2","RT3","RT4","RT5","RT6","RT7","RT8","RT9","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20"
101,3649,2678,2395,3568,8582,8138,2940,11424,11611,13579,6058,9418,3702,2817,1921,3236,2655,2637,1078,2631
102,3652,3526,2773,10617,7634,4977,5421,8068,2946,2629,2369,3930,3577,4352,2463,4502,3713,2830,6847,3666
103,4634,3034,3540,2799,2801,2082,1856,2068,1295,838,1081,3957,11708,2597,2373,1737,2360,2458,4761,1994
106,1982,4180,2629,3627,1577,1649,1227,3479,2553,1354,3329,2180,3850,1551,861,718,4663,1881,1583,1177
107,15747,2169,2411,1608,1718,2063,1156,1135,1918,1215,1556,1637,2060,1910,1757,1418,1229,2468,3030,1691
108,3446,2159,3652,1986,1153,2092,2152,2038,2310,2903,2169,1400,1454,1580,1851,2536,1506,3604,6216,2649
109,3349,1851,3087,2536,3611,2137,1377,1684,1226,1103,1555,2881,2800,2296,2161,2385,2024,2988,1640,1670
110,2320,1557,2639,3939,3674,3904,10220,2063,2386,2018,1989,2459,1922,2622,1800,2093,3209,4031,4264,2598
111,12386,4383,2504,2955,2176,2506,1988,1919,3135,1968,2414,2433,1973,2364,4704,2476,2747,2735,1876,4086
112,1613,3435,1622,2058,2119,2783,3744,1751,1487,2230,1808,2335,1631,2894,2167,1796,2326,1844,2548,1757
113,8067,4092,12155,5513,3391,3584,2822,2856,2678,2217,6586,3050,7556,3175,2742,2743,3495,4116,2893,2651
114,4994,9926,8541,6192,6718,4259,6199,3996,4466,4834,8240,4385,12421,2166,3152,4560,4580,7752,3541,4400
116,6159,2369,1725,1627,1226,1363,1656,1610,1499,1547,1177,990,1111,1577,1095,1805,2012,1361,1698,1447
117,4523,2166,2137,1928,1512,1967,1244,1666,2264,1848,2249,2063,2765,2262,2434,1841,2595,1663,1778,2167
118,6261,3271,2141,2686,1974,2439,1232,1389,1433,1738,1653,1812,1716,1422,1641,2789,2205,2513,1848,1458
121,6001,3299,2135,4450,2084,1794,1399,1444,1438,1310,975,1215,1423,1149,2054,1298,930,938,1584,4495
123,3115,1693,2118,2938,3059,1860,2080,5490,2458,2255,1717,2407,3490,1407,3288,2025,2066,2300,2683,1704
124,4031,3273,2230,2692,2385,4268,2629,1588,2671,2703,2258,3420,19231,3184,2309,2171,2652,1721,2957,2901
127,11339,4677,4608,16385,3181,5095,3803,10965,2566,11793,2580,4700,3145,8535,19330,11728,3549,6571,5475,3307
129,40156,2167,2088,10089,100299,954,99515956,99733565,99748472,99967003,99981956,0,999,999,999,999,999,999,999,999
130,8426,4365,2831,1750,1977,5886,5172,2723,3096,4708,2368,3377,2078,2785,2675,1901,3095,35127,2444,3489
131,4223,5068,3682,4025,2976,8047,8353,5498,8758,2410,4161,43401,8463,11962,5808,14117,2188,2428,3498,5484
133,5685,4922,4780,3178,1971,2954,2699,2064,1891,2741,2390,8271,2046,2219,1693,1661,2081,2232,9485,6410
134,4569,3065,4387,4310,4853,9649,7336,6420,6902,5177,4710,4044,4153,3484,1780,2427,3951,4340,14320,5060
15,5492,2161,1865,2100,1646,2234,2560,2402,2211,2115,1871,2049,1689,2486,2956,2495,1652,1949,1686,2076
