Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,1,1.01,retrieval,57,SPACE,"press spacebar to start perceptual task",401,True,0,32,54,"press spacebar to start perceptual task",403,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,1,2.01,retrieval,57,SPACE,"MutedBallie.avi (174x144)",278,True,457,226,254,"MutedBallie.avi (174x144)",294,"blacksquare.bmp",523,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,1,2.02,retrieval,57,SPACE,"blacksquare.bmp",517,True,457,226,254,"MutedBallie.avi (174x144)",294,"blacksquare.bmp",523,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,2,3.01,retrieval,1,1,"cookie_pizza_b.bmp",28561,True,1528,26,53,"cookie_pizza_b.bmp",28585,"blacksquare.bmp",1298,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,2,3.02,retrieval,57,SPACE,"blacksquare.bmp",1296,True,1528,26,53,"cookie_pizza_b.bmp",28585,"blacksquare.bmp",1298,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,3,4.01,retrieval,1,1,"sock_shoe_b.bmp",8915,False,31464,27,53,"sock_shoe_b.bmp",8931,"blacksquare.bmp",3789,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,3,4.02,retrieval,57,SPACE,"blacksquare.bmp",3780,True,31464,27,53,"sock_shoe_b.bmp",8931,"blacksquare.bmp",3789,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,4,5.01,retrieval,2,2,"balloons_duck_b.bmp",3741,True,44237,26,54,"balloons_duck_b.bmp",3761,"blacksquare.bmp",2652,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,4,5.02,retrieval,57,SPACE,"blacksquare.bmp",2650,True,44237,26,54,"balloons_duck_b.bmp",3761,"blacksquare.bmp",2652,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,5,6.01,retrieval,1,1,"flowers_cat_b.bmp",2770,True,50704,26,52,"flowers_cat_b.bmp",2786,"blacksquare.bmp",3173,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,5,6.02,retrieval,57,SPACE,"blacksquare.bmp",3171,True,50704,26,52,"flowers_cat_b.bmp",2786,"blacksquare.bmp",3173,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,6,7.01,retrieval,2,2,"pig_butterfly_b.bmp",1706,True,56715,27,53,"pig_butterfly_b.bmp",1728,"blacksquare.bmp",2745,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,6,7.02,retrieval,57,SPACE,"blacksquare.bmp",2740,True,56715,27,53,"pig_butterfly_b.bmp",1728,"blacksquare.bmp",2745,
11/21/2014,11:38,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_2.csv,42,1,1,7,8.01,retrieval,0,,"",0,False,61241,26,53,"bread_tv_b.bmp",-62821,"blacksquare.bmp",0,
