Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,1,1.01,retrieval,57,SPACE,"press spacebar to start perceptual task",3539,True,0,54,81,"press spacebar to start perceptual task",3548,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,1,2.01,retrieval,57,SPACE,"MutedBallie.avi (174x144)",733,True,3629,2303,2329,"MutedBallie.avi (174x144)",750,"blacksquare.bmp",1862,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,1,2.02,retrieval,57,SPACE,"blacksquare.bmp",1854,True,3629,2303,2329,"MutedBallie.avi (174x144)",750,"blacksquare.bmp",1862,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,2,3.01,retrieval,2,2,"cookie_pizza_b.bmp",11996,True,8570,187,214,"cookie_pizza_b.bmp",12009,"blacksquare.bmp",2143,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,2,3.02,retrieval,57,SPACE,"blacksquare.bmp",2132,True,8570,187,214,"cookie_pizza_b.bmp",12009,"blacksquare.bmp",2143,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,3,4.01,retrieval,2,2,"sock_shoe_b.bmp",5546,False,22936,174,200,"sock_shoe_b.bmp",5570,"blacksquare.bmp",2438,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,3,4.02,retrieval,57,SPACE,"blacksquare.bmp",2433,True,22936,174,200,"sock_shoe_b.bmp",5570,"blacksquare.bmp",2438,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,4,5.01,retrieval,2,2,"balloons_duck_b.bmp",3695,False,31144,173,200,"balloons_duck_b.bmp",3708,"blacksquare.bmp",1594,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,4,5.02,retrieval,57,SPACE,"blacksquare.bmp",1586,True,31144,173,200,"balloons_duck_b.bmp",3708,"blacksquare.bmp",1594,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,5,6.01,retrieval,2,2,"flowers_cat_b.bmp",8923,True,36646,174,201,"flowers_cat_b.bmp",8943,"blacksquare.bmp",1662,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,5,6.02,retrieval,57,SPACE,"blacksquare.bmp",1657,True,36646,174,201,"flowers_cat_b.bmp",8943,"blacksquare.bmp",1662,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,6,7.01,retrieval,1,1,"pig_butterfly_b.bmp",3052,True,47452,146,172,"pig_butterfly_b.bmp",3067,"blacksquare.bmp",1767,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,6,7.02,retrieval,57,SPACE,"blacksquare.bmp",1758,True,47452,146,172,"pig_butterfly_b.bmp",3067,"blacksquare.bmp",1767,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,7,8.01,retrieval,1,1,"bread_tv_b.bmp",6694,True,52458,121,147,"bread_tv_b.bmp",6708,"blacksquare.bmp",3066,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,7,8.02,retrieval,57,SPACE,"blacksquare.bmp",3055,True,52458,121,147,"bread_tv_b.bmp",6708,"blacksquare.bmp",3066,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,8,9.01,retrieval,1,1,"ball_orange_b.bmp",5985,False,62379,107,134,"ball_orange_b.bmp",6012,"blacksquare.bmp",1835,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,8,9.02,retrieval,57,SPACE,"blacksquare.bmp",1832,True,62379,107,134,"ball_orange_b.bmp",6012,"blacksquare.bmp",1835,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,9,10.01,retrieval,2,2,"fork_spoon_b.bmp",15454,True,70360,119,146,"fork_spoon_b.bmp",15478,"blacksquare.bmp",3053,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,9,10.02,retrieval,57,SPACE,"blacksquare.bmp",3044,True,70360,119,146,"fork_spoon_b.bmp",15478,"blacksquare.bmp",3053,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,10,11.01,retrieval,2,2,"refrigerator_mouse_b.bmp",15271,False,89037,133,160,"refrigerator_mouse_b.bmp",15290,"blacksquare.bmp",2276,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,10,11.02,retrieval,57,SPACE,"blacksquare.bmp",2275,True,89037,133,160,"refrigerator_mouse_b.bmp",15290,"blacksquare.bmp",2276,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,11,12.01,retrieval,1,1,"chair_grapes_b.bmp",3049,True,106763,148,174,"chair_grapes_b.bmp",3066,"blacksquare.bmp",1714,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,11,12.02,retrieval,57,SPACE,"blacksquare.bmp",1705,True,106763,148,174,"chair_grapes_b.bmp",3066,"blacksquare.bmp",1714,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,12,13.01,retrieval,1,1,"clock_dog_b.bmp",2461,True,111717,160,188,"clock_dog_b.bmp",2476,"blacksquare.bmp",2572,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,12,13.02,retrieval,57,SPACE,"blacksquare.bmp",2563,True,111717,160,188,"clock_dog_b.bmp",2476,"blacksquare.bmp",2572,
11/19/2015,14:52,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_6.csv,700,1,1,13,14.01,retrieval,2,2,"teddybear_doll_b.bmp",3055,True,116953,120,146,"teddybear_doll_b.bmp",3079,"blacksquare.bmp",3000,
