Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,1,1.01,retrieval,57,SPACE,"press spacebar to start perceptual task",105,True,0,20,47,"press spacebar to start perceptual task",108,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,1,2.01,retrieval,57,SPACE,"MutedBallie.avi (174x144)",3193,True,155,294,320,"MutedBallie.avi (174x144)",3214,"blacksquare.bmp",2330,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,1,2.02,retrieval,57,SPACE,"blacksquare.bmp",2320,True,155,294,320,"MutedBallie.avi (174x144)",3214,"blacksquare.bmp",2330,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,2,3.01,retrieval,1,1,"chair_refrigerator_b.bmp",3580,True,6019,615,642,"chair_refrigerator_b.bmp",3601,"blacksquare.bmp",2424,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,2,3.02,retrieval,57,SPACE,"blacksquare.bmp",2421,True,6019,615,642,"chair_refrigerator_b.bmp",3601,"blacksquare.bmp",2424,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,3,4.01,retrieval,2,2,"grapes_balloons_b.bmp",3205,True,12686,495,522,"grapes_balloons_b.bmp",3227,"blacksquare.bmp",2316,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,3,4.02,retrieval,57,SPACE,"blacksquare.bmp",2307,True,12686,495,522,"grapes_balloons_b.bmp",3227,"blacksquare.bmp",2316,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,4,5.01,retrieval,2,2,"spoon_ball_b.bmp",6443,True,18751,374,402,"spoon_ball_b.bmp",6467,"blacksquare.bmp",2048,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,4,5.02,retrieval,57,SPACE,"blacksquare.bmp",2042,True,18751,374,402,"spoon_ball_b.bmp",6467,"blacksquare.bmp",2048,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,5,6.01,retrieval,1,1,"cookie_sock_b.bmp",3016,True,27668,629,656,"cookie_sock_b.bmp",3039,"blacksquare.bmp",2089,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,5,6.02,retrieval,57,SPACE,"blacksquare.bmp",2086,True,27668,629,656,"cookie_sock_b.bmp",3039,"blacksquare.bmp",2089,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,6,7.01,retrieval,2,2,"orange_bread_b.bmp",1536,True,33452,361,387,"orange_bread_b.bmp",1554,"blacksquare.bmp",2250,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,6,7.02,retrieval,57,SPACE,"blacksquare.bmp",2243,True,33452,361,387,"orange_bread_b.bmp",1554,"blacksquare.bmp",2250,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,7,8.01,retrieval,2,2,"butterfly_flowers_b.bmp",1670,True,37643,602,628,"butterfly_flowers_b.bmp",1688,"blacksquare.bmp",2370,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,7,8.02,retrieval,57,SPACE,"blacksquare.bmp",2369,True,37643,602,628,"butterfly_flowers_b.bmp",1688,"blacksquare.bmp",2370,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,8,9.01,retrieval,1,1,"cat_mouse_b.bmp",1669,True,42329,521,548,"cat_mouse_b.bmp",1687,"blacksquare.bmp",2290,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,8,9.02,retrieval,57,SPACE,"blacksquare.bmp",2279,True,42329,521,548,"cat_mouse_b.bmp",1687,"blacksquare.bmp",2290,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,9,10.01,retrieval,1,1,"duck_pig_b.bmp",2312,True,46854,549,575,"duck_pig_b.bmp",2330,"blacksquare.bmp",1888,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,9,10.02,retrieval,57,SPACE,"blacksquare.bmp",1879,True,46854,549,575,"duck_pig_b.bmp",2330,"blacksquare.bmp",1888,
7/24/2014,15:15,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Task\Tadpole_Perceptual_4.csv,12,1,1,10,11.01,retrieval,2,2,"fork_tv_b.bmp",1803,True,51647,428,455,"fork_tv_b.bmp",1820,"blacksquare.bmp",2412,
