Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,1,5.01,encode,57,SPACE,"press spacebar to start retrieval task",6404,True,26578,26,54,"press spacebar to start retrieval task",6413,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,2,6.01,retrieval,1,1,"lion_bear.bmp",4278,False,33045,241,267,"lion_bear.bmp",4298,"blacksquare.bmp",1514,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,2,6.02,retrieval,57,SPACE,"blacksquare.bmp",1501,True,33045,241,267,"lion_bear.bmp",4298,"blacksquare.bmp",1514,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,3,7.01,retrieval,2,2,"lips_ear.bmp",2981,True,39124,146,173,"lips_ear.bmp",2999,"blacksquare.bmp",1246,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,3,7.02,retrieval,57,SPACE,"blacksquare.bmp",1242,True,39124,146,173,"lips_ear.bmp",2999,"blacksquare.bmp",1246,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,4,8.01,retrieval,2,2,"shirt_cap.bmp",2672,False,43542,174,200,"shirt_cap.bmp",2691,"blacksquare.bmp",1473,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,4,8.02,retrieval,57,SPACE,"blacksquare.bmp",1460,True,43542,174,200,"shirt_cap.bmp",2691,"blacksquare.bmp",1473,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,5,9.01,retrieval,1,1,"mouse_squirrel.bmp",3112,False,47906,148,174,"mouse_squirrel.bmp",3133,"blacksquare.bmp",1232,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,5,9.02,retrieval,57,SPACE,"blacksquare.bmp",1228,True,47906,148,174,"mouse_squirrel.bmp",3133,"blacksquare.bmp",1232,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,6,10.01,retrieval,1,1,"scissors_brush.bmp",1367,True,52445,160,188,"scissors_brush.bmp",1391,"blacksquare.bmp",3589,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,6,10.02,retrieval,57,SPACE,"blacksquare.bmp",3588,True,52445,160,188,"scissors_brush.bmp",1391,"blacksquare.bmp",3589,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,7,11.01,retrieval,2,2,"duck_frog.bmp",3746,False,57613,214,240,"duck_frog.bmp",3763,"blacksquare.bmp",1714,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,7,11.02,retrieval,57,SPACE,"blacksquare.bmp",1703,True,57613,214,240,"duck_frog.bmp",3763,"blacksquare.bmp",1714,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,8,12.01,retrieval,1,1,"sun_tree.bmp",5028,False,63330,214,241,"sun_tree.bmp",5047,"blacksquare.bmp",2023,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,8,12.02,retrieval,57,SPACE,"blacksquare.bmp",2015,True,63330,214,241,"sun_tree.bmp",5047,"blacksquare.bmp",2023,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,9,13.01,retrieval,2,2,"glass_bowl.bmp",3237,False,70641,213,240,"glass_bowl.bmp",3254,"blacksquare.bmp",1606,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,9,13.02,retrieval,57,SPACE,"blacksquare.bmp",1597,True,70641,213,240,"glass_bowl.bmp",3254,"blacksquare.bmp",1606,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,10,14.01,retrieval,1,1,"nail_pencil.bmp",3752,False,75741,160,188,"nail_pencil.bmp",3775,"blacksquare.bmp",4339,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,10,14.02,retrieval,57,SPACE,"blacksquare.bmp",4333,True,75741,160,188,"nail_pencil.bmp",3775,"blacksquare.bmp",4339,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,11,15.01,retrieval,2,2,"leg_arm.bmp",6010,False,84043,226,254,"leg_arm.bmp",6024,"whiteborder.bmp",911,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,11,15.02,retrieval,57,SPACE,"whiteborder.bmp",903,True,84043,226,254,"leg_arm.bmp",6024,"whiteborder.bmp",911,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,12,16.01,retrieval,1,1,"flower_leaf.bmp",1826,True,91232,147,174,"flower_leaf.bmp",1848,"blacksquare.bmp",1566,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,12,16.02,retrieval,57,SPACE,"blacksquare.bmp",1565,True,91232,147,174,"flower_leaf.bmp",1848,"blacksquare.bmp",1566,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,13,17.01,retrieval,2,2,"hair_hat.bmp",942,True,94820,160,188,"hair_hat.bmp",964,"blacksquare.bmp",2008,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,13,17.02,retrieval,57,SPACE,"blacksquare.bmp",1996,True,94820,160,188,"hair_hat.bmp",964,"blacksquare.bmp",2008,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,14,18.01,retrieval,1,1,"watermelon_orange.bmp",735,True,97980,201,227,"watermelon_orange.bmp",750,"blacksquare.bmp",1808,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,14,18.02,retrieval,57,SPACE,"blacksquare.bmp",1799,True,97980,201,227,"watermelon_orange.bmp",750,"blacksquare.bmp",1808,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,15,19.01,retrieval,1,1,"ball_drum.bmp",2503,False,100765,160,187,"ball_drum.bmp",2517,"blacksquare.bmp",1942,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,15,19.02,retrieval,57,SPACE,"blacksquare.bmp",1938,True,100765,160,187,"ball_drum.bmp",2517,"blacksquare.bmp",1942,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,16,20.01,retrieval,2,2,"garbagecan_box.bmp",2013,False,105411,146,173,"garbagecan_box.bmp",2035,"blacksquare.bmp",1741,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,16,20.02,retrieval,57,SPACE,"blacksquare.bmp",1728,True,105411,146,173,"garbagecan_box.bmp",2035,"blacksquare.bmp",1741,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,17,21.01,retrieval,1,1,"lettuce_corn.bmp",1833,False,109360,174,200,"lettuce_corn.bmp",1848,"blacksquare.bmp",1406,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,17,21.02,retrieval,57,SPACE,"blacksquare.bmp",1399,True,109360,174,200,"lettuce_corn.bmp",1848,"blacksquare.bmp",1406,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,18,22.01,retrieval,2,2,"knife_key.bmp",1002,False,112814,160,188,"knife_key.bmp",1017,"blacksquare.bmp",1808,
11/6/2015,12:23,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,103,1,2,18,22.02,retrieval,57,SPACE,"blacksquare.bmp",1800,True,112814,160,188,"knife_key.bmp",1017,"blacksquare.bmp",1808,
