Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,Stim 3,Time 3,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,1,4.01,encode,57,SPACE,"press spacebar to start retrieval task",4451,True,28318,27,54,"press spacebar to start retrieval task",4459,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,1,2,5.01,encode,57,SPACE,"blacksquare.bmp",4728,True,32831,374,401,"jacquie_3_new.avi (402 x 288)",3000,"blacksquare.bmp",4739,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,2,6.01,retrieval,2,2,"lion_bear.bmp",6127,False,40971,375,401,"Jacquie_4.avi (402 x 288)",2999,"lion_bear.bmp",6146,"blacksquare.bmp",3052,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,2,6.02,retrieval,57,SPACE,"blacksquare.bmp",3051,True,40971,375,401,"Jacquie_4.avi (402 x 288)",2999,"lion_bear.bmp",6146,"blacksquare.bmp",3052,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,3,7.01,retrieval,1,1,"lips_ear.bmp",16515,True,53569,214,241,"Jacquie_4.avi (402 x 288)",3000,"lips_ear.bmp",16534,"blacksquare.bmp",1715,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,3,7.02,retrieval,57,SPACE,"blacksquare.bmp",1712,True,53569,214,241,"Jacquie_4.avi (402 x 288)",3000,"lips_ear.bmp",16534,"blacksquare.bmp",1715,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,4,8.01,retrieval,1,1,"shirt_cap.bmp",4274,False,75059,360,387,"Jacquie_4.avi (402 x 288)",2999,"shirt_cap.bmp",4298,"blacksquare.bmp",2209,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,4,8.02,retrieval,57,SPACE,"blacksquare.bmp",2200,True,75059,360,387,"Jacquie_4.avi (402 x 288)",2999,"shirt_cap.bmp",4298,"blacksquare.bmp",2209,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,5,9.01,retrieval,1,1,"mouse_squirrel.bmp",2777,True,84952,254,282,"Jacquie_4.avi (402 x 288)",2999,"mouse_squirrel.bmp",2797,"blacksquare.bmp",1942,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,5,9.02,retrieval,57,SPACE,"blacksquare.bmp",1939,True,84952,254,282,"Jacquie_4.avi (402 x 288)",2999,"mouse_squirrel.bmp",2797,"blacksquare.bmp",1942,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,6,10.01,retrieval,1,1,"scissors_brush.bmp",4382,False,92972,241,267,"Jacquie_4.avi (402 x 288)",2999,"scissors_brush.bmp",4406,"blacksquare.bmp",3775,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,6,10.02,retrieval,57,SPACE,"blacksquare.bmp",3764,True,92972,241,267,"Jacquie_4.avi (402 x 288)",2999,"scissors_brush.bmp",4406,"blacksquare.bmp",3775,
