Subject_ID,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,response12,RT13,RT14,RT15,RT16,RT17,RT18,RT19,RT20
1,2690,2130,1574,2487,6639,1603,1686,3770,1303,3027,3808,2257,4685,2661,2515,1619,3185,2162,2002,6639
3,2043,1745,1602,1617,886,1826,1789,1640,2727,1104,1918,1750,2067,4077,1765,1300,6081,6081,6081,3123
4,17316,1921,1643,24715,24715,3854,2724,2960,1892,7160,12983,2726,2377,1032,2165,1742,1337,1275,1657,1423
7,3235,3248,2118,2394,3124,2277,2865,2467,1986,3095,2758,2522,2057,2222,3678,3435,3002,3082,2494,2152
9,5235,2717,4512,2304,1632,2738,22116,2505,5847,1458,23136,23136,3737,11152,1862,23136,1178,5744,9335,7413
12,7478,4024,2146,2122,2686,9850,3135,4915,2507,3339,3411,2779,2367,3588,3436,4163,4640,2950,9850,4960
13,1863,5534,4676,2378,7400,2483,3060,7548,8639,2304,3313,13877,8878,4890,3840,15881,371,5599,11597,2924
14,5405,5188,4443,4143,1682,2630,3772,1912,2458,3633,3159,4288,2373,3522,3634,3293,3932,5405,3242,4864
15,4057,1477,1070,1257,1319,3248,3277,1683,1766,1823,1219,1503,954,3449,3622,988,1221,1272,1225,1256
16,10035,3794,3383,3207,3821,4854,3841,3868,3501,2689,6616,6570,3604,3354,4451,2620,4590,4499,4123,2634
17,2299,1523,1302,939,1121,1387,1252,1314,1666,1878,1514,1329,1157,2299,1589,1336,1358,1676,1967,1184
18,3735,4042,1936,3740,1199,5629,3011,3142,3805,6330,5137,10328,2493,2813,4939,10328,4085,5037,5618,4125
19,5040,2715,2002,2665,1288,1131,2845,2707,1213,947,3138,5040,2381,995,755,1818,1697,3567,3576,2844
20,10639,5951,10639,6687,2710,2935,6925,4523,2101,1842,9970,1804,6238,1090,3304,2410,8814,7771,5499,4640
21,5926,1723,9023,9427,5893,8803,10116,5623,9113,6898,4518,2869,3780,4357,3146,5217,1618,2145,3699,1505
22,3413,16484,14022,7888,27351,1246,2376,8734,8515,27351,9939,2040,3842,7005,1011,2126,2392,2498,5127,999
23,1935,5014,1378,442,1194,1650,1074,1001,1191,1409,1116,3513,1603,1553,1217,997,1307,4861,5014,999
24,2741,2841,3560,2100,1170,1956,4293,2574,7829,5600,4146,3214,3981,2454,3319,4380,1653,2445,4178,3560
26,6127,16515,4274,2777,4382,2095,6811,1391,10522,2254,1705,3619,9250,2047,3262,16515,1768,182,12362,732
28,2568,2867,9281,1977,2519,2961,2424,569,3898,3373,8447,6948,5893,3720,5443,2701,4661,2202,5857,2732
31,5422,5763,2820,3924,3507,2620,4262,2716,3351,3123,2872,3780,3151,2715,3112,3719,2473,2583,2791,2842
33,5969,6716,6440,2964,9363,5957,1776,5772,7732,3096,10091,11394,2245,3365,4073,4874,4438,8986,2355,10768
34,3428,1711,3295,2150,5213,2196,3779,1357,2685,6166,6027,7267,7892,2974,4026,7892,2861,3439,2876,101
35,3557,2170,1120,1537,962,1734,965,1357,1359,2146,3557,1500,1657,1129,2217,2065,2241,2351,3038,2157
36,3319,3314,2583,2423,3438,3332,1950,2554,1704,1905,2821,2736,1583,1393,2372,1529,1688,2265,3066,2497
37,1788,1490,1325,2068,2201,2220,2671,1644,2016,1481,2424,1730,2053,2359,2671,201,2350,1982,1502,2015
38,4537,3011,2088,4139,3589,2992,4128,6136,3146,3809,9854,3105,7297,4345,4529,2757,6834,4735,10358,7671
39,3612,4924,3506,3131,2377,1859,1506,4262,4238,3957,2691,1284,3694,5584,5584,3292,1718,1470,5584,4714
40,5513,6525,3345,3920,2818,2828,6525,4966,3310,1064,4328,4012,3126,2903,3359,5476,4991,6151,1409,1175
