"Subject_ID","acc1","acc2","acc3","acc4","acc5","acc6","acc7","acc8","acc9","acc10","acc11","acc12","acc13","acc14","acc15","acc16","acc17","acc18","acc19","acc20"
1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
101,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
102,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
103,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
106,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0
110,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
111,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
112,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
113,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
114,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
116,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
118,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
12,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0
121,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
122,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
124,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1
127,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1
13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
130,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1
131,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
133,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
134,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
135,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999
136,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
138,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0
14,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
15,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1
16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
18,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
19,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
