"Subject_ID" "acc1" "RT1" "response1" "acc2" "RT2" "response2" "acc3" "RT3" "response3" "acc4" "RT4" "response4" "acc5" "RT5" "response5" "acc6" "RT6" "response6" "acc7" "RT7" "response7" "acc8" "RT8" "response8" "acc9" "RT9" "response9" "acc10" "RT10" "response10" "acc11" "RT11" "response11" "acc12" "response12" "RT12" "acc13" "RT13" "response13" "acc14" "RT14" "response14" "acc15" "RT15" "response15" "acc16" "RT16" "response16" "acc17" "RT17" "response17" "acc18" "RT18" "response18" "acc19" "RT19" "response19" "acc20" "RT20" "response20"
1 0 2690 2 0 2130 1 0 1574 1 1 2487 1 1 6639 2 1 1603 1 1 1686 2 0 3770 2 0 1303 2 1 3027 2 0 3808 2 0 2257 2 1 4685 2 0 2661 1 0 2515 2 0 1619 1 1 3185 1 0 2162 1 0 2002 1 0 7989 2
101 1 2429 2 0 2383 1 1 2285 1 1 2094 2 1 1801 1 1 1730 1 1 1963 2 1 2629 1 1 1610 2 1 1890 1 0 1988 2 1 2651 2 1 2676 1 1 2067 2 0 1750 2 1 2496 2 1 1654 1 0 2700 2 1 1408 2 1 1282 2
102 1 7962 1 0 4947 2 1 7480 2 1 4114 1 1 4783 2 1 4390 2 1 2503 1 1 2989 2 1 5706 1 1 3336 2 1 5517 2 1 4178 1 1 4515 2 1 2575 1 1 4794 2 1 2673 1 1 3396 2 0 2631 1 1 2381 1 1 2800 1
103 0 4278 1 1 2981 2 0 2672 2 0 3112 1 1 1367 1 0 3746 2 0 5028 1 0 3237 2 0 3752 1 0 6010 2 1 1826 1 1 942 2 1 735 1 0 2503 1 0 2013 2 0 1833 1 0 1002 2 1 1041 1 1 901 2 1 1264 2
106 1 5173 2 0 2126 1 1 1925 1 1 2158 2 0 1148 2 0 1165 2 1 1887 2 1 2782 1 0 1966 1 1 1413 1 1 1019 1 0 772 1 0 1533 2 1 1044 2 0 2322 2 1 1378 2 1 1829 1 1 1207 1 0 1112 1 0 810 1
110 1 2225 2 0 1683 1 1 1505 1 0 2229 1 0 4846 2 0 1364 2 0 5835 1 0 1962 2 1 1374 2 0 2648 2 1 13348 1 0 1769 1 0 21659 2 1 1635 2 0 1226 2 0 3064 1 0 3554 2 1 2994 1 1 4209 2 0 2226 1
111 1 2849 1 1 2320 1 1 2105 2 1 3110 1 0 3046 1 1 2678 2 1 3051 1 1 2341 2 1 2390 1 1 2133 2 1 2942 2 1 3020 1 1 2494 2 1 2891 1 1 2713 2 1 2205 1 1 2914 2 0 2053 1 1 2445 1 1 1988 1
112 1 2577 2 0 4585 1 0 2814 2 0 1960 1 1 2078 1 1 1402 1 1 1812 2 1 1502 1 0 1667 1 1 5119 1 0 1820 2 0 2327 1 0 2193 2 0 1930 1 1 1728 1 1 2167 2 0 2954 2 1 1900 1 0 2182 1 0 2650 1
113 1 2097 1 1 1968 1 1 1811 2 1 2245 1 1 1891 2 1 2155 2 1 2314 1 1 2099 2 1 2448 1 0 4293 1 1 2345 2 0 2305 2 1 2217 2 1 2597 1 1 2397 2 1 2206 1 1 2248 2 0 2007 1 1 2143 1 1 2333 1
114 0 0 0 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999
116 1 2131 2 0 1356 1 1 1214 1 1 1026 2 1 1043 1 1 1141 1 0 1078 1 1 975 1 0 957 1 1 1124 1 1 1350 1 0 1307 1 0 983 2 0 964 1 0 1154 2 0 1301 1 0 1223 2 1 1141 1 1 1186 2 1 969 2
118 0 2899 1 1 1174 2 0 1862 2 0 2464 1 0 3440 2 1 2994 1 1 2069 2 0 3839 2 1 2209 2 0 2640 2 0 2099 2 1 1501 2 0 1434 2 1 1442 2 0 1271 2 1 895 2 0 949 2 0 2354 2 1 2221 2 0 2422 1
12 0 7478 1 1 4024 1 0 2146 2 1 2122 2 0 2686 2 1 18735 2 1 3135 1 1 4915 2 0 2507 1 0 3339 2 1 3411 2 1 2779 2 0 2367 2 0 3588 2 0 3436 1 1 4163 1 1 4640 2 1 2950 1 1 9850 1 0 4960 1
121 0 2355 2 0 2225 2 1 1665 2 1 3921 1 1 2266 2 1 2447 2 0 3107 2 1 2811 2 1 2297 1 0 1545 1 1 2020 2 1 2311 1 1 1177 2 0 1621 2 1 1573 2 0 1639 2 1 2006 2 1 1445 2 1 2863 1 1 14804 1
122 0 3223 1 1 6213 2 1 2837 1 0 5445 1 1 5988 1 1 7034 1 0 2458 1 0 27813 2 0 4355 1 0 3942 2 0 8386 2 0 5187 1 0 1654 2 0 3601 1 0 23872 2 1 5899 2 0 16242 2 0 4866 2 0 2728 1 0 33206 1
123 1 20837 1 1 3587 1 0 3975 1 0 1417 2 0 2497 1 0 1722 1 1 1523 1 0 1759 1 1 2964 1 0 2414 1 1 9523 2 0 3341 2 1 4063 2 0 3088 2 0 3399 1 0 2354 2 0 2532 1 1 2913 2 1 3428 1 0 5498 2
124 1 3681 2 0 3829 1 1 4098 1 0 2556 1 0 2669 2 0 3825 2 1 3549 2 1 4255 1 0 2227 1 0 3453 2 0 3554 2 0 2315 1 1 2508 1 0 3428 1 0 3397 2 0 2763 1 1 1981 1 1 4805 1 1 1954 2 1 3701 2
127 1 9585 1 1 3559 1 0 4017 1 1 3016 1 0 2701 1 0 2290 1 0 6696 2 1 4841 2 1 4619 1 1 4044 2 0 2244 1 0 2851 2 0 1754 1 1 3296 1 0 5706 1 1 3363 1 1 2811 2 1 2893 2 1 3189 1 1 2516 1
13 1 1863 1 0 5534 1 0 4676 1 1 2378 1 0 7400 1 0 2483 2 0 3060 1 0 7548 2 0 8639 2 0 2304 1 0 3313 2 1 13877 1 0 8878 1 1 4890 2 1 3840 1 0 15881 1 1 371 1 0 5599 1 0 11597 1 0 2924 2
130 0 1994 1 0 2528 1 1 2403 1 0 3788 1 1 36574 1 1 5387 1 1 5419 2 0 4832 2 0 3791 1 1 5046 1 1 4644 1 1 2669 2 0 15306 2 1 2194 2 0 340 2 1 3100 2 0 2918 2 0 4964 2 1 4858 2 1 35584 2
131 1 4622 1 1 6971 1 0 4820 1 1 5972 1 1 4459 2 1 2524 2 1 3515 1 1 4012 2 1 3642 1 1 2291 2 0 3306 1 1 3540 1 1 41166 2 1 21580 1 1 8516 2 0 11322 2 1 6836 2 0 2346 1 1 3976 1 0 2512 2
133 0 8646 2 0 3449 2 1 4005 2 1 14148 1 0 10891 1 0 3541 1 1 2127 1 0 2849 1 0 1778 2 0 4224 1 1 4808 2 0 3109 2 0 2649 1 0 2728 2 1 4190 2 0 3721 2 1 3572 2 1 1511 2 0 2900 2 0 5013 2
134 0 4481 1 1 4292 2 0 6832 2 1 2930 2 0 2932 2 0 2138 2 1 1731 2 0 2503 2 1 2029 2 1 2931 1 1 3711 1 0 2143 1 0 1690 2 0 3248 1 0 2443 2 0 2656 1 0 3383 2 0 1985 2 0 3179 1 1 1976 2
135 0 4894 2 1 3436 1 0 2611 1 0 11080 2 0 109242 1 0 0 0 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999
