"Subject_ID","acc1","acc2","acc3","acc4","acc5","acc6","acc7","acc8","acc9","acc10","acc11","acc12","acc13","acc14","acc15","acc16","acc17","acc18","acc19","acc20"
1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
101,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
102,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
103,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
106,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0
110,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
111,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
112,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
113,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
114,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
116,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
118,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
12,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0
121,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
122,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
124,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1
127,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1
13,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
130,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1
131,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
133,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
134,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
135,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999
136,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
138,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0
139,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
14,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
141,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
142,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
143,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
144,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
145,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
146,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1
147,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0
149,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1
15,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1
150,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0
151,0,1,1,0,0,1,0,1,0,1,1,0,999,0,1,0,1,1,1,0
153,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
155,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
156,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
157,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1
158,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
160,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1
161,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0
162,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0
164,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0
165,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0
167,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
169,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1
17,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
170,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0
18,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
19,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
20,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1
21,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
22,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,999
23,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,999
24,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1
