"Subject_ID","RT1","RT2","RT3","RT4","RT5","RT6","RT7","RT8","RT9","RT10","RT11","response12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20"
1,2690,2130,1574,2487,6639,1603,1686,3770,1303,3027,3808,2257,4685,2661,2515,1619,3185,2162,2002,7989
101,2429,2383,2285,2094,1801,1730,1963,2629,1610,1890,1988,2651,2676,2067,1750,2496,1654,2700,1408,1282
102,7962,4947,7480,4114,4783,4390,2503,2989,5706,3336,5517,4178,4515,2575,4794,2673,3396,2631,2381,2800
103,4278,2981,2672,3112,1367,3746,5028,3237,3752,6010,1826,942,735,2503,2013,1833,1002,1041,901,1264
106,5173,2126,1925,2158,1148,1165,1887,2782,1966,1413,1019,772,1533,1044,2322,1378,1829,1207,1112,810
110,2225,1683,1505,2229,4846,1364,5835,1962,1374,2648,13348,1769,21659,1635,1226,3064,3554,2994,4209,2226
111,2849,2320,2105,3110,3046,2678,3051,2341,2390,2133,2942,3020,2494,2891,2713,2205,2914,2053,2445,1988
112,2577,4585,2814,1960,2078,1402,1812,1502,1667,5119,1820,2327,2193,1930,1728,2167,2954,1900,2182,2650
113,2097,1968,1811,2245,1891,2155,2314,2099,2448,4293,2345,2305,2217,2597,2397,2206,2248,2007,2143,2333
114,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
116,2131,1356,1214,1026,1043,1141,1078,975,957,1124,1350,1307,983,964,1154,1301,1223,1141,1186,969
118,2899,1174,1862,2464,3440,2994,2069,3839,2209,2640,2099,1501,1434,1442,1271,895,949,2354,2221,2422
12,7478,4024,2146,2122,2686,18735,3135,4915,2507,3339,3411,2779,2367,3588,3436,4163,4640,2950,9850,4960
121,2355,2225,1665,3921,2266,2447,3107,2811,2297,1545,2020,2311,1177,1621,1573,1639,2006,1445,2863,14804
122,3223,6213,2837,5445,5988,7034,2458,27813,4355,3942,8386,5187,1654,3601,23872,5899,16242,4866,2728,33206
123,20837,3587,3975,1417,2497,1722,1523,1759,2964,2414,9523,3341,4063,3088,3399,2354,2532,2913,3428,5498
124,3681,3829,4098,2556,2669,3825,3549,4255,2227,3453,3554,2315,2508,3428,3397,2763,1981,4805,1954,3701
127,9585,3559,4017,3016,2701,2290,6696,4841,4619,4044,2244,2851,1754,3296,5706,3363,2811,2893,3189,2516
13,1863,5534,4676,2378,7400,2483,3060,7548,8639,2304,3313,13877,8878,4890,3840,15881,371,5599,11597,2924
130,1994,2528,2403,3788,36574,5387,5419,4832,3791,5046,4644,2669,15306,2194,340,3100,2918,4964,4858,35584
131,4622,6971,4820,5972,4459,2524,3515,4012,3642,2291,3306,3540,41166,21580,8516,11322,6836,2346,3976,2512
133,8646,3449,4005,14148,10891,3541,2127,2849,1778,4224,4808,3109,2649,2728,4190,3721,3572,1511,2900,5013
134,4481,4292,6832,2930,2932,2138,1731,2503,2029,2931,3711,2143,1690,3248,2443,2656,3383,1985,3179,1976
135,4894,3436,2611,11080,109242,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999
136,2144,1825,2604,2018,1740,2327,1996,2074,2295,2233,2003,2708,1378,2302,2862,2253,2573,1972,1751,2731
138,2081,1829,2505,2220,2107,3835,1642,1765,13758,7319,3679,5879,9000,3830,2531,1999,7387,5925,15808,1727
