Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct
169,1,1,1,1,encode,57,SPACE,"press spacebar to start practice",21696,True
169,1,1,2,2,encode,57,SPACE,"YELLOW",4174,True
169,1,1,3,3,encode,57,SPACE,"BLUE",1437,True
169,1,1,4,4,encode,57,SPACE,"RED",1338,True
169,1,1,5,5,encode,57,SPACE,"GREEN",1218,True
169,1,1,6,6,encode,57,SPACE,"RED",1664,True
169,1,1,7,7,encode,57,SPACE,"BLUE",1883,True
169,1,1,8,8,encode,57,SPACE,"GREEN",1182,True
169,1,1,9,9,encode,57,SPACE,"BLUE",1061,True
169,1,1,10,10,encode,57,SPACE,"GREEN",1177,True
169,1,1,11,11,encode,57,SPACE,"YELLOW",1143,True
169,1,1,12,12,encode,57,SPACE,"END",4469,True
169,1,1,13,13,encode,57,SPACE,"press spacebar to start task",1873,True
169,1,1,14,14,encode,57,SPACE,"YELLOW",1417,True
169,1,1,15,15,encode,57,SPACE,"RED",1183,True
169,1,1,16,16,encode,57,SPACE,"GREEN",1301,True
169,1,1,17,17,encode,57,SPACE,"RED",1047,True
169,1,1,18,18,encode,57,SPACE,"YELLOW",1076,True
169,1,1,19,19,encode,57,SPACE,"BLUE",1423,True
169,1,1,20,20,encode,57,SPACE,"YELLOW",1044,True
169,1,1,21,21,encode,57,SPACE,"RED",1024,True
169,1,1,22,22,encode,57,SPACE,"YELLOW",1029,True
169,1,1,23,23,encode,57,SPACE,"GREEN",1163,True
169,1,1,24,24,encode,57,SPACE,"GREEN",1114,True
169,1,1,25,25,encode,57,SPACE,"YELLOW",964,True
169,1,1,26,26,encode,57,SPACE,"GREEN",1260,True
169,1,1,27,27,encode,57,SPACE,"GREEN",1062,True
169,1,1,28,28,encode,57,SPACE,"RED",1978,True
169,1,1,29,29,encode,57,SPACE,"BLUE",1082,True
169,1,1,30,30,encode,57,SPACE,"YELLOW",1268,True
169,1,1,31,31,encode,57,SPACE,"RED",1143,True
169,1,1,32,32,encode,57,SPACE,"GREEN",1393,True
169,1,1,33,33,encode,57,SPACE,"GREEN",1158,True
169,1,1,34,34,encode,57,SPACE,"YELLOW",1710,True
169,1,1,35,35,encode,57,SPACE,"YELLOW",1326,True
169,1,1,36,36,encode,57,SPACE,"RED",1105,True
169,1,1,37,37,encode,57,SPACE,"GREEN",1097,True
169,1,1,38,38,encode,57,SPACE,"RED",1307,True
169,1,1,39,39,encode,57,SPACE,"GREEN",918,True
169,1,1,40,40,encode,57,SPACE,"YELLOW",1080,True
169,1,1,41,41,encode,57,SPACE,"GREEN",939,True
169,1,1,42,42,encode,57,SPACE,"BLUE",1131,True
169,1,1,43,43,encode,57,SPACE,"YELLOW",1181,True
169,1,1,44,44,encode,57,SPACE,"YELLOW",1299,True
169,1,1,45,45,encode,57,SPACE,"RED",1293,True
169,1,1,46,46,encode,57,SPACE,"GREEN",984,True
169,1,1,47,47,encode,57,SPACE,"YELLOW",1032,True
169,1,1,48,48,encode,57,SPACE,"YELLOW",917,True
169,1,1,49,49,encode,57,SPACE,"RED",1334,True
169,1,1,50,50,encode,57,SPACE,"BLUE",926,True
169,1,1,51,51,encode,57,SPACE,"BLUE",1311,True
169,1,1,52,52,encode,57,SPACE,"YELLOW",1697,True
169,1,1,53,53,encode,57,SPACE,"BLUE",1475,True
169,1,1,54,54,encode,57,SPACE,"BLUE",982,True
169,1,1,55,55,encode,57,SPACE,"RED",1053,True
169,1,1,56,56,encode,57,SPACE,"BLUE",1017,True
169,1,1,57,57,encode,57,SPACE,"RED",935,True
169,1,1,58,58,encode,57,SPACE,"BLUE",808,True
169,1,1,59,59,encode,57,SPACE,"YELLOW",812,True
169,1,1,60,60,encode,57,SPACE,"BLUE",971,True
169,1,1,61,61,encode,57,SPACE,"RED",1028,True
169,1,1,62,62,encode,57,SPACE,"GREEN",976,True
169,1,1,63,63,encode,57,SPACE,"RED",902,True
169,1,1,64,64,encode,57,SPACE,"YELLOW",880,True
169,1,1,65,65,encode,57,SPACE,"BLUE",797,True
169,1,1,66,66,encode,57,SPACE,"GREEN",722,True
169,1,1,67,67,encode,57,SPACE,"GREEN",899,True
169,1,1,68,68,encode,57,SPACE,"YELLOW",982,True
169,1,1,69,69,encode,57,SPACE,"RED",925,True
169,1,1,70,70,encode,57,SPACE,"YELLOW",1134,True
169,1,1,71,71,encode,57,SPACE,"GREEN",976,True
169,1,1,72,72,encode,57,SPACE,"RED",941,True
169,1,1,73,73,encode,57,SPACE,"GREEN",814,True
169,1,1,74,74,encode,57,SPACE,"YELLOW",989,True
169,1,1,75,75,encode,57,SPACE,"RED",914,True
169,1,1,76,76,encode,57,SPACE,"RED",893,True
169,1,1,77,77,encode,57,SPACE,"RED",1064,True
169,1,1,78,78,encode,57,SPACE,"BLUE",1075,True
169,1,1,79,79,encode,57,SPACE,"BLUE",1094,True
169,1,1,80,80,encode,57,SPACE,"BLUE",1137,True
169,1,1,81,81,encode,57,SPACE,"RED",2192,True
169,1,1,82,82,encode,57,SPACE,"BLUE",999,True
169,1,1,83,83,encode,57,SPACE,"RED",1028,True
169,1,1,84,84,encode,57,SPACE,"RED",1506,True
169,1,1,85,85,encode,57,SPACE,"RED",1018,True
169,1,1,86,86,encode,57,SPACE,"BLUE",1456,True
169,1,1,87,87,encode,57,SPACE,"GREEN",989,True
169,1,1,88,88,encode,57,SPACE,"RED",1027,True
169,1,1,89,89,encode,57,SPACE,"BLUE",896,True
169,1,1,90,90,encode,57,SPACE,"YELLOW",970,True
169,1,1,91,91,encode,57,SPACE,"RED",1201,True
169,1,1,92,92,encode,57,SPACE,"YELLOW",1255,True
169,1,1,93,93,encode,57,SPACE,"GREEN",1283,True
169,1,1,94,94,encode,57,SPACE,"RED",1094,True
169,1,1,95,95,encode,57,SPACE,"YELLOW",1232,True
169,1,1,96,96,encode,57,SPACE,"BLUE",980,True
169,1,1,97,97,encode,57,SPACE,"GREEN",1124,True
169,1,1,98,98,encode,57,SPACE,"YELLOW",845,True
169,1,1,99,99,encode,57,SPACE,"GREEN",978,True
169,1,1,100,100,encode,57,SPACE,"BLUE",1072,True
169,1,1,101,101,encode,57,SPACE,"RED",1252,True
169,1,1,102,102,encode,57,SPACE,"GREEN",984,True
169,1,1,103,103,encode,57,SPACE,"BLUE",919,True
169,1,1,104,104,encode,57,SPACE,"YELLOW",928,True
169,1,1,105,105,encode,57,SPACE,"GREEN",992,True
169,1,1,106,106,encode,57,SPACE,"YELLOW",1263,True
169,1,1,107,107,encode,57,SPACE,"GREEN",2282,True
169,1,1,108,108,encode,57,SPACE,"BLUE",1093,True
169,1,1,109,109,encode,57,SPACE,"GREEN",959,True
169,1,1,110,110,encode,57,SPACE,"BLUE",1671,True
169,1,1,111,111,encode,57,SPACE,"YELLOW",1146,True
169,1,1,112,112,encode,57,SPACE,"BLUE",874,True
169,1,1,113,113,encode,57,SPACE,"BLUE",853,True
169,1,1,114,114,encode,57,SPACE,"END",1624,True
