Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,1,1.01,encode,57,SPACE,"press spacebar to start practice",20750,True,33,283,300,"press spacebar to start practice",20785,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,2,2.01,encode,57,SPACE,"YELLOW",2071,True,21118,82,99,"YELLOW",2099,"blacksquare.bmp",486,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,3,3.01,encode,57,SPACE,"BLUE",1715,True,23802,31,48,"BLUE",1733,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,4,4.01,encode,57,SPACE,"RED",1445,True,26068,32,49,"RED",1467,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,5,5.01,encode,57,SPACE,"GREEN",1522,True,28068,32,49,"GREEN",1550,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,6,6.01,encode,57,SPACE,"RED",1444,True,30151,32,49,"RED",1467,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,7,7.01,encode,57,SPACE,"BLUE",1457,True,32151,32,49,"BLUE",1483,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,8,8.01,encode,57,SPACE,"GREEN",1158,True,34168,32,49,"GREEN",1183,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,9,9.01,encode,57,SPACE,"BLUE",998,True,35885,32,48,"BLUE",1017,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,10,10.01,encode,57,SPACE,"GREEN",1310,True,37434,33,49,"GREEN",1334,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,11,11.01,encode,57,SPACE,"YELLOW",1160,True,39302,32,48,"YELLOW",1184,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,12,12.01,encode,57,SPACE,"END",1632,True,41018,33,49,"END",1650,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,13,13.01,encode,57,SPACE,"press spacebar to start task",4453,True,43202,31,48,"press spacebar to start task",4469,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,14,14.01,encode,57,SPACE,"YELLOW",2157,True,47719,32,48,"YELLOW",2183,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,15,15.01,encode,57,SPACE,"RED",1102,True,50435,32,48,"RED",1134,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,16,16.01,encode,57,SPACE,"GREEN",1040,True,52101,33,49,"GREEN",1067,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,17,17.01,encode,57,SPACE,"RED",845,True,53702,32,49,"RED",866,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,18,18.01,encode,57,SPACE,"YELLOW",1162,True,55101,33,49,"YELLOW",1184,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,19,19.01,encode,57,SPACE,"BLUE",971,True,56818,32,49,"BLUE",1000,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,20,20.01,encode,57,SPACE,"YELLOW",1259,True,58351,33,49,"YELLOW",1283,"blacksquare.bmp",486,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,21,21.01,encode,57,SPACE,"RED",1942,True,60169,32,49,"RED",1965,"blacksquare.bmp",486,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,22,22.01,encode,57,SPACE,"YELLOW",1015,True,62669,32,49,"YELLOW",1033,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,23,23.01,encode,57,SPACE,"GREEN",990,True,64235,32,49,"GREEN",1017,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,24,24.01,encode,57,SPACE,"GREEN",942,True,65785,32,49,"GREEN",967,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,25,25.01,encode,57,SPACE,"YELLOW",799,True,67285,32,49,"YELLOW",816,"blacksquare.bmp",486,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,26,26.01,encode,57,SPACE,"GREEN",998,True,68636,32,48,"GREEN",1017,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,27,27.01,encode,57,SPACE,"GREEN",982,True,70185,33,49,"GREEN",1000,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,28,28.01,encode,57,SPACE,"RED",950,True,71719,32,48,"RED",967,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,29,29.01,encode,57,SPACE,"BLUE",1303,True,73219,32,48,"BLUE",1333,"blacksquare.bmp",486,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,30,30.01,encode,57,SPACE,"YELLOW",1353,True,75086,31,48,"YELLOW",1383,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,31,31.01,encode,57,SPACE,"RED",1065,True,77002,32,49,"RED",1084,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,32,32.01,encode,57,SPACE,"GREEN",1086,True,78619,32,49,"GREEN",1116,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,33,33.01,encode,57,SPACE,"GREEN",1106,True,80268,33,49,"GREEN",1134,"blacksquare.bmp",484,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,34,34.01,encode,57,SPACE,"YELLOW",1476,True,81935,33,49,"YELLOW",1500,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,35,35.01,encode,57,SPACE,"YELLOW",1232,True,83969,32,48,"YELLOW",1250,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,36,36.01,encode,57,SPACE,"RED",941,True,85752,32,49,"RED",966,"blacksquare.bmp",485,
11/12/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,48,1,1,37,37.01,encode,57,SPACE,"GREEN",1094,True,87252,32,49,"GREEN",1117,"blacksquare.bmp",484,
