Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,1,1.01,encode,57,SPACE,"press spacebar to start practice",3266,True,0,133,150,"press spacebar to start practice",3301,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,2,2.01,encode,57,SPACE,"YELLOW",1338,True,3451,32,49,"YELLOW",1367,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,3,3.01,encode,57,SPACE,"BLUE",1286,True,5368,32,49,"BLUE",1316,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,4,4.01,encode,57,SPACE,"RED",1084,True,7217,33,49,"RED",1101,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,5,5.01,encode,57,SPACE,"GREEN",1113,True,8868,32,49,"GREEN",1133,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,6,6.01,encode,57,SPACE,"RED",1013,True,10535,32,49,"RED",1033,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,7,7.01,encode,57,SPACE,"BLUE",967,True,12101,32,49,"BLUE",983,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,8,8.01,encode,57,SPACE,"GREEN",1370,True,13618,32,49,"GREEN",1400,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,9,9.01,encode,57,SPACE,"BLUE",1628,True,15568,32,49,"BLUE",1650,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,10,10.01,encode,57,SPACE,"GREEN",1140,True,17751,33,49,"GREEN",1166,"blacksquare.bmp",486,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,11,11.01,encode,57,SPACE,"YELLOW",1279,True,19452,32,49,"YELLOW",1299,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,12,12.01,encode,57,SPACE,"END",13330,True,21285,32,49,"END",13350,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,13,13.01,encode,57,SPACE,"press spacebar to start task",629,True,35168,33,49,"press spacebar to start task",635,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,14,14.01,encode,57,SPACE,"YELLOW",1209,True,35852,32,49,"YELLOW",1233,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,15,15.01,encode,57,SPACE,"RED",1234,True,37619,32,49,"RED",1250,"blacksquare.bmp",500,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,16,16.01,encode,57,SPACE,"GREEN",1082,True,39418,33,49,"GREEN",1100,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,17,17.01,encode,57,SPACE,"RED",1032,True,41052,32,49,"RED",1050,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,18,18.01,encode,57,SPACE,"YELLOW",1025,True,42635,33,49,"YELLOW",1050,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,19,19.01,encode,57,SPACE,"BLUE",1009,True,44218,33,49,"BLUE",1033,"blacksquare.bmp",486,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,20,20.01,encode,57,SPACE,"YELLOW",994,True,45786,32,48,"YELLOW",1017,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,21,21.01,encode,57,SPACE,"RED",1202,True,47335,33,49,"RED",1234,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,22,22.01,encode,57,SPACE,"YELLOW",1059,True,49102,32,49,"YELLOW",1083,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,23,23.01,encode,57,SPACE,"GREEN",1083,True,50719,32,48,"GREEN",1101,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,24,24.01,encode,57,SPACE,"GREEN",1065,True,52352,32,49,"GREEN",1083,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,25,25.01,encode,57,SPACE,"YELLOW",1047,True,53969,32,49,"YELLOW",1066,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,26,26.01,encode,57,SPACE,"GREEN",1119,True,55569,32,49,"GREEN",1150,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,27,27.01,encode,57,SPACE,"GREEN",963,True,57252,33,49,"GREEN",984,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,28,28.01,encode,57,SPACE,"RED",870,True,58786,32,48,"RED",901,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,29,29.01,encode,57,SPACE,"BLUE",1634,True,60236,32,49,"BLUE",1667,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,30,30.01,encode,57,SPACE,"YELLOW",1010,True,62453,32,48,"YELLOW",1034,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,31,31.01,encode,57,SPACE,"RED",938,True,64019,32,49,"RED",967,"blacksquare.bmp",484,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,32,32.01,encode,57,SPACE,"GREEN",910,True,65519,32,49,"GREEN",933,"blacksquare.bmp",485,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,33,33.01,encode,57,SPACE,"GREEN",898,True,66986,32,49,"GREEN",917,"blacksquare.bmp",501,
7/21/2014,15:10,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 1.csv,9,1,1,34,34.01,encode,57,SPACE,"YELLOW",1121,True,68453,32,48,"YELLOW",1151,"blacksquare.bmp",501,
