Timestamp	Event	Descriptor	
367	MovieStart	MutedBallie.avi	
3648	KeyPress	Space	
3648	MovieEnd	MutedBallie.avi	
4005	ImageStart	fixation.png	
5759	KeyPress	Space	
5760	ImageEnd	fixation.png	
5782	ImageStart	chair_refrigerator_a.BMP	
15760	KeyPress	Left	
15760	ImageEnd	chair_refrigerator_a.BMP	
15764	ImageStart	fixation.png	
20583	KeyPress	Space	
20584	ImageEnd	fixation.png	
20604	ImageStart	balloons_grapes_a.BMP	
23431	KeyPress	Left	
23431	ImageEnd	balloons_grapes_a.BMP	
23435	ImageStart	fixation.png	
26127	KeyPress	Space	
26127	ImageEnd	fixation.png	
26149	ImageStart	spoon_ball_a.BMP	
56351	KeyPress	Space	
56351	ImageEnd	spoon_ball_a.BMP	
56355	ImageStart	fixation.png	
57166	KeyPress	Space	
57166	ImageEnd	fixation.png	
57188	ImageStart	cookie_sock_a.BMP	
65734	KeyPress	Left	
65734	ImageEnd	cookie_sock_a.BMP	
65738	ImageStart	fixation.png	
74270	KeyPress	Space	
74270	ImageEnd	fixation.png	
74291	ImageStart	orange_bread_a.BMP	
80038	KeyPress	Right	
80038	ImageEnd	orange_bread_a.BMP	
80041	ImageStart	fixation.png	
83245	KeyPress	Space	
83246	ImageEnd	fixation.png	
83266	ImageStart	flowers_butterfly_a.BMP	
88157	KeyPress	Right	
88158	ImageEnd	flowers_butterfly_a.BMP	
88162	ImageStart	fixation.png	
93637	KeyPress	Space	
93637	ImageEnd	fixation.png	
93658	ImageStart	mouse_cat_a.BMP	
97325	KeyPress	Right	
97325	ImageEnd	mouse_cat_a.BMP	
97329	ImageStart	fixation.png	
101085	KeyPress	Space	
101085	ImageEnd	fixation.png	
101106	ImageStart	pig_duck_a.BMP	
103837	KeyPress	Right	
103837	ImageEnd	pig_duck_a.BMP	
103841	ImageStart	fixation.png	
107565	KeyPress	Space	
107565	ImageEnd	fixation.png	
107587	ImageStart	tv_fork_a.BMP	
111181	KeyPress	Left	
111181	ImageEnd	tv_fork_a.BMP	
111185	ImageStart	fixation.png	
114053	KeyPress	Space	
114053	ImageEnd	fixation.png	
114074	ImageStart	shoe_pizza_a.BMP	
116837	KeyPress	Right	
116837	ImageEnd	shoe_pizza_a.BMP	
116841	ImageStart	fixation.png	
121229	KeyPress	Space	
121229	ImageEnd	fixation.png	
121249	ImageStart	bottle_leaf_a.BMP	
124188	KeyPress	Right	
124188	ImageEnd	bottle_leaf_a.BMP	
124192	ImageStart	fixation.png	
127164	KeyPress	Space	
127165	ImageEnd	fixation.png	
127187	ImageStart	icecream_broccoli_a.BMP	
130748	KeyPress	Left	
130748	ImageEnd	icecream_broccoli_a.BMP	
130752	ImageStart	fixation.png	
134732	KeyPress	Space	
134732	ImageEnd	fixation.png	
134759	ImageStart	teddybear_crayon_a.BMP	
137868	KeyPress	Left	
137868	ImageEnd	teddybear_crayon_a.BMP	
137872	ImageStart	fixation.png	
141108	KeyPress	Space	
141109	ImageEnd	fixation.png	
141129	ImageStart	bunny_dog_a.BMP	
143908	KeyPress	Right	
143908	ImageEnd	bunny_dog_a.BMP	
143912	ImageStart	fixation.png	
147444	KeyPress	Space	
147444	ImageEnd	fixation.png	
147464	ImageStart	apple_strawberry_a.BMP	
151148	KeyPress	Left	
151148	ImageEnd	apple_strawberry_a.BMP	
151152	ImageStart	fixation.png	
156572	KeyPress	Space	
156572	ImageEnd	fixation.png	
156593	ImageStart	clock_bicycle_a.BMP	
159579	KeyPress	Right	
159580	ImageEnd	clock_bicycle_a.BMP	
159583	ImageStart	fixation.png	
163003	KeyPress	Space	
163003	ImageEnd	fixation.png	
163024	ImageStart	cake_doll_a.BMP	
166219	KeyPress	Right	
166219	ImageEnd	cake_doll_a.BMP	
166223	ImageStart	fixation.png	
169323	KeyPress	Space	
169323	ImageEnd	fixation.png	
169344	ImageStart	egg_hat_a.BMP	
171763	KeyPress	Right	
171763	ImageEnd	egg_hat_a.BMP	
171768	ImageStart	fixation.png	
174563	KeyPress	Space	
174563	ImageEnd	fixation.png	
174584	ImageStart	elephant_bear_a.BMP	
178643	KeyPress	Left	
178643	ImageEnd	elephant_bear_a.BMP	
178647	ImageStart	fixation.png	
182139	KeyPress	Space	
182139	ImageEnd	fixation.png	
182161	ImageStart	jacket_pillow_a.BMP	
185251	KeyPress	Right	
185251	ImageEnd	jacket_pillow_a.BMP	
185255	ImageStart	fixation.png	
186515	KeyPress	Space	
186515	ImageEnd	fixation.png	
187250	MovieStart	congratulations.wmv	
195755	KeyPress	Space	
201423	MovieEnd	congratulations.wmv	
