Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,1,1.01,retrieval,57,SPACE,"press spacebar to start perceptual task",4660,True,0,33,73,"press spacebar to start perceptual task",4673,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,1,2.01,retrieval,57,SPACE,"MutedBallie.avi (174x144)",2689,True,4746,2811,2837,"MutedBallie.avi (174x144)",2706,"blacksquare.bmp",4780,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,1,2.02,retrieval,57,SPACE,"blacksquare.bmp",4771,True,4746,2811,2837,"MutedBallie.avi (174x144)",2706,"blacksquare.bmp",4780,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,2,3.01,retrieval,2,2,"cake_hat_b.bmp",2860,True,15069,280,306,"cake_hat_b.bmp",2879,"blacksquare.bmp",2973,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,2,3.02,retrieval,57,SPACE,"blacksquare.bmp",2968,True,15069,280,306,"cake_hat_b.bmp",2879,"blacksquare.bmp",2973,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,3,4.01,retrieval,1,1,"leaf_jacket_b.bmp",4311,True,21227,549,575,"leaf_jacket_b.bmp",4325,"blacksquare.bmp",670,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,3,4.02,retrieval,57,SPACE,"blacksquare.bmp",659,True,21227,549,575,"leaf_jacket_b.bmp",4325,"blacksquare.bmp",670,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,4,5.01,retrieval,1,1,"apple_bear_b.bmp",8454,True,26797,133,161,"apple_bear_b.bmp",8474,"blacksquare.bmp",2719,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,4,5.02,retrieval,57,SPACE,"blacksquare.bmp",2713,True,26797,133,161,"apple_bear_b.bmp",8474,"blacksquare.bmp",2719,
8/26/2016,11:34,C:\Documents and Settings\lab\Desktop\Tadpole\Perceptual Study Perceptual Task\Tadpole_Perceptual_7.csv,16,1,1,5,6.01,retrieval,1,1,"elephant_broccoli_b.bmp",5388,False,38151,200,226,"elephant_broccoli_b.bmp",5410,"blacksquare.bmp",2170,
