"","ID","trial","trans","acc_et","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar","acc"
"1","122","1",0,0,"Male","Hispanic","Caucasian","b","d","d",2.43,29.16,2,0,"Cookie","1","Right","CookiePizza","similar",1
"2","34","1",2,1,"Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Cookie","1","Left","CookiePizza","similar",2
"3","35","1",2,0,"Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Cake","1","Right","CakeHat","similar",1
"4","36","1",4,1,"Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"5","37","1",3,1,"Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bear","1","Right","ElephantBear","similar",2
"6","38","1",4,1,"Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Pizza","1","Right","CookiePizza","similar",2
"7","39","1",4,1,"Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Hat","1","Right","CakeHat","similar",2
"8","41","1",2,1,"Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Elephant","1","Left","ElephantBear","similar",2
"9","42","1",7,0,"Male"," Not Hispanic","Caucasian","c","d","d",2.53,30.31,2,0,"Cookie","1","Right","CookiePizza","similar",1
"10","44","1",1,1,"Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"11","45","1",0,0,"Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Bear","1","Left","ElephantBear","similar",1
"12","46","1",2,0,"Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Pizza","1","Left","CookiePizza","similar",1
"13","48","1",5,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Refrigerator","1","Right","ChairRefrigerator","similar",2
"14","49","1",1,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Elephant","1","Left","ElephantBear","similar",2
"15","51","1",1,0,"Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Cake","1","Right","CakeHat","similar",1
"16","52","1",1,1,"Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"17","53","1",4,0,"Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Bear","1","Left","ElephantBear","similar",1
"18","54","1",0,0,"Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Pizza","1","Left","CookiePizza","similar",1
"19","55","1",4,0,"Female","Not Hispanic","Caucasian","f","h","h",2.28,27.35,7,0,"Hat","1","Left","CakeHat","similar",1
"20","56","1",3,1,"Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Refrigerator","1","Right","ChairRefrigerator","similar",2
"21","57","1",1,1,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Elephant","1","Left","ElephantBear","similar",2
"22","58","1",2,0,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Cookie","1","Right","CookiePizza","similar",1
"23","59","1",5,1,"Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Cake","1","Left","CakeHat","similar",2
"24","62","1",7,0,"Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Pizza","1","Left","CookiePizza","similar",1
"25","63","1",3,1,"Male","Hispanic","","e","c","c",2.36,28.34,7,0,"Hat","1","Right","CakeHat","similar",2
"26","64","1",2,0,"","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar",1
"27","65","1",0,1,"Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Elephant","1","Left","ElephantBear","similar",2
"28","66","1",1,0,"Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Cookie","1","Right","CookiePizza","similar",1
"29","68","1",4,1,"Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"30","69","1",1,1,"Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Bear","1","Right","ElephantBear","similar",2
"31","70","1",3,1,"Male","Hispanic","","b","b","b",2.55,30.61,6,0,"Pizza","1","Right","CookiePizza","similar",2
"32","72","1",2,0,"Female","Hispanic","Caucasian","d","d","d",2.48,29.75,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar",1
"33","73","1",5,1,"Male","Not Hispanic","Caucasian","e","e","e",2.27,27.19,1,0,"Elephant","1","Left","ElephantBear","similar",2
"34","74","1",3,0,"Male","Not Hispanic","Caucasian","f","d","h",2.52,30.21,2,0,"Cookie","1","Right","CookiePizza","similar",1
"35","75","1",5,0,"Female","Not Hispanic","Caucasian","f","e","b",2.56,30.71,3,0,"Cake","1","Right","CakeHat","similar",1
"36","76","1",2,1,"Female","Not Hispanic","Caucasian","d","d","d",2.22,26.7,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"37","78","1",1,1,"Female","Not Hispanic","Caucasian","f","c","d",2.43,29.16,6,0,"Pizza","1","Right","CookiePizza","similar",2
"38","79","1",3,1,"Male","Hispanic","Caucasian","f","e","e",2.49,29.85,7,0,"Hat","1","Right","CakeHat","similar",2
"39","80","1",2,0,"Male","Not Hispanic","Caucasian","f","e","e",2.14,25.68,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar",1
"40","81","1",2,0,"Male ","Hispanic","Caucasian","d","c","d",2.36,28.27,1,0,"Elephant","1","Right","ElephantBear","similar",1
"41","83","1",3,0,"Male ","Not hipanic ","Caucasian ","d","g","g",2.41,28.9,3,0,"Cake","1","Right","CakeHat","similar",1
"42","86","1",1,1,"Female","Not Hispanic","Caucasian","f","g","d",2.21,26.53,6,0,"Pizza","1","Right","CookiePizza","similar",2
"43","87","1",4,1,"Male","Hispanic ","Caucasian","e","g","e",2.34,28.11,7,0,"Hat","1","Right","CakeHat","similar",2
"44","88","1",2,0,"Male ","Not Hispanic ","Native Hawaiian & Caucasian","c","c","g",2.25,26.99,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar",1
"45","89","1",2,0,"Female","Not Hispanic","Caucasian ","d","b","b",2.21,26.47,1,0,"Elephant","1","Right","ElephantBear","similar",1
"46","90","1",4,1,"Male","Hispanic","Caucasian","d","g","e",2.52,30.18,2,0,"Cookie","1","Left","CookiePizza","similar",2
"47","91","1",2,1,"Male","Not Hispanic","African American","f","g","c",2.46,29.49,3,0,"Cake","1","Left","CakeHat","similar",2
"48","92","1",3,1,"Female","Not Hispanic","Caucasian ","d","g","g",2.55,30.54,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"49","94","1",2,0,"Female","Hispanic, american indian, asian-american","","f","f","e",2.33,27.95,6,0,"Pizza","1","Left","CookiePizza","similar",1
"50","95","1",3,1,"Female","Not Hispanic ","Caucasian","e","e","g",2.85,34.16,6,0,"Pizza","1","Right","CookiePizza","similar",2
"51","97","1",1,1," Female","Not Hispanic ","Caucasian","d","c","c",2.34,28.11,8,0,"Refrigerator","1","Right","ChairRefrigerator","similar",2
"52","98","1",4,1,"Male","Hispanic","American Indian or Alaskan / Caucasian","e","g","d",2.64,31.73,1,0,"Elephant","1","Left","ElephantBear","similar",2
"53","101","1",2,1,"Male","Caucasian",NA,"","e","e",2.52,30.21,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"54","103","1",1,1,"Female","Caucasian ",NA,"e","c","b",2.68,32.19,6,0,"Pizza","1","Right","CookiePizza","similar",2
"55","106","1",0,0,"Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Cookie","1","Right","CookiePizza","similar",1
"56","107","1",1,1,"Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Cake","1","Left","CakeHat","similar",2
"57","108","1",2,1,"Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"58","109","1",2,0,"Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Elephant","1","Right","ElephantBear","similar",1
"59","110","1",3,1,"Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Pizza","1","Right","CookiePizza","similar",2
"60","111","1",2,0,"Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Hat","1","Left","CakeHat","similar",1
"61","112","1",1,1,"Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Refrigerator","1","Right","ChairRefrigerator","similar",2
"62","114","1",1,0,"Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Cookie","1","Right","CookiePizza","similar",1
"63","115","1",6,1,"Male","Non-Hispanic","Caucasian","b","c","b",2.54,30.51,3,0,"Cake","1","Left","CakeHat","similar",2
"64","116","1",2,1,"Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Chair","1","Left","ChairRefrigerator","similar",2
"65","117","1",0,1,"Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Bear","1","Right","ElephantBear","similar",2
"66","118","1",1,1,"Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Pizza","1","Right","CookiePizza","similar",2
"67","123","1",3,1,"Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Cake","1","Left","CakeHat","similar",2
"68","122","2",0,1,"Male","Hispanic","Caucasian","b","d","d",2.43,29.16,2,0,"Shoe","1","Left","ShoeSock","similar",2
"69","34","2",2,0,"Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Shoe","1","Right","ShoeSock","similar",1
"70","35","2",1,1,"Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"71","36","2",0,1,"Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"72","37","2",0,1,"Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bicycle","1","Right","ClockBicycle","similar",2
"73","38","2",1,1,"Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Sock","1","Right","ShoeSock","similar",2
"74","39","2",1,1,"Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Leaf","1","Right","JacketLeaf","similar",2
"75","41","2",1,1,"Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Clock","1","Left","ClockBicycle","similar",2
"76","42","2",6,0,"Male"," Not Hispanic","Caucasian","c","d","d",2.53,30.31,2,0,"Shoe","1","Right","ShoeSock","similar",1
"77","43","2",0,1,"Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"78","44","2",1,1,"Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"79","45","2",0,1,"Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Bicycle","1","Right","ClockBicycle","similar",2
"80","46","2",1,1,"Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Sock","1","Right","ShoeSock","similar",2
"81","48","2",0,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Grapes","1","Right","BalloonsGrapes","similar",2
"82","49","2",3,1,"Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Clock","1","Left","ClockBicycle","similar",2
"83","50","2",1,0,"Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Shoe","1","Right","ShoeSock","similar",1
"84","51","2",1,1,"Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"85","52","2",0,1,"Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"86","53","2",0,0,"Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Bicycle","1","Left","ClockBicycle","similar",1
"87","54","2",0,1,"Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Sock","1","Right","ShoeSock","similar",2
"88","55","2",2,1,"Female","Not Hispanic","Caucasian","f","h","h",2.28,27.35,7,0,"Leaf","1","Right","JacketLeaf","similar",2
"89","56","2",2,1,"Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Grapes","1","Right","BalloonsGrapes","similar",2
"90","57","2",0,1,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Clock","1","Left","ClockBicycle","similar",2
"91","58","2",1,1,"Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Shoe","1","Left","ShoeSock","similar",2
"92","59","2",0,1,"Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"93","62","2",3,1,"Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Sock","1","Right","ShoeSock","similar",2
"94","64","2",0,0,"","Not Hispanic","Caucasian","c","c","d",2.41,28.96,8,0,"Grapes","1","Left","BalloonsGrapes","similar",1
"95","65","2",3,1,"Male","","Caucasian","f","e","e",2.48,29.72,1,0,"Clock","1","Left","ClockBicycle","similar",2
"96","66","2",2,1,"Female","Not Hispanic","Asian/Caucasian","f","g","f",2.41,28.96,2,0,"Shoe","1","Left","ShoeSock","similar",2
"97","68","2",0,1,"Male","Not Hispanic","Caucasian","e","c","d",2.32,27.88,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
"98","69","2",1,1,"Male","Not Hispanic","Caucasian","f","g","g",2.36,28.37,5,0,"Bicycle","1","Right","ClockBicycle","similar",2
"99","70","2",0,0,"Male","Hispanic","","b","b","b",2.55,30.61,6,0,"Sock","1","Left","ShoeSock","similar",1
"100","71","2",5,1,"Female","Not Hispanic","Caucasian","e","d","b",2.56,30.71,7,0,"Leaf","1","Right","JacketLeaf","similar",2
"101","73","2",3,1,"Male","Not Hispanic","Caucasian","e","e","e",2.27,27.19,1,0,"Clock","1","Left","ClockBicycle","similar",2
"102","74","2",9,0,"Male","Not Hispanic","Caucasian","f","d","h",2.52,30.21,2,0,"Shoe","1","Right","ShoeSock","similar",1
"103","75","2",3,1,"Female","Not Hispanic","Caucasian","f","e","b",2.56,30.71,3,0,"Jacket","1","Left","JacketLeaf","similar",2
"104","76","2",2,1,"Female","Not Hispanic","Caucasian","d","d","d",2.22,26.7,4,0,"Balloons","1","Left","BalloonsGrapes","similar",2
