Subject,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20
101,2,2,2,2,1,4,0,1,1,2,2,1,1,2,0,0,1,2,1,3
103,1,5,2,2,2,1,4,4,1,0,0,2,2,0,2,3,0,0,2,1
106,0,0,2,2,0,2,1,1,0,1,1,1,1,2,1,4,3,1,0,1
107,1,0,0,2,0,1,0,5,6,0,1,1,0,1,0,1,1,0,1,1
108,2,2,1,2,1,1,1,1,0,2,1,2,1,2,0,3,4,1,1,2
109,2,0,0,2,1,2,2,1,0,1,0,0,0,0,0,0,1,1,1,2
110,3,1,1,2,0,1,0,0,1,1,0,2,0,1,1,1,1,0,1,0
111,2,2,0,2,2,1,0,1,2,0,2,1,2,3,1,1,3,2,0,2
112,1,1,2,2,1,1,1,0,0,1,0,1,2,1,1,1,1,2,1,2
114,1,1,0,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
115,6,1,1,2,1,2,2,2,2,2,1,1,3,0,0,2,3,2,0,0
116,2,1,1,2,1,3,3,1,0,1,1,0,0,0,4,1,1,1,0,1
117,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,1,2,1,2,1,0,0,1,5,1,0,0,0,1,0,0,1,0,0,0
122,0,0,0,2,0,1,0,1,0,0,3,2,0,0,2,2,2,0,2,2
123,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,2,2,2,2,2,3,1,1,1,1,1,1,2,2,1,0,0,2,2
12,4,2,2,2,0,2,3,0,2,4,1,0,0,1,5,1,0,1,2,2
130,4,3,1,2,2,2,3,1,0,1,0,0,0,0,0,0,2,1,1,1
131,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,11,3,2,2,3,0,2,0,0,2,1,0,0,0,0,0,2,0,0,3
134,3,1,0,2,1,4,2,2,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,1,5,2,0,1,1,1,0,1,0,0,1,1,2,1,0,7,4,1
14,6,2,2,2,1,2,1,2,7,4,2,7,2,2,3,3,7,4,3,1
15,8,1,0,2,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,2
16,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,5,3,1,2,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
18,0,0,1,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,2
20,5,4,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
21,3,4,3,2,5,2,4,4,0,2,0,0,0,0,0,0,7,1,2,3
23,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,1,0,1,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
27,4,2,0,2,1,0,1,5,0,1,1,1,3,0,0,1,0,1,1,3
28,0,0,1,2,1,1,1,1,1,1,0,2,1,1,2,3,1,2,0,1
2,2,2,1,2,0,0,4,0,0,0,1,2,3,0,0,0,0,0,1,0
30,2,1,0,2,1,2,2,2,1,0,2,2,1,0,1,1,1,2,2,2
31,3,1,2,2,0,0,0,0,1,0,1,0,1,2,0,1,0,2,0,4
33,2,4,4,2,1,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0
34,2,2,2,2,2,1,1,1,1,1,0,1,1,0,0,2,2,2,3,1
35,2,1,0,2,0,0,2,2,0,0,1,1,0,1,1,0,1,1,1,0
36,4,0,2,2,2,2,1,0,2,1,0,1,2,2,0,1,3,1,0,2
37,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
38,4,1,0,2,4,1,2,1,3,1,1,1,0,2,2,1,1,1,0,1
39,4,1,2,2,0,1,4,5,1,1,2,0,0,0,0,0,2,4,2,1
41,2,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,4,0,1,0
42,7,6,1,2,2,1,3,2,1,1,1,3,2,0,2,1,1,1,3,0
43,11,0,3,2,1,1,0,5,9,0,0,1,2,0,6,1,0,3,5,1
44,1,1,2,2,1,3,1,4,1,2,2,2,0,1,3,1,4,1,3,1
45,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0
46,2,1,0,2,0,0,0,2,1,1,0,0,1,0,1,1,0,0,2,NA
48,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,1,3,6,2,2,2,1,1,0,1,0,0,0,0,0,0,1,2,2,1
50,0,1,1,2,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
51,1,1,1,2,1,1,1,1,1,1,1,2,0,1,1,0,0,1,1,1
52,1,0,1,2,1,1,0,0,2,2,0,2,0,0,2,3,5,3,2,0
53,4,0,0,2,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
54,0,0,0,2,1,1,1,2,0,0,0,1,1,0,0,1,1,2,0,1
55,4,2,2,2,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0
56,3,2,3,2,0,1,0,1,1,1,3,2,1,2,2,2,1,2,3,5
57,1,0,0,2,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0
58,2,1,1,2,0,8,5,2,1,3,0,1,0,4,2,2,2,2,2,2
59,5,0,1,2,0,1,3,4,1,0,2,1,0,2,1,0,2,0,4,1
62,7,3,1,2,1,1,3,1,4,2,1,1,6,1,2,1,1,2,1,0
63,3,1,0,2,0,2,2,1,1,1,0,2,2,2,2,3,1,0,1,2
64,2,0,2,2,1,1,2,0,1,0,0,1,3,2,2,1,0,2,0,1
65,0,3,1,2,2,8,2,0,0,1,0,0,0,0,0,0,1,1,3,0
66,1,2,1,2,1,4,1,0,0,0,0,0,2,0,0,0,0,0,1,1
67,6,3,2,2,6,3,0,1,0,1,0,0,0,0,1,2,0,0,0,0
68,4,0,2,2,1,2,1,1,1,2,3,2,2,1,2,5,2,4,2,2
69,1,1,1,2,1,4,2,1,2,2,2,2,1,1,1,2,1,1,1,3
70,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
71,5,5,1,2,3,2,1,1,3,1,2,1,1,1,0,2,0,1,0,3
73,5,3,4,2,2,4,3,3,0,2,0,0,0,0,0,0,0,0,7,1
74,3,9,5,2,3,1,6,2,0,1,1,3,3,0,4,2,1,1,6,1
75,5,3,2,2,0,0,2,0,4,1,0,1,1,0,1,2,2,1,1,2
76,2,2,2,2,0,3,2,0,2,0,0,0,1,2,0,0,0,1,1,0
78,1,1,0,2,1,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0
79,3,2,1,2,0,1,2,1,2,1,1,0,1,3,0,0,1,1,1,1
80,2,2,1,2,0,2,0,0,1,1,0,1,1,0,0,1,1,0,0,1
81,2,4,2,2,1,0,8,1,0,2,0,0,0,0,0,0,1,1,2,0
