condition,trial,acc,response,item
1,1,1,Left,ElephantBear
1,2,1,Left,ClockBicycle
1,3,1,Right,CakeDoll
1,4,1,Left,EggHat
1,5,1,Right,BottleLeaf
1,6,1,Left,BunnyDog
1,7,1,Right,AppleStrawberry
1,8,1,Right,Ice creamBroccoli
1,9,1,Left,Teddy Bearcrayon
1,10,1,Right,JacketPillow
1,11,1,Right,PigButterfly
1,12,1,Left,SpoonFork
1,13,1,Left,MouseRefrigerator 
1,14,1,Right,TVBread
1,15,1,Left,OrangeBall
1,16,1,Left,ShoeSock
1,17,1,Right,BalloonsDuck 
1,18,1,Right,FlowersCat
1,19,1,Right,CookiePizza
1,20,1,Left,ChairGrapes
1,1,0,Right,ElephantBear
1,2,0,Right,ClockBicycle
1,3,0,Left,CakeDoll
1,4,0,Right,EggHat
1,5,0,Left,BottleLeaf
1,6,0,Right,BunnyDog
1,7,0,Left,AppleStrawberry
1,8,0,Left,Ice creamBroccoli
1,9,0,Right,Teddy Bearcrayon
1,10,0,Left,JacketPillow
1,11,0,Left,PigButterfly
1,12,0,Right,SpoonFork
1,13,0,Right,MouseRefrigerator 
1,14,0,Left,TVBread
1,15,0,Right,OrangeBall
1,16,0,Right,ShoeSock
1,17,0,Left,BalloonsDuck 
1,18,0,Left,FlowersCat
1,19,0,Left,CookiePizza
1,20,0,Right,ChairGrapes
2,1,1,Left,CookiePizza
2,2,1,Left,ShoeSock
2,3,1,Right,BalloonsDuck 
2,4,1,Left,FlowersCat
2,5,1,Right,PigButterfly
2,6,1,Left,TVBread
2,7,1,Right,OrangeBall
2,8,1,Right,SpoonFork
2,9,1,Left,MouseRefrigerator 
2,10,1,Right,ChairGrapes
2,11,1,Right,ClockDog
2,12,1,Left,Teddy BearDoll
2,13,1,Left,BunnyStrawberry
2,14,1,Right,Bottlecrayon
2,15,1,Left,EggPillow
2,16,1,Left,JacketLeaf
2,17,1,Right,AppleBear
2,18,1,Right,ElephantBroccoli
2,19,1,Right,CakeHat
2,20,1,Left,Ice creamBicycle
2,1,0,Right,CookiePizza
2,2,0,Right,ShoeSock
2,3,0,Left,BalloonsDuck 
2,4,0,Right,FlowersCat
2,5,0,Left,PigButterfly
2,6,0,Right,TVBread
2,7,0,Left,OrangeBall
2,8,0,Left,SpoonFork
2,9,0,Right,MouseRefrigerator 
2,10,0,Left,ChairGrapes
2,11,0,Left,ClockDog
2,12,0,Right,Teddy BearDoll
2,13,0,Right,BunnyStrawberry
2,14,0,Left,Bottlecrayon
2,15,0,Right,EggPillow
2,16,0,Right,JacketLeaf
2,17,0,Left,AppleBear
2,18,0,Left,ElephantBroccoli
2,19,0,Left,CakeHat
2,20,0,Right,Ice creamBicycle
3,1,1,Left,CakeHat
3,2,1,Left,JacketLeaf
3,3,1,Right,AppleBear
3,4,1,Left,ElephantBroccoli
3,5,1,Right,ClockDog
3,6,1,Left,Bottlecrayon
3,7,1,Right,EggPillow
3,8,1,Right,Teddy BearDoll
3,9,1,Left,BunnyStrawberry
3,10,1,Right,Ice creamBicycle
3,11,1,Right,OrangeBread
3,12,1,Left,PigDuck 
3,13,1,Left,TVFork
3,14,1,Right,FlowersButterfly
3,15,1,Left,MouseCat
3,16,1,Left,BalloonsGrapes
3,17,1,Right,SpoonBall
3,18,1,Right,CookieSock
3,19,1,Right,ChairRefrigerator 
3,20,1,Left,ShoePizza
3,1,0,Right,CakeHat
3,2,0,Right,JacketLeaf
3,3,0,Left,AppleBear
3,4,0,Right,ElephantBroccoli
3,5,0,Left,ClockDog
3,6,0,Right,Bottlecrayon
3,7,0,Left,EggPillow
3,8,0,Left,Teddy BearDoll
3,9,0,Right,BunnyStrawberry
3,10,0,Left,Ice creamBicycle
3,11,0,Left,OrangeBread
3,12,0,Right,PigDuck 
3,13,0,Right,TVFork
3,14,0,Left,FlowersButterfly
3,15,0,Right,MouseCat
3,16,0,Right,BalloonsGrapes
3,17,0,Left,SpoonBall
3,18,0,Left,CookieSock
3,19,0,Left,ChairRefrigerator 
3,20,0,Right,ShoePizza
4,1,1,Left,ChairRefrigerator
4,2,1,Left,BalloonsGrapes
4,3,1,Right,SpoonBall
4,4,1,Left,CookieSock
4,5,1,Right,OrangeBread
4,6,1,Left,FlowersButterfly
4,7,1,Right,MouseCat
4,8,1,Right,PigDuck
4,9,1,Left,TVFork
4,10,1,Right,ShoePizza
4,11,1,Right,BottleLeaf
4,12,1,Left,Ice creamBroccoli
4,13,1,Left,Teddy Bearcrayon
4,14,1,Right,BunnyDog
