Timestamp	Event	Descriptor	
317	MovieStart	MutedBallie.avi	
6477	KeyPress	Space	
6477	MovieEnd	MutedBallie.avi	
7764	ImageStart	fixation.png	
9677	KeyPress	Space	
9677	ImageEnd	fixation.png	
9699	ImageStart	cake_hat_a.BMP	
15300	KeyPress	Right	
15300	ImageEnd	cake_hat_a.BMP	
15304	ImageStart	fixation.png	
17420	KeyPress	Space	
17420	ImageEnd	fixation.png	
17441	ImageStart	jacket_leaf_a.BMP	
24740	KeyPress	Left	
24741	ImageEnd	jacket_leaf_a.BMP	
24744	ImageStart	fixation.png	
26612	KeyPress	Space	
26612	ImageEnd	fixation.png	
26633	ImageStart	apple_bear_a.BMP	
31436	KeyPress	Right	
31436	ImageEnd	apple_bear_a.BMP	
31440	ImageStart	fixation.png	
33220	KeyPress	Space	
33220	ImageEnd	fixation.png	
33241	ImageStart	elephant_broccoli_a.BMP	
36204	KeyPress	Left	
36204	ImageEnd	elephant_broccoli_a.BMP	
36208	ImageStart	fixation.png	
38548	KeyPress	Space	
38548	ImageEnd	fixation.png	
38569	ImageStart	clock_dog_a.BMP	
41012	KeyPress	Right	
41012	ImageEnd	clock_dog_a.BMP	
41016	ImageStart	fixation.png	
42996	KeyPress	Space	
42996	ImageEnd	fixation.png	
43016	ImageStart	bottle_crayon_a.BMP	
45860	KeyPress	Right	
45860	ImageEnd	bottle_crayon_a.BMP	
45864	ImageStart	fixation.png	
48252	KeyPress	Space	
48252	ImageEnd	fixation.png	
48273	ImageStart	egg_pillow_a.BMP	
51228	KeyPress	Right	
51228	ImageEnd	egg_pillow_a.BMP	
51231	ImageStart	fixation.png	
53284	KeyPress	Space	
53284	ImageEnd	fixation.png	
53304	ImageStart	teddybear_doll_a.BMP	
57075	KeyPress	Left	
57076	ImageEnd	teddybear_doll_a.BMP	
57080	ImageStart	fixation.png	
59419	KeyPress	Space	
59419	ImageEnd	fixation.png	
59441	ImageStart	bunny_strawberry_a.BMP	
66931	KeyPress	Right	
66931	ImageEnd	bunny_strawberry_a.BMP	
66936	ImageStart	fixation.png	
70499	KeyPress	Space	
70499	ImageEnd	fixation.png	
70520	ImageStart	icecream_bicycle_a.BMP	
74243	KeyPress	Right	
74243	ImageEnd	icecream_bicycle_a.BMP	
74247	ImageStart	fixation.png	
76211	KeyPress	Space	
76211	ImageEnd	fixation.png	
76232	ImageStart	orange_bread_a.BMP	
79395	KeyPress	Right	
79395	ImageEnd	orange_bread_a.BMP	
79399	ImageStart	fixation.png	
82419	KeyPress	Space	
82419	ImageEnd	fixation.png	
82440	ImageStart	pig_duck_a.BMP	
85779	KeyPress	Left	
85779	ImageEnd	pig_duck_a.BMP	
85783	ImageStart	fixation.png	
87571	KeyPress	Space	
87571	ImageEnd	fixation.png	
87592	ImageStart	tv_fork_a.BMP	
90539	KeyPress	Left	
90539	ImageEnd	tv_fork_a.BMP	
90543	ImageStart	fixation.png	
92555	KeyPress	Space	
92555	ImageEnd	fixation.png	
92577	ImageStart	flowers_butterfly_a.BMP	
95355	KeyPress	Right	
95355	ImageEnd	flowers_butterfly_a.BMP	
95359	ImageStart	fixation.png	
97091	KeyPress	Space	
97091	ImageEnd	fixation.png	
97112	ImageStart	mouse_cat_a.BMP	
101379	KeyPress	Right	
101379	ImageEnd	mouse_cat_a.BMP	
101383	ImageStart	fixation.png	
103498	KeyPress	Space	
103499	ImageEnd	fixation.png	
103520	ImageStart	balloons_grapes_a.BMP	
107042	KeyPress	Left	
107043	ImageEnd	balloons_grapes_a.BMP	
107046	ImageStart	fixation.png	
108890	KeyPress	Space	
108890	ImageEnd	fixation.png	
108911	ImageStart	spoon_ball_a.BMP	
112714	KeyPress	Right	
112714	ImageEnd	spoon_ball_a.BMP	
112718	ImageStart	fixation.png	
114698	KeyPress	Space	
114698	ImageEnd	fixation.png	
114720	ImageStart	cookie_sock_a.BMP	
118346	KeyPress	Right	
118346	ImageEnd	cookie_sock_a.BMP	
118351	ImageStart	fixation.png	
120362	KeyPress	Space	
120362	ImageEnd	fixation.png	
120383	ImageStart	chair_refrigerator_a.BMP	
123730	KeyPress	Right	
123731	ImageEnd	chair_refrigerator_a.BMP	
123735	ImageStart	fixation.png	
125978	KeyPress	Space	
125978	ImageEnd	fixation.png	
125999	ImageStart	shoe_pizza_a.BMP	
129066	KeyPress	Left	
129066	ImageEnd	shoe_pizza_a.BMP	
129070	ImageStart	fixation.png	
129658	KeyPress	Space	
129658	ImageEnd	fixation.png	
130369	MovieStart	congratulations.wmv	
133810	KeyPress	Escape	
133810	MovieEnd	congratulations.wmv	
