ID,trial,response,correct_response,acc
122,1,Right,Left,0
15,1,Right,Right,1
16,1,Left,Right,0
17,1,Left,Left,1
18,1,Left,Left,1
20,1,Space,Left,
21,1,Left,Right,0
23,1,Right,Right,1
24,1,Right,Right,1
27,1,Left,Left,1
28,1,Left,Left,1
30,1,Right,Right,1
31,1,Right,Right,1
33,1,Space,Left,
34,1,Left,Left,1
35,1,Right,Left,0
36,1,Left,Left,1
37,1,Right,Right,1
38,1,Right,Right,1
39,1,Right,Right,1
41,1,Left,Left,1
42,1,Right,Left,0
43,1,Space,Left,
44,1,Left,Left,1
45,1,Left,Right,0
46,1,Left,Right,0
48,1,Right,Right,1
49,1,Left,Left,1
50,1,Space,Left,
51,1,Right,Left,0
52,1,Left,Left,1
53,1,Left,Right,0
54,1,Left,Right,0
55,1,Left,Right,0
56,1,Right,Right,1
57,1,Left,Left,1
58,1,Right,Left,0
59,1,Left,Left,1
62,1,Left,Right,0
63,1,Right,Right,1
64,1,Left,Right,0
65,1,Left,Left,1
66,1,Right,Left,0
67,1,Space,Left,
68,1,Left,Left,1
69,1,Right,Right,1
70,1,Right,Right,1
71,1,Right,Right,1
72,1,Left,Right,0
73,1,Left,Left,1
74,1,Right,Left,0
75,1,Right,Left,0
76,1,Left,Left,1
78,1,Right,Right,1
79,1,Right,Right,1
80,1,Left,Right,0
81,1,Right,Left,0
83,1,Right,Left,0
86,1,Right,Right,1
87,1,Right,Right,1
88,1,Left,Right,0
89,1,Right,Left,0
90,1,Left,Left,1
91,1,Left,Left,1
92,1,Left,Left,1
93,1,Space,Right,
94,1,Left,Right,0
95,1,Right,Right,1
97,1,Right,Right,1
98,1,Left,Left,1
101,1,Left,Left,1
103,1,Right,Right,1
106,1,Right,Left,0
107,1,Left,Left,1
108,1,Left,Left,1
109,1,Left,Right,0
110,1,Right,Right,1
111,1,Left,Right,0
112,1,Right,Right,1
114,1,Right,Left,0
115,1,Left,Left,1
116,1,Left,Left,1
117,1,Right,Right,1
118,1,Right,Right,1
123,1,Left,Left,1
124,1,Space,Left,
130,1,Right,Left,0
131,1,Left,Left,1
122,2,Left,Left,1
15,2,Right,Right,1
16,2,Right,Right,1
17,2,Left,Left,1
18,2,Left,Left,1
20,2,Left,Left,1
21,2,Left,Right,0
23,2,Right,Right,1
24,2,Right,Right,1
27,2,Left,Left,1
28,2,Left,Left,1
30,2,Left,Right,0
31,2,Right,Right,1
33,2,Space,Left,
34,2,Right,Left,0
35,2,Left,Left,1
36,2,Left,Left,1
37,2,Right,Right,1
38,2,Right,Right,1
39,2,Right,Right,1
41,2,Left,Left,1
42,2,Right,Left,0
43,2,Left,Left,1
44,2,Left,Left,1
45,2,Right,Right,1
46,2,Right,Right,1
48,2,Right,Right,1
49,2,Left,Left,1
50,2,Right,Left,0
51,2,Left,Left,1
52,2,Left,Left,1
53,2,Left,Right,0
54,2,Right,Right,1
55,2,Right,Right,1
56,2,Right,Right,1
57,2,Left,Left,1
58,2,Left,Left,1
59,2,Left,Left,1
62,2,Right,Right,1
63,2,Right,Right,1
64,2,Left,Right,0
65,2,Left,Left,1
66,2,Left,Left,1
67,2,Space,Left,
68,2,Left,Left,1
69,2,Right,Right,1
70,2,Left,Right,0
71,2,Right,Right,1
72,2,Left,Right,0
73,2,Left,Left,1
74,2,Right,Left,0
75,2,Left,Left,1
76,2,Left,Left,1
78,2,Right,Right,1
79,2,Space,Right,
80,2,Left,Right,0
81,2,Left,Left,1
83,2,Left,Left,1
86,2,Left,Right,0
87,2,Right,Right,1
88,2,Right,Right,1
89,2,Left,Left,1
90,2,Left,Left,1
91,2,Left,Left,1
92,2,Left,Left,1
93,2,Space,Right,
94,2,Right,Right,1
95,2,Right,Right,1
97,2,Right,Right,1
98,2,Right,Left,0
101,2,Left,Left,1
103,2,Right,Right,1
106,2,Right,Left,0
107,2,Left,Left,1
108,2,Left,Left,1
109,2,Left,Right,0
110,2,Right,Right,1
111,2,Right,Right,1
112,2,Left,Right,0
114,2,Right,Left,0
115,2,Right,Left,0
116,2,Left,Left,1
117,2,Right,Right,1
118,2,Right,Right,1
123,2,Left,Left,1
124,2,Space,Left,
130,2,Right,Left,0
131,2,Left,Left,1
122,3,Right,Right,1
15,3,Left,Left,1
16,3,Left,Left,1
17,3,Right,Right,1
18,3,Left,Right,0
20,3,Right,Right,1
21,3,Right,Left,0
23,3,Left,Left,1
24,3,Left,Left,1
27,3,Right,Right,1
28,3,Right,Right,1
30,3,Left,Left,1
31,3,Left,Left,1
33,3,Space,Right,
34,3,Right,Right,1
35,3,Right,Right,1
36,3,Right,Right,1
37,3,Right,Left,0
38,3,Left,Left,1
39,3,Left,Left,1
41,3,Right,Right,1
42,3,Right,Right,1
43,3,Right,Right,1
44,3,Right,Right,1
45,3,Left,Left,1
46,3,Left,Left,1
48,3,Left,Left,1
49,3,Right,Right,1
50,3,Right,Right,1
51,3,Right,Right,1
52,3,Right,Right,1
53,3,Left,Left,1
54,3,Left,Left,1
55,3,Left,Left,1
56,3,Left,Left,1
57,3,Right,Right,1
58,3,Right,Right,1
59,3,Left,Right,0
62,3,Left,Left,1
63,3,Left,Left,1
64,3,Left,Left,1
65,3,Right,Right,1
66,3,Right,Right,1
67,3,Space,Right,
68,3,Right,Right,1
69,3,Left,Left,1
70,3,Left,Left,1
71,3,Left,Left,1
72,3,Left,Left,1
73,3,Right,Right,1
74,3,Right,Right,1
75,3,Right,Right,1
76,3,Right,Right,1
78,3,Left,Left,1
79,3,Left,Left,1
80,3,Left,Left,1
81,3,Right,Right,1
83,3,Right,Right,1
86,3,Left,Left,1
87,3,Left,Left,1
88,3,Right,Left,0
89,3,Right,Right,1
90,3,Right,Right,1
91,3,Left,Right,0
92,3,Right,Right,1
93,3,Left,Left,1
94,3,Left,Left,1
95,3,Left,Left,1
97,3,Left,Left,1
98,3,Right,Right,1
101,3,Right,Right,1
103,3,Left,Left,1
106,3,Right,Right,1
107,3,Right,Right,1
108,3,Right,Right,1
109,3,Right,Left,0
110,3,Left,Left,1
111,3,Left,Left,1
112,3,Left,Left,1
114,3,Right,Right,1
115,3,Right,Right,1
116,3,Right,Right,1
117,3,Left,Left,1
118,3,Left,Left,1
123,3,Right,Right,1
124,3,Space,Right,
130,3,Right,Right,1
131,3,Left,Right,0
122,4,Left,Left,1
15,4,Left,Right,0
16,4,Right,Right,1
17,4,Left,Left,1
18,4,Left,Left,1
20,4,Left,Left,1
21,4,Right,Right,1
23,4,Right,Right,1
24,4,Right,Right,1
27,4,Left,Left,1
28,4,Left,Left,1
30,4,Right,Right,1
31,4,Right,Right,1
33,4,Space,Left,
34,4,Left,Left,1
35,4,Left,Left,1
36,4,Right,Left,0
37,4,Right,Right,1
38,4,Right,Right,1
39,4,Right,Right,1
41,4,Left,Left,1
42,4,Left,Left,1
43,4,Left,Left,1
44,4,Left,Left,1
45,4,Left,Right,0
46,4,Left,Right,0
48,4,Right,Right,1
49,4,Left,Left,1
50,4,Right,Left,0
51,4,Left,Left,1
52,4,Left,Left,1
53,4,Left,Right,0
54,4,Right,Right,1
