"","SID","trial","first_fix","transitions"
"1","101",1,"correct",2
"2","101",2,"incorrect",2
"3","101",3,"correct",2
"4","101",4,NA,0
"5","101",5,"incorrect",1
"6","101",6,"incorrect",4
"7","101",7,"correct",0
"8","101",8,"correct",1
"9","101",9,"correct",1
"10","101",10,"correct",2
"11","101",11,"incorrect",2
"12","101",12,"incorrect",1
"13","101",13,"correct",1
"14","101",14,"incorrect",2
"15","101",15,"incorrect",0
"16","101",16,NA,0
"17","101",17,"incorrect",1
"18","101",18,"incorrect",2
"19","101",19,"correct",1
"20","101",20,"incorrect",3
"21","102",1,"correct",2
"22","102",2,"correct",2
"23","102",3,"correct",6
"24","102",4,"incorrect",4
"25","102",5,"correct",0
"26","102",6,"incorrect",1
"27","102",7,"correct",1
"28","102",8,"correct",2
"29","102",9,"incorrect",2
"30","102",10,"correct",0
"31","102",11,"correct",1
"32","102",12,"incorrect",1
"33","102",13,"incorrect",6
"34","102",14,"correct",0
"35","102",15,"incorrect",4
"36","102",16,"incorrect",4
"37","102",17,"correct",0
"38","102",18,"correct",3
"39","102",19,"correct",3
"40","102",20,"incorrect",3
"41","103",1,"incorrect",1
"42","103",2,"incorrect",5
"43","103",3,"correct",2
"44","103",4,"incorrect",1
"45","103",5,"correct",2
"46","103",6,"incorrect",1
"47","103",7,"correct",4
"48","103",8,"incorrect",4
"49","103",9,"correct",1
"50","103",10,NA,0
"51","103",11,"correct",0
"52","103",12,"incorrect",2
"53","103",13,"correct",2
"54","103",14,"correct",0
"55","103",15,"incorrect",2
"56","103",16,"incorrect",3
"57","103",17,"correct",0
"58","103",18,"correct",0
"59","103",19,"correct",2
"60","103",20,"incorrect",1
"61","106",1,"incorrect",0
"62","106",2,"correct",0
"63","106",3,"incorrect",2
"64","106",4,"correct",2
"65","106",5,"incorrect",0
"66","106",6,"correct",2
"67","106",7,"correct",1
"68","106",8,"incorrect",1
"69","106",9,"correct",0
"70","106",10,"incorrect",1
"71","106",11,"incorrect",1
"72","106",12,"incorrect",1
"73","106",13,"incorrect",1
"74","106",14,"incorrect",2
"75","106",15,"incorrect",1
"76","106",16,"correct",4
"77","106",17,"correct",3
"78","106",18,"correct",1
"79","106",19,"incorrect",0
"80","106",20,"incorrect",1
"81","107",1,"incorrect",1
"82","107",2,"correct",0
"83","107",3,"correct",0
"84","107",4,"incorrect",1
"85","107",5,NA,0
"86","107",6,"incorrect",1
"87","107",7,"correct",0
"88","107",8,"incorrect",5
"89","107",9,"incorrect",6
"90","107",10,"correct",0
"91","107",11,"incorrect",1
"92","107",12,"correct",1
"93","107",13,"correct",0
"94","107",14,"incorrect",1
"95","107",15,"incorrect",0
"96","107",16,"incorrect",1
"97","107",17,"correct",1
"98","107",18,NA,0
"99","107",19,"incorrect",1
"100","107",20,"incorrect",1
"101","108",1,"correct",2
"102","108",2,"correct",2
"103","108",3,"incorrect",1
"104","108",4,"correct",0
"105","108",5,"incorrect",1
"106","108",6,"correct",1
"107","108",7,"correct",1
"108","108",8,"incorrect",1
"109","108",9,"correct",0
"110","108",10,"incorrect",2
"111","108",11,"incorrect",1
"112","108",12,"correct",2
"113","108",13,"correct",1
"114","108",14,"incorrect",2
"115","108",15,"correct",0
"116","108",16,"incorrect",3
"117","108",17,"incorrect",4
"118","108",18,"incorrect",1
"119","108",19,"correct",1
"120","108",20,"correct",2
"121","109",1,"correct",2
"122","109",2,"correct",0
"123","109",3,"correct",0
"124","109",4,"correct",1
"125","109",5,"incorrect",1
"126","109",6,"correct",2
"127","109",7,"correct",2
"128","109",8,"incorrect",1
"129","109",9,NA,0
"130","109",10,"incorrect",1
"131","109",11,NA,0
"132","109",12,NA,0
"133","109",13,NA,0
"134","109",14,NA,0
"135","109",15,NA,0
"136","109",16,NA,0
"137","109",17,"incorrect",1
"138","109",18,"incorrect",1
"139","109",19,"incorrect",1
"140","109",20,"correct",2
"141","110",1,"incorrect",3
"142","110",2,"incorrect",1
"143","110",3,"correct",1
"144","110",4,"correct",0
"145","110",5,NA,0
"146","110",6,"incorrect",1
"147","110",7,"correct",0
"148","110",8,NA,0
"149","110",9,"incorrect",1
"150","110",10,"correct",1
"151","110",11,"incorrect",0
"152","110",12,"incorrect",2
"153","110",13,"correct",0
"154","110",14,"correct",1
"155","110",15,"incorrect",1
"156","110",16,"incorrect",1
"157","110",17,"incorrect",1
"158","110",18,NA,0
"159","110",19,"correct",1
"160","110",20,"correct",0
"161","111",1,"incorrect",2
"162","111",2,"correct",2
"163","111",3,"correct",0
"164","111",4,"incorrect",2
"165","111",5,"correct",2
"166","111",6,"incorrect",1
"167","111",7,"correct",0
"168","111",8,"incorrect",1
"169","111",9,"correct",2
"170","111",10,"correct",0
"171","111",11,"correct",2
"172","111",12,"incorrect",1
"173","111",13,"correct",2
"174","111",14,"incorrect",3
"175","111",15,"correct",1
"176","111",16,"incorrect",1
"177","111",17,"incorrect",3
"178","111",18,"correct",2
"179","111",19,"correct",0
"180","111",20,"incorrect",2
"181","112",1,"incorrect",1
"182","112",2,"incorrect",1
"183","112",3,"correct",2
"184","112",4,"incorrect",1
"185","112",5,"incorrect",1
"186","112",6,"incorrect",1
"187","112",7,"correct",1
"188","112",8,"correct",0
"189","112",9,"correct",0
"190","112",10,"correct",1
"191","112",11,"correct",0
"192","112",12,"correct",1
"193","112",13,"incorrect",2
"194","112",14,"correct",1
"195","112",15,"incorrect",1
"196","112",16,"incorrect",1
"197","112",17,"correct",1
"198","112",18,"incorrect",2
"199","112",19,"incorrect",1
"200","112",20,"incorrect",2
"201","114",1,"correct",1
"202","114",2,"correct",1
"203","114",3,"correct",0
"204","114",4,"incorrect",1
"205","114",5,"correct",2
"206","114",6,"correct",1
"207","114",7,"correct",1
"208","114",8,"incorrect",1
"209","114",9,"incorrect",0
"210","114",10,NA,0
"211","114",11,"incorrect",1
"212","114",12,NA,0
"213","114",13,NA,0
"214","114",14,NA,0
"215","114",15,"correct",1
"216","114",16,"correct",0
"217","114",17,"incorrect",0
"218","114",18,"correct",0
"219","114",19,NA,0
"220","114",20,"incorrect",1
"221","115",1,"correct",6
"222","115",2,"correct",1
"223","115",3,"incorrect",1
"224","115",4,"correct",2
"225","115",5,"correct",1
"226","115",6,"correct",2
"227","115",7,"incorrect",2
"228","115",8,"incorrect",2
"229","115",9,"correct",2
"230","115",10,"incorrect",2
"231","115",11,"incorrect",1
"232","115",12,"correct",1
"233","115",13,"correct",3
"234","115",14,"incorrect",0
"235","115",15,"incorrect",0
"236","115",16,"correct",2
"237","115",17,"incorrect",3
"238","115",18,"incorrect",2
"239","115",19,NA,0
"240","115",20,NA,0
"241","116",1,"correct",2
"242","116",2,"correct",1
"243","116",3,"correct",1
"244","116",4,"correct",0
"245","116",5,"incorrect",1
"246","116",6,"correct",3
"247","116",7,"incorrect",3
"248","116",8,"incorrect",1
"249","116",9,"correct",0
"250","116",10,"incorrect",1
"251","116",11,"incorrect",1
"252","116",12,"incorrect",0
"253","116",13,"correct",0
"254","116",14,"correct",0
"255","116",15,"incorrect",4
"256","116",16,"incorrect",1
"257","116",17,"correct",1
"258","116",18,"incorrect",1
"259","116",19,"correct",0
"260","116",20,"correct",1
"261","117",1,"correct",0
"262","117",2,"correct",1
"263","117",3,NA,0
"264","117",4,NA,0
"265","117",5,NA,0
"266","117",6,NA,0
"267","117",7,NA,0
"268","117",8,NA,0
"269","117",9,NA,0
"270","117",10,"incorrect",0
"271","117",11,"correct",1
"272","117",12,"incorrect",0
"273","117",13,"correct",0
"274","117",14,"incorrect",0
"275","117",15,"correct",0
"276","117",16,"correct",0
"277","117",17,"correct",0
"278","117",18,"correct",0
"279","117",19,NA,0
"280","117",20,NA,0
"281","118",1,"incorrect",1
"282","118",2,"correct",2
"283","118",3,"correct",1
"284","118",4,"correct",0
"285","118",5,"incorrect",1
"286","118",6,"correct",0
"287","118",7,"incorrect",0
"288","118",8,"incorrect",1
"289","118",9,"incorrect",5
"290","118",10,"incorrect",1
"291","118",11,"correct",0
"292","118",12,"incorrect",0
"293","118",13,"correct",0
"294","118",14,"incorrect",1
"295","118",15,NA,0
"296","118",16,NA,0
"297","118",17,"incorrect",1
"298","118",18,NA,0
"299","118",19,"correct",0
"300","118",20,"correct",0
"301","12",1,"correct",4
"302","12",2,"correct",2
"303","12",3,"correct",2
"304","12",4,"incorrect",1
"305","12",5,NA,0
"306","12",6,"correct",2
"307","12",7,"incorrect",3
"308","12",8,"incorrect",0
"309","12",9,"correct",2
"310","12",10,"correct",4
"311","12",11,"incorrect",1
"312","12",12,"incorrect",0
"313","12",13,"correct",0
"314","12",14,"correct",1
"315","12",15,"incorrect",5
"316","12",16,"incorrect",1
"317","12",17,"correct",0
"318","12",18,"incorrect",1
"319","12",19,"correct",2
"320","12",20,"correct",2
"321","122",1,NA,0
"322","122",2,NA,0
"323","122",3,NA,0
"324","122",4,NA,0
"325","122",5,"correct",0
"326","122",6,"incorrect",1
"327","122",7,"correct",0
"328","122",8,"incorrect",1
"329","122",9,"incorrect",0
"330","122",10,NA,0
"331","122",11,"correct",3
"332","122",12,"incorrect",2
"333","122",13,"incorrect",0
"334","122",14,"correct",0
"335","122",15,"incorrect",2
"336","122",16,"incorrect",2
"337","122",17,"correct",2
"338","122",18,NA,0
"339","122",19,"correct",2
"340","122",20,"incorrect",2
"341","123",1,"incorrect",3
"342","123",2,NA,0
"343","123",3,NA,0
"344","123",4,NA,0
"345","123",5,NA,0
"346","123",6,NA,0
"347","123",7,NA,0
"348","123",8,NA,0
"349","123",9,"incorrect",0
"350","123",10,NA,0
"351","123",11,NA,0
"352","123",12,NA,0
"353","123",13,NA,0
"354","123",14,NA,0
"355","123",15,NA,0
"356","123",16,NA,0
"357","123",17,NA,0
"358","123",18,NA,0
"359","123",19,NA,0
"360","123",20,NA,0
"361","124",1,"incorrect",2
"362","124",2,"correct",2
"363","124",3,"correct",2
"364","124",4,"incorrect",2
"365","124",5,"incorrect",2
"366","124",6,"incorrect",2
"367","124",7,"incorrect",3
"368","124",8,"incorrect",1
"369","124",9,"correct",1
"370","124",10,"incorrect",1
"371","124",11,"correct",1
"372","124",12,"incorrect",1
"373","124",13,"correct",1
"374","124",14,"incorrect",2
"375","124",15,"correct",2
"376","124",16,"incorrect",1
"377","124",17,"correct",0
"378","124",18,"correct",0
"379","124",19,"correct",2
"380","124",20,"correct",2
