Timestamp	Event	Descriptor	AoiNames	
0			Content	
373	MovieStart	MutedBallie.avi		
860			Content	
2143			Content	
3575			Content	
4574			Content	
5405	KeyPress	Space		
5405	MovieEnd	MutedBallie.avi		
6206			Content	
6330	ImageStart	fixation.png		
6456			Content	
6639			Content	
6872			Content	
7737			Content	
8038			Content	
8271			Content	
8521			Content	
8701	KeyPress	Space		
8701	ImageEnd	fixation.png		
8722	ImageStart	cake_hat_a.BMP		
8837			Content	
9037			Content	
9320			Content	
9636			incorrect	
9870			incorrect	
10119			correct	
10336			correct	
11002			correct	
11685			Content	
11918			incorrect	
12534			correct	
13217			correct	
13534			correct	
14483			incorrect	
14600			incorrect	
15249			incorrect	
15382			correct	
15982			correct	
16398			correct	
16615			correct	
17131			correct	
17698			correct	
20279			correct	
20429			correct	
20828			correct	
22444			correct	
23160			correct	
24189	KeyPress	Left		
24189	ImageEnd	cake_hat_a.BMP		
24193	ImageStart	fixation.png		
26840			Content	
27140			Content	
27390			Content	
27701	KeyPress	Space		
27701	ImageEnd	fixation.png		
27722	ImageStart	jacket_leaf_a.BMP		
28006			correct	
28272			correct	
28606			correct	
31037			correct	
31187			correct	
31317	KeyPress	Left		
31317	ImageEnd	jacket_leaf_a.BMP		
31321	ImageStart	fixation.png		
32270			Content	
33901	KeyPress	Space		
33902	ImageEnd	fixation.png		
33923	ImageStart	apple_bear_a.BMP		
34385			correct	
36417			correct	
36800			correct	
37066			incorrect	
37437	KeyPress	Left		
37437	ImageEnd	apple_bear_a.BMP		
37441	ImageStart	fixation.png		
39398			Content	
40573	KeyPress	Space		
40573	ImageEnd	fixation.png		
40594	ImageStart	elephant_broccoli_a.BMP		
41047			correct	
41630			correct	
42179			correct	
42613	KeyPress	Left		
42613	ImageEnd	elephant_broccoli_a.BMP		
42617	ImageStart	fixation.png		
42962			Content	
45525	KeyPress	Space		
45525	ImageEnd	fixation.png		
45546	ImageStart	clock_dog_a.BMP		
46126			Content	
46909			correct	
47175			correct	
47708			correct	
48324			correct	
48461	KeyPress	Right		
48461	ImageEnd	clock_dog_a.BMP		
48465	ImageStart	fixation.png		
51106			Content	
51206			Content	
51572			Content	
51613	KeyPress	Space		
51613	ImageEnd	fixation.png		
51634	ImageStart	bottle_crayon_a.BMP		
52005			incorrect	
52155			Content	
52721			Content	
53271			incorrect	
54720			correct	
54970			Content	
55469			correct	
55652			correct	
55952			correct	
56557	KeyPress	Left		
56557	ImageEnd	bottle_crayon_a.BMP		
56562	ImageStart	fixation.png		
59033			Content	
59093	KeyPress	Space		
59093	ImageEnd	fixation.png		
59113	ImageStart	egg_pillow_a.BMP		
59483			Content	
59700			correct	
59966			correct	
61915			incorrect	
62664			incorrect	
62914			incorrect	
63414			incorrect	
64180			correct	
64579			correct	
66162			correct	
66495			correct	
66678			Content	
66811			incorrect	
67061			Content	
67644			incorrect	
67960			incorrect	
68717	KeyPress	Left		
68717	ImageEnd	egg_pillow_a.BMP		
68721	ImageStart	fixation.png		
69243			Content	
70109			Content	
70292			Content	
70509			Content	
71042			Content	
71441			Content	
71517	KeyPress	Space		
71517	ImageEnd	fixation.png		
71540	ImageStart	teddybear_doll_a.BMP		
71574			Content	
71991			correct	
72257			correct	
73290			correct	
73406			correct	
74506			incorrect	
75222			incorrect	
75388			Content	
75721			incorrect	
75921			correct	
76121			correct	
77370			incorrect	
77604			incorrect	
77870			Content	
79019			incorrect	
79569			incorrect	
79952			Content	
80252			correct	
80540	KeyPress	Right		
80541	ImageEnd	teddybear_doll_a.BMP		
80545	ImageStart	fixation.png		
80835			Content	
81817			Content	
82650			Content	
83012	KeyPress	Space		
83012	ImageEnd	fixation.png		
83033	ImageStart	bunny_strawberry_a.BMP		
83416			correct	
83683			correct	
83982			correct	
