Subject_ID,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc20
101,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1
103,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
106,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1
107,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
112,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
114,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
115,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
116,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
117,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1
118,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
34,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1
35,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
36,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
37,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1
38,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
39,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
42,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
43,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1
45,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
46,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
50,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1
53,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
54,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0
55,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
56,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
59,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
62,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
64,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
65,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
66,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
67,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
68,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
69,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
70,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
73,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
74,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
75,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
76,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
80,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
81,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
86,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
87,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1
89,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1
90,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
91,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
93,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
94,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
96,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
98,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
