Timestamp	Event	Descriptor	
300	MovieStart	MutedBallie.avi	
8804	KeyPress	Space	
8804	MovieEnd	MutedBallie.avi	
9647	ImageStart	blacksquare.bmp	
14747	KeyPress	Space	
14747	ImageEnd	blacksquare.bmp	
14768	ImageStart	elephant_bear_a.BMP	
21163	KeyPress	Left	
21163	ImageEnd	elephant_bear_a.BMP	
21168	ImageStart	blacksquare.bmp	
22539	KeyPress	Space	
22539	ImageEnd	blacksquare.bmp	
22560	ImageStart	clock_bicycle_a.BMP	
28963	KeyPress	Left	
28963	ImageEnd	clock_bicycle_a.BMP	
28968	ImageStart	blacksquare.bmp	
30267	KeyPress	Space	
30267	ImageEnd	blacksquare.bmp	
30288	ImageStart	cake_doll_a.BMP	
34883	KeyPress	Right	
34883	ImageEnd	cake_doll_a.BMP	
34888	ImageStart	blacksquare.bmp	
36795	KeyPress	Space	
36795	ImageEnd	blacksquare.bmp	
36816	ImageStart	egg_hat_a.BMP	
40763	KeyPress	Left	
40763	ImageEnd	egg_hat_a.BMP	
40768	ImageStart	blacksquare.bmp	
42483	KeyPress	Space	
42483	ImageEnd	blacksquare.bmp	
42504	ImageStart	bottle_leaf_a.BMP	
46699	KeyPress	Right	
46699	ImageEnd	bottle_leaf_a.BMP	
46703	ImageStart	blacksquare.bmp	
48043	KeyPress	Space	
48043	ImageEnd	blacksquare.bmp	
48065	ImageStart	bunny_dog_a.BMP	
53826	KeyPress	Left	
53827	ImageEnd	bunny_dog_a.BMP	
53831	ImageStart	blacksquare.bmp	
55090	KeyPress	Space	
55090	ImageEnd	blacksquare.bmp	
55112	ImageStart	apple_strawberry_a.BMP	
59466	KeyPress	Right	
59467	ImageEnd	apple_strawberry_a.BMP	
59471	ImageStart	blacksquare.bmp	
61130	KeyPress	Space	
61131	ImageEnd	blacksquare.bmp	
61154	ImageStart	icecream_broccoli_a.BMP	
65250	KeyPress	Right	
65250	ImageEnd	icecream_broccoli_a.BMP	
65255	ImageStart	blacksquare.bmp	
67002	KeyPress	Space	
67002	ImageEnd	blacksquare.bmp	
67023	ImageStart	teddybear_crayon_a.BMP	
73850	KeyPress	Left	
73850	ImageEnd	teddybear_crayon_a.BMP	
73855	ImageStart	blacksquare.bmp	
75514	KeyPress	Space	
75514	ImageEnd	blacksquare.bmp	
75537	ImageStart	jacket_pillow_a.BMP	
78514	KeyPress	Right	
78514	ImageEnd	jacket_pillow_a.BMP	
78519	ImageStart	blacksquare.bmp	
80962	KeyPress	Space	
80962	ImageEnd	blacksquare.bmp	
80984	ImageStart	pig_butterfly_a.BMP	
83634	KeyPress	Right	
83634	ImageEnd	pig_butterfly_a.BMP	
83638	ImageStart	blacksquare.bmp	
85234	KeyPress	Space	
85234	ImageEnd	blacksquare.bmp	
85255	ImageStart	spoon_fork_a.BMP	
89906	KeyPress	Right	
89906	ImageEnd	spoon_fork_a.BMP	
89910	ImageStart	blacksquare.bmp	
92114	KeyPress	Space	
92114	ImageEnd	blacksquare.bmp	
92136	ImageStart	mouse_refrigerator_a.BMP	
96883	KeyPress	Left	
96883	ImageEnd	mouse_refrigerator_a.BMP	
96888	ImageStart	blacksquare.bmp	
98513	KeyPress	Space	
98514	ImageEnd	blacksquare.bmp	
98536	ImageStart	tv_bread_a.BMP	
107577	KeyPress	Left	
107577	ImageEnd	tv_bread_a.BMP	
107582	ImageStart	blacksquare.bmp	
109650	KeyPress	Space	
109650	ImageEnd	blacksquare.bmp	
109671	ImageStart	orange_ball_a.BMP	
117025	KeyPress	Left	
117025	ImageEnd	orange_ball_a.BMP	
117030	ImageStart	blacksquare.bmp	
118169	KeyPress	Space	
118169	ImageEnd	blacksquare.bmp	
118190	ImageStart	shoe_sock_a.BMP	
135289	KeyPress	Right	
135289	ImageEnd	shoe_sock_a.BMP	
135293	ImageStart	blacksquare.bmp	
136801	KeyPress	Space	
136801	ImageEnd	blacksquare.bmp	
136822	ImageStart	balloons_duck_a.BMP	
140257	KeyPress	Right	
140257	ImageEnd	balloons_duck_a.BMP	
140262	ImageStart	blacksquare.bmp	
141576	KeyPress	Space	
141577	ImageEnd	blacksquare.bmp	
141597	ImageStart	flowers_cat_a.BMP	
144690	KeyPress	Right	
144690	ImageEnd	flowers_cat_a.BMP	
144695	ImageStart	blacksquare.bmp	
145345	KeyPress	Space	
145345	ImageEnd	blacksquare.bmp	
145366	ImageStart	cookie_pizza_a.BMP	
148784	KeyPress	Right	
148784	ImageEnd	cookie_pizza_a.BMP	
148789	ImageStart	blacksquare.bmp	
149824	KeyPress	Space	
149825	ImageEnd	blacksquare.bmp	
149846	ImageStart	chair_grapes_a.BMP	
162992	KeyPress	Left	
162992	ImageEnd	chair_grapes_a.BMP	
162997	ImageStart	blacksquare.bmp	
163472	KeyPress	Space	
163472	ImageEnd	blacksquare.bmp	
164378	MovieStart	congratulations.wmv	
178559	MovieEnd	congratulations.wmv	
