condition,trial,acc,response
1,1,1,Left
1,2,1,Left
1,3,1,Right
1,4,1,Left
1,5,1,Right
1,6,1,Left
1,7,1,Right
1,8,1,Right
1,9,1,Left
1,10,1,Right
1,11,1,Right
1,12,1,Left
1,13,1,Left
1,14,1,Right
1,15,1,Left
1,16,1,Left
1,17,1,Right
1,18,1,Right
1,19,1,Right
1,20,1,Left
1,1,0,Right
1,2,0,Right
1,3,0,Left
1,4,0,Right
1,5,0,Left
1,6,0,Right
1,7,0,Left
1,8,0,Left
1,9,0,Right
1,10,0,Left
1,11,0,Left
1,12,0,Right
1,13,0,Right
1,14,0,Left
1,15,0,Right
1,16,0,Right
1,17,0,Left
1,18,0,Left
1,19,0,Left
1,20,0,Right
2,1,1,Left
2,2,1,Left
2,3,1,Right
2,4,1,Left
2,5,1,Right
2,6,1,Left
2,7,1,Right
2,8,1,Right
2,9,1,Left
2,10,1,Right
2,11,1,Right
2,12,1,Left
2,13,1,Left
2,14,1,Right
2,15,1,Left
2,16,1,Left
2,17,1,Right
2,18,1,Right
2,19,1,Right
2,20,1,Left
2,1,0,Right
2,2,0,Right
2,3,0,Left
2,4,0,Right
2,5,0,Left
2,6,0,Right
2,7,0,Left
2,8,0,Left
2,9,0,Right
2,10,0,Left
2,11,0,Left
2,12,0,Right
2,13,0,Right
2,14,0,Left
2,15,0,Right
2,16,0,Right
2,17,0,Left
2,18,0,Left
2,19,0,Left
2,20,0,Right
3,1,1,Left
3,2,1,Left
3,3,1,Right
3,4,1,Left
3,5,1,Right
3,6,1,Left
3,7,1,Right
3,8,1,Right
3,9,1,Left
3,10,1,Right
3,11,1,Right
3,12,1,Left
3,13,1,Left
3,14,1,Right
3,15,1,Left
3,16,1,Left
3,17,1,Right
3,18,1,Right
3,19,1,Right
3,20,1,Left
3,1,0,Right
3,2,0,Right
3,3,0,Left
3,4,0,Right
3,5,0,Left
3,6,0,Right
3,7,0,Left
3,8,0,Left
3,9,0,Right
3,10,0,Left
3,11,0,Left
3,12,0,Right
3,13,0,Right
3,14,0,Left
3,15,0,Right
3,16,0,Right
3,17,0,Left
3,18,0,Left
3,19,0,Left
3,20,0,Right
4,1,1,Left
4,2,1,Left
4,3,1,Right
4,4,1,Left
4,5,1,Right
4,6,1,Left
4,7,1,Right
4,8,1,Right
4,9,1,Left
4,10,1,Right
4,11,1,Right
4,12,1,Left
4,13,1,Left
4,14,1,Right
4,15,1,Left
4,16,1,Left
4,17,1,Right
4,18,1,Right
4,19,1,Right
4,20,1,Left
4,1,0,Right
4,2,0,Right
4,3,0,Left
4,4,0,Right
4,5,0,Left
4,6,0,Right
4,7,0,Left
4,8,0,Left
4,9,0,Right
4,10,0,Left
4,11,0,Left
4,12,0,Right
4,13,0,Right
4,14,0,Left
4,15,0,Right
4,16,0,Right
4,17,0,Left
4,18,0,Left
4,19,0,Left
4,20,0,Right
5,1,1,Right
5,2,1,Right
5,3,1,Left
5,4,1,Right
5,5,1,Left
5,6,1,Right
5,7,1,Left
5,8,1,Left
5,9,1,Right
5,10,1,Left
5,11,1,Left
5,12,1,Right
5,13,1,Right
5,14,1,Left
5,15,1,Right
5,16,1,Right
5,17,1,Left
5,18,1,Left
5,19,1,Left
5,20,1,Right
5,1,0,Left
5,2,0,Left
5,3,0,Right
5,4,0,Left
5,5,0,Right
5,6,0,Left
5,7,0,Right
5,8,0,Right
5,9,0,Left
5,10,0,Right
5,11,0,Right
5,12,0,Left
5,13,0,Left
5,14,0,Right
5,15,0,Left
5,16,0,Left
5,17,0,Right
5,18,0,Right
5,19,0,Right
5,20,0,Left
6,1,1,Right
6,2,1,Right
6,3,1,Left
6,4,1,Right
6,5,1,Left
6,6,1,Right
6,7,1,Left
6,8,1,Left
6,9,1,Right
6,10,1,Left
6,11,1,Left
6,12,1,Right
6,13,1,Right
6,14,1,Left
6,15,1,Right
6,16,1,Right
6,17,1,Left
6,18,1,Left
6,19,1,Left
6,20,1,Right
6,1,0,Left
6,2,0,Left
6,3,0,Right
6,4,0,Left
6,5,0,Right
6,6,0,Left
6,7,0,Right
6,8,0,Right
6,9,0,Left
6,10,0,Right
6,11,0,Right
6,12,0,Left
6,13,0,Left
6,14,0,Right
6,15,0,Left
6,16,0,Left
6,17,0,Right
6,18,0,Right
6,19,0,Right
6,20,0,Left
7,1,1,Right
7,2,1,Right
7,3,1,Left
7,4,1,Right
7,5,1,Left
7,6,1,Right
7,7,1,Left
7,8,1,Left
7,9,1,Right
7,10,1,Left
7,11,1,Left
7,12,1,Right
7,13,1,Right
7,14,1,Left
7,15,1,Right
7,16,1,Right
7,17,1,Left
7,18,1,Left
7,19,1,Left
7,20,1,Right
7,1,0,Left
7,2,0,Left
7,3,0,Right
7,4,0,Left
7,5,0,Right
7,6,0,Left
7,7,0,Right
7,8,0,Right
7,9,0,Left
7,10,0,Right
7,11,0,Right
7,12,0,Left
7,13,0,Left
7,14,0,Right
7,15,0,Left
7,16,0,Left
7,17,0,Right
7,18,0,Right
7,19,0,Right
7,20,0,Left
8,1,1,Right
8,2,1,Right
8,3,1,Left
8,4,1,Right
8,5,1,Left
8,6,1,Right
8,7,1,Left
8,8,1,Left
8,9,1,Right
8,10,1,Left
8,11,1,Left
8,12,1,Right
8,13,1,Right
8,14,1,Left
8,15,1,Right
8,16,1,Right
8,17,1,Left
8,18,1,Left
8,19,1,Left
8,20,1,Right
8,1,0,Left
8,2,0,Left
8,3,0,Right
8,4,0,Left
8,5,0,Right
8,6,0,Left
8,7,0,Right
8,8,0,Right
8,9,0,Left
8,10,0,Right
8,11,0,Right
8,12,0,Left
8,13,0,Left
8,14,0,Right
8,15,0,Left
8,16,0,Left
8,17,0,Right
8,18,0,Right
8,19,0,Right
8,20,0,Left
