condition,target,trial
1,Elephant,1
1,Clock,2
1,Doll,3
1,Egg,4
1,Leaf,5
1,Bunny,6
1,Strawberry,7
1,Broccoli,8
1,Teddy_Bear,9
1,Pillow,10
1,Butterfly,11
1,Spoon,12
1,Mouse,13
1,Bread,14
1,Orange,15
1,Shoe,16
1,Duck ,17
1,Cat,18
1,Pizza,19
1,Chair,20
2,Cookie,1
2,Shoe,2
2,Duck ,3
2,Flowers,4
2,Butterfly,5
2,TV,6
2,Ball,7
2,Fork,8
2,Mouse,9
2,Grapes,10
2,Dog,11
2,Teddy_Bear,12
2,Bunny,13
2,crayon,14
2,Egg,15
2,Jacket,16
2,Bear,17
2,Broccoli,18
2,Hat,19
2,Ice_Cream,20
3,Cake,1
3,Jacket,2
3,Bear,3
3,Elephant,4
3,Dog,5
3,Bottle,6
3,Pillow,7
3,Doll,8
3,Bunny,9
3,Bicycle,10
3,Bread,11
3,Pig,12
3,TV,13
3,Butterfly,14
3,Mouse,15
3,Balloons,16
3,Ball,17
3,Sock,18
3,Refrigerator ,19
3,Shoe,20
4,Chair,1
4,Balloons,2
4,Ball,3
4,Cookie,4
4,Bread,5
4,Flowers,6
4,Cat,7
4,Duck,8
4,TV,9
4,Pizza,10
4,Leaf,11
4,Ice_Cream,12
4,Teddy_Bear,13
4,Dog,14
4,Apple,15
4,Clock,16
4,Doll,17
4,Hat,18
4,Bear,19
4,Jacket,20
5,Bear,1
5,Bicycle,2
5,Cake,3
5,Hat,4
5,Bottle,5
5,Dog,6
5,Apple,7
5,Ice_Cream,8
5,crayon,9
5,Jacket,10
5,Pig,11
5,Fork,12
5,Refrigerator ,13
5,TV,14
5,Ball,15
5,Sock,16
5,Balloons,17
5,Flowers,18
5,Cookie,19
5,Grapes,20
6,Pizza,1
6,Sock,2
6,Balloons,3
6,Cat,4
6,Pig,5
6,Bread,6
6,Orange,7
6,Spoon,8
6,Refrigerator ,9
6,Chair,10
6,Clock,11
6,Doll,12
6,Strawberry,13
6,Bottle,14
6,Pillow,15
6,Leaf,16
6,Apple,17
6,Elephant,18
6,Cake,19
6,Bicycle,20
7,Hat,1
7,Leaf,2
7,Apple,3
7,Broccoli,4
7,Clock,5
7,crayon,6
7,Egg,7
7,Teddy_Bear,8
7,Strawberry,9
7,Ice_Cream,10
7,Orange,11
7,Duck ,12
7,Fork,13
7,Flowers,14
7,Cat,15
7,Grapes,16
7,Spoon,17
7,Cookie,18
7,Chair,19
7,Pizza,20
8,Refrigerator,1
8,Grapes,2
8,Spoon,3
8,Sock,4
8,Orange,5
8,Butterfly,6
8,Mouse,7
8,Pig,8
8,Fork,9
8,Shoe,10
8,Bottle,11
8,Broccoli,12
8,crayon,13
8,Bunny,14
8,Strawberry,15
8,Bicycle,16
8,Cake,17
8,Egg,18
8,Elephant,19
8,Pillow,20
